category,pct_mcp_only,pct_aei_api,pct_conv_baseline,delta_mcp_vs_aei,delta_mcp_vs_conv
Dermatologists,9.87,0.00,28.56,9.87,-18.69
Management Analysts,35.26,25.41,69.24,9.85,-33.98
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",20.39,10.56,43.74,9.83,-23.35
Machine Feeders and Offbearers,9.81,0.00,4.35,9.81,5.46
Ophthalmic Medical Technologists,9.80,0.00,7.17,9.80,2.63
"Camera Operators, Television, Video, and Film",29.80,20.06,27.63,9.74,2.17
Outdoor Power Equipment and Other Small Engine Mechanics,16.20,6.53,19.06,9.67,-2.86
Procurement Clerks,43.90,34.27,69.39,9.63,-25.49
Railroad Conductors and Yardmasters,9.63,0.00,18.88,9.63,-9.25
Dining Room and Cafeteria Attendants and Bartender Helpers,9.62,0.00,13.34,9.62,-3.71
Food Science Technicians,25.11,15.50,35.68,9.61,-10.57
Transportation Security Screeners,15.80,6.21,44.68,9.58,-28.88
"Insulation Workers, Floor, Ceiling, and Wall",9.57,0.00,13.62,9.57,-4.05
Medical Assistants,32.13,22.57,50.91,9.55,-18.79
Neuropsychologists,13.42,3.89,25.94,9.53,-12.53
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9.47,0.00,22.17,9.47,-12.70
Customer Service Representatives,63.99,54.54,84.08,9.45,-20.10
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",13.02,3.60,18.72,9.42,-5.69
Medical Transcriptionists,59.29,49.88,75.29,9.41,-16.01
Crane and Tower Operators,9.39,0.00,15.25,9.39,-5.85
"Locker Room, Coatroom, and Dressing Room Attendants",14.69,5.30,31.45,9.38,-16.76
Nuclear Engineers,17.67,8.32,16.68,9.35,0.99
Machinists,16.50,7.16,31.89,9.35,-15.39
Forest and Conservation Technicians,14.63,5.30,22.14,9.33,-7.51
Travel Guides,35.58,26.25,50.12,9.33,-14.54
Chemical Plant and System Operators,9.23,0.00,17.22,9.23,-7.99
Bicycle Repairers,9.19,0.00,25.44,9.19,-16.24
Food Preparation Workers,9.19,0.00,35.77,9.19,-26.58
Electrical Power-Line Installers and Repairers,9.12,0.00,20.80,9.12,-11.68
Coroners,9.10,0.00,32.08,9.10,-22.98
Aircraft Mechanics and Service Technicians,9.01,0.00,14.03,9.01,-5.01
Septic Tank Servicers and Sewer Pipe Cleaners,8.96,0.00,21.23,8.96,-12.28
Butchers and Meat Cutters,8.91,0.00,40.59,8.91,-31.68
Compliance Managers,33.09,24.22,55.62,8.87,-22.54
Nanotechnology Engineering Technologists and Technicians,23.01,14.20,23.23,8.81,-0.22
Telecommunications Engineering Specialists,58.22,49.42,67.97,8.80,-9.74
Judicial Law Clerks,37.03,28.28,62.97,8.75,-25.94
"Rotary Drill Operators, Oil and Gas",8.65,0.00,9.33,8.65,-0.68
Locomotive Engineers,8.62,0.00,18.80,8.62,-10.18
Medical Equipment Preparers,8.59,0.00,0.97,8.59,7.62
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",14.27,5.71,19.09,8.56,-4.82
"Potters, Manufacturing",8.53,0.00,17.30,8.53,-8.77
"Interviewers, Except Eligibility and Loan",52.12,43.61,68.81,8.52,-16.69
"Earth Drillers, Except Oil and Gas",8.49,0.00,5.49,8.49,3.00
Computer Systems Analysts,69.13,60.67,70.69,8.47,-1.56
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",30.32,21.87,54.22,8.45,-23.91
Logistics Engineers,41.86,33.42,50.68,8.43,-8.82
Physical Therapist Assistants,8.41,0.00,13.17,8.41,-4.77
Laundry and Dry-Cleaning Workers,8.39,0.00,13.23,8.39,-4.83
Rail Car Repairers,8.39,0.00,7.40,8.39,0.98
Set and Exhibit Designers,23.17,14.82,44.77,8.34,-21.61
Solar Thermal Installers and Technicians,8.33,0.00,8.43,8.33,-0.10
Range Managers,8.33,0.00,13.80,8.33,-5.47
Database Architects,63.08,54.80,68.69,8.28,-5.61
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",54.66,46.42,40.73,8.24,13.93
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",8.22,0.00,23.36,8.22,-15.14
Clinical Data Managers,56.12,47.91,58.62,8.21,-2.50
Advertising Sales Agents,52.27,44.12,83.62,8.15,-31.34
Telecommunications Line Installers and Repairers,15.79,7.64,39.03,8.15,-23.24
Veterinary Assistants and Laboratory Animal Caretakers,17.51,9.37,21.56,8.14,-4.05
Computer Systems Engineers/Architects,57.11,48.98,61.79,8.13,-4.68
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",8.04,0.00,20.75,8.04,-12.70
Security Guards,31.52,23.52,54.66,8.00,-23.14
"Textile Cutting Machine Setters, Operators, and Tenders",15.35,7.38,17.74,7.97,-2.39
Nurse Anesthetists,7.95,0.00,16.64,7.95,-8.69
Computer Programmers,73.46,65.53,78.84,7.92,-5.38
"Food Servers, Nonrestaurant",14.41,6.53,22.31,7.88,-7.90
Gas Plant Operators,18.40,10.55,21.18,7.85,-2.78
Heavy and Tractor-Trailer Truck Drivers,18.81,10.98,21.53,7.84,-2.72
"Rail Yard Engineers, Dinkey Operators, and Hostlers",7.80,0.00,18.05,7.80,-10.25
Pediatric Surgeons,7.63,0.00,13.12,7.63,-5.49
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7.62,0.00,28.63,7.62,-21.01
Veterinary Technologists and Technicians,14.15,6.54,23.55,7.61,-9.39
Sailors and Marine Oilers,7.59,0.00,8.72,7.59,-1.13
Fast Food and Counter Workers,15.08,7.52,29.37,7.57,-14.29
Recreational Vehicle Service Technicians,7.55,0.00,29.04,7.55,-21.50
Archivists,44.74,37.22,86.73,7.52,-41.99
"Sawing Machine Setters, Operators, and Tenders, Wood",11.70,4.20,27.59,7.50,-15.89
Embalmers,7.49,0.00,9.68,7.49,-2.19
Audiologists,7.48,0.00,21.24,7.48,-13.77
Biofuels/Biodiesel Technology and Product Development Managers,7.44,0.00,22.85,7.44,-15.41
"Insulation Workers, Mechanical",10.97,3.56,29.44,7.41,-18.48
Locksmiths and Safe Repairers,7.39,0.00,3.11,7.39,4.28
Personal Care Aides,17.40,10.01,44.45,7.39,-27.05
Legislators,13.11,5.73,47.74,7.38,-34.62
Urban and Regional Planners,23.82,16.49,41.57,7.33,-17.75
Statisticians,67.17,59.91,71.76,7.27,-4.59
Insurance Underwriters,38.00,30.74,52.72,7.26,-14.72
Airfield Operations Specialists,17.78,10.58,29.10,7.21,-11.32
"Mobile Heavy Equipment Mechanics, Except Engines",10.23,3.08,21.83,7.14,-11.60
Manicurists and Pedicurists,12.89,5.80,10.39,7.09,2.50
Photographers,39.72,32.66,60.56,7.06,-20.83
"Opticians, Dispensing",7.02,0.00,20.21,7.02,-13.19
Flight Attendants,11.59,4.64,36.73,6.95,-25.14
"News Analysts, Reporters, and Journalists",53.38,46.43,50.37,6.95,3.00
"Loading and Moving Machine Operators, Underground Mining",6.91,0.00,7.19,6.91,-0.28
Nuclear Medicine Technologists,23.57,16.66,39.32,6.91,-15.75
Psychiatric Technicians,6.80,0.00,15.72,6.80,-8.92
Electrical and Electronic Equipment Assemblers,19.00,12.29,26.38,6.70,-7.38
Barbers,11.69,5.00,12.75,6.69,-1.05
Environmental Restoration Planners,6.67,0.00,28.49,6.67,-21.83
Motorboat Operators,6.66,0.00,6.31,6.66,0.36
Environmental Economists,26.53,19.87,46.14,6.65,-19.62
Upholsterers,6.65,0.00,18.70,6.65,-12.05
"Electric Motor, Power Tool, and Related Repairers",9.81,3.22,21.61,6.59,-11.79
Motorboat Mechanics and Service Technicians,6.50,0.00,12.95,6.50,-6.45
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",6.48,0.00,16.32,6.48,-9.84
Emergency Medical Technicians,6.41,0.00,10.44,6.41,-4.03
Pile Driver Operators,6.36,0.00,0.00,6.36,6.36
Logistics Analysts,56.81,50.51,70.71,6.30,-13.90
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",10.57,4.34,12.11,6.23,-1.55
Continuous Mining Machine Operators,6.19,0.00,7.01,6.19,-0.81
Genetic Counselors,19.44,13.27,47.32,6.16,-27.88
Maids and Housekeeping Cleaners,6.15,0.00,2.80,6.15,3.35
Automotive and Watercraft Service Attendants,15.92,9.81,17.99,6.11,-2.07
Licensed Practical and Licensed Vocational Nurses,19.58,13.50,28.83,6.08,-9.25
Respiratory Therapists,6.08,0.00,15.65,6.08,-9.57
Parking Attendants,11.13,5.10,17.80,6.03,-6.67
Interpreters and Translators,47.42,41.43,87.05,5.99,-39.63
Clergy,15.70,9.73,72.16,5.97,-56.47
Carpenters,9.98,4.02,10.71,5.96,-0.73
Gem and Diamond Workers,5.94,0.00,29.86,5.94,-23.92
Couriers and Messengers,29.50,23.59,33.87,5.91,-4.37
Surgical Technologists,5.89,0.00,7.70,5.89,-1.82
Orderlies,5.85,0.00,4.94,5.85,0.91
Jewelers and Precious Stone and Metal Workers,9.40,3.55,19.34,5.85,-9.94
Bus and Truck Mechanics and Diesel Engine Specialists,7.78,1.95,28.48,5.83,-20.70
"Patternmakers, Wood",14.82,8.99,31.98,5.83,-17.17
Civil Engineering Technologists and Technicians,38.89,33.09,32.67,5.80,6.22
Firefighters,5.76,0.00,13.47,5.76,-7.70
Tool and Die Makers,9.34,3.61,22.89,5.74,-13.55
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",5.73,0.00,20.06,5.73,-14.32
Operating Engineers and Other Construction Equipment Operators,5.71,0.00,9.22,5.71,-3.51
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",5.71,0.00,5.52,5.71,0.19
Pest Control Workers,24.14,18.43,33.67,5.71,-9.53
"Maintenance and Repair Workers, General",5.63,0.00,20.80,5.63,-15.16
Crematory Operators,5.55,0.00,15.67,5.55,-10.12
Crossing Guards and Flaggers,7.55,2.02,25.46,5.53,-17.90
Glaziers,5.41,0.00,15.47,5.41,-10.06
Clinical Research Coordinators,32.56,27.27,46.49,5.28,-13.93
"Glass Blowers, Molders, Benders, and Finishers",5.26,0.00,14.67,5.26,-9.41
Diagnostic Medical Sonographers,20.12,14.89,37.23,5.23,-17.10
Surgical Assistants,5.16,0.00,6.89,5.16,-1.74
Occupational Therapy Aides,14.02,8.94,26.41,5.08,-12.39
"Pressers, Textile, Garment, and Related Materials",5.02,0.00,10.75,5.02,-5.73
Acupuncturists,10.04,5.05,21.71,4.98,-11.67
Clinical Neuropsychologists,10.01,5.05,18.17,4.95,-8.16
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",9.45,4.52,18.57,4.93,-9.12
Podiatrists,4.92,0.00,23.08,4.92,-18.17
First-Line Supervisors of Passenger Attendants,12.60,7.71,23.83,4.90,-11.23
Anesthesiologists,5.21,0.39,5.78,4.82,-0.57
Bartenders,12.71,7.90,28.74,4.81,-16.03
Cabinetmakers and Bench Carpenters,4.76,0.00,23.19,4.76,-18.44
Hearing Aid Specialists,4.67,0.00,14.11,4.67,-9.44
Manufactured Building and Mobile Home Installers,4.66,0.00,26.17,4.66,-21.50
Fitness and Wellness Coordinators,27.25,22.60,38.38,4.65,-11.14
Robotics Engineers,40.96,36.31,57.70,4.65,-16.74
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",8.45,3.85,5.69,4.61,2.76
Security Managers,24.78,20.20,38.31,4.58,-13.54
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",6.80,2.27,14.37,4.53,-7.57
Physical Medicine and Rehabilitation Physicians,4.52,0.00,16.03,4.52,-11.51
Paramedics,4.50,0.00,11.11,4.50,-6.61
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",4.46,0.00,11.34,4.46,-6.89
"Cooks, Short Order",13.17,8.72,49.64,4.46,-36.47
Loan Officers,36.59,32.14,43.68,4.45,-7.09
Logging Equipment Operators,4.38,0.00,3.97,4.38,0.42
"Pourers and Casters, Metal",4.37,0.00,17.06,4.37,-12.70
Watch and Clock Repairers,4.33,0.00,16.48,4.33,-12.15
Editors,41.10,36.77,63.22,4.33,-22.12
Conveyor Operators and Tenders,15.71,11.41,20.08,4.30,-4.37
Fishing and Hunting Workers,4.30,0.00,5.81,4.30,-1.52
"Meat, Poultry, and Fish Cutters and Trimmers",4.29,0.00,45.01,4.29,-40.72
"Special Education Teachers, Elementary School",11.79,7.56,19.90,4.23,-8.11
Business Continuity Planners,35.68,31.46,56.03,4.23,-20.35
"Service Unit Operators, Oil and Gas",7.87,3.66,6.07,4.21,1.79
Forest and Conservation Workers,4.19,0.00,11.78,4.19,-7.59
Wind Energy Development Managers,19.43,15.27,13.94,4.15,5.49
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",9.08,4.93,14.60,4.15,-5.53
"Floor Layers, Except Carpet, Wood, and Hard Tiles",4.15,0.00,9.90,4.15,-5.75
Statistical Assistants,68.54,64.47,84.01,4.07,-15.47
Orthotists and Prosthetists,3.93,0.00,12.99,3.93,-9.05
Ship Engineers,9.81,5.91,7.43,3.90,2.38
Oral and Maxillofacial Surgeons,3.89,0.00,13.47,3.89,-9.58
Agricultural Technicians,10.35,6.49,26.56,3.87,-16.21
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",3.84,0.00,0.54,3.84,3.30
Phlebotomists,8.99,5.25,17.06,3.74,-8.07
Construction and Building Inspectors,18.28,14.59,24.32,3.69,-6.04
Photonics Engineers,34.99,31.32,54.71,3.67,-19.72
"Energy Engineers, Except Wind and Solar",31.20,27.55,34.01,3.65,-2.81
Cleaners of Vehicles and Equipment,3.65,0.00,4.91,3.65,-1.27
"Telecommunications Equipment Installers and Repairers, Except Line Installers",14.71,11.10,38.78,3.61,-24.07
Home Health Aides,3.59,0.00,29.25,3.59,-25.66
Adapted Physical Education Specialists,6.31,2.74,33.82,3.57,-27.51
Animal Trainers,6.63,3.09,14.76,3.53,-8.13
"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.49,0.00,26.78,3.49,-23.30
Residential Advisors,21.23,17.78,42.88,3.45,-21.65
Electro-Mechanical and Mechatronics Technologists and Technicians,23.12,19.71,34.65,3.41,-11.53
Sustainability Specialists,22.20,18.79,75.53,3.40,-53.34
Neurodiagnostic Technologists,7.79,4.40,21.05,3.39,-13.26
Dental Hygienists,12.47,9.13,9.99,3.34,2.48
Millwrights,3.33,0.00,14.86,3.33,-11.53
"Inspectors, Testers, Sorters, Samplers, and Weighers",14.21,10.96,24.87,3.25,-10.66
Art Directors,34.58,31.33,62.54,3.25,-27.96
Segmental Pavers,3.23,0.00,5.39,3.23,-2.16
Soil and Plant Scientists,16.92,13.70,41.05,3.22,-24.13
"Geological Technicians, Except Hydrologic Technicians",26.45,23.36,14.98,3.09,11.46
Fish and Game Wardens,3.07,0.00,37.81,3.07,-34.73
Fence Erectors,3.06,0.00,8.90,3.06,-5.83
Shoe Machine Operators and Tenders,2.99,0.00,8.17,2.99,-5.18
Psychiatric Aides,11.55,8.62,22.92,2.92,-11.37
"Roof Bolters, Mining",2.84,0.00,10.08,2.84,-7.24
Chemical Equipment Operators and Tenders,10.78,7.94,22.80,2.84,-12.02
"Welders, Cutters, Solderers, and Brazers",2.76,0.00,16.18,2.76,-13.43
"Model Makers, Wood",10.09,7.38,24.17,2.72,-14.08
Taxi Drivers,11.71,9.02,22.94,2.69,-11.23
Tile and Stone Setters,2.68,0.00,16.11,2.68,-13.42
Medical and Clinical Laboratory Technologists,36.91,34.28,52.46,2.63,-15.55
Computer and Information Research Scientists,46.05,43.47,75.93,2.58,-29.87
"Tailors, Dressmakers, and Custom Sewers",5.32,2.73,14.52,2.58,-9.20
"Derrick Operators, Oil and Gas",2.51,0.00,19.38,2.51,-16.86
Riggers,2.49,0.00,29.83,2.49,-27.34
Helpers--Electricians,2.43,0.00,15.52,2.43,-13.09
Hazardous Materials Removal Workers,9.04,6.63,9.12,2.40,-0.09
Aircraft Service Attendants,2.35,0.00,14.25,2.35,-11.90
Detectives and Criminal Investigators,25.00,22.66,31.20,2.33,-6.21
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",2.32,0.00,22.66,2.32,-20.34
Occupational Health and Safety Technicians,11.92,9.62,21.75,2.30,-9.83
Social and Community Service Managers,20.46,18.17,37.07,2.29,-16.61
Agricultural Equipment Operators,2.25,0.00,16.24,2.25,-13.98
Drywall and Ceiling Tile Installers,8.29,6.05,15.59,2.24,-7.30
Fallers,2.23,0.00,15.08,2.23,-12.85
Motorcycle Mechanics,2.18,0.00,22.62,2.18,-20.43
Exercise Trainers and Group Fitness Instructors,12.99,10.83,34.33,2.16,-21.34
Order Clerks,52.42,50.27,62.94,2.15,-10.52
Ophthalmic Medical Technicians,2.14,0.00,1.21,2.14,0.93
Commercial Divers,2.10,0.00,23.55,2.10,-21.44
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",56.51,54.44,71.60,2.07,-15.09
Electromechanical Equipment Assemblers,8.05,6.02,15.62,2.04,-7.56
"Kindergarten Teachers, Except Special Education",16.94,14.92,56.91,2.01,-39.97
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1.96,0.00,7.60,1.96,-5.64
Automotive Body and Related Repairers,1.89,0.00,11.71,1.89,-9.81
Compensation and Benefits Managers,28.89,27.02,55.61,1.87,-26.72
"Education Administrators, Kindergarten through Secondary",23.95,22.08,22.43,1.87,1.52
Athletic Trainers,17.61,15.76,31.80,1.84,-14.19
Shoe and Leather Workers and Repairers,1.84,0.00,10.77,1.84,-8.93
Dietitians and Nutritionists,32.90,31.08,52.54,1.82,-19.63
Foresters,1.80,0.00,12.88,1.80,-11.08
Foundry Mold and Coremakers,1.73,0.00,0.00,1.73,1.73
Agricultural Inspectors,8.46,6.78,28.01,1.68,-19.55
Regulatory Affairs Managers,29.56,27.89,46.00,1.67,-16.44
Demonstrators and Product Promoters,40.14,38.49,57.43,1.65,-17.29
"Ophthalmologists, Except Pediatric",11.04,9.39,10.96,1.65,0.08
Dancers,1.60,0.00,21.71,1.60,-20.11
Security and Fire Alarm Systems Installers,11.26,9.70,37.72,1.56,-26.46
Neurologists,9.20,7.65,34.88,1.55,-25.68
Musicians and Singers,19.05,17.54,14.12,1.51,4.93
Endoscopy Technicians,1.49,0.00,1.46,1.49,0.03
Purchasing Managers,34.26,32.83,46.97,1.43,-12.71
Timing Device Assemblers and Adjusters,3.81,2.40,9.74,1.41,-5.92
Ophthalmic Laboratory Technicians,1.39,0.00,12.58,1.39,-11.19
Structural Metal Fabricators and Fitters,1.38,0.00,8.66,1.38,-7.29
"Helpers--Installation, Maintenance, and Repair Workers",1.37,0.00,18.07,1.37,-16.70
Pipelayers,1.36,0.00,11.09,1.36,-9.73
Helpers--Carpenters,1.33,0.00,6.10,1.33,-4.77
Zoologists and Wildlife Biologists,9.77,8.46,39.16,1.31,-29.39
Data Warehousing Specialists,72.81,71.54,88.71,1.27,-15.91
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",11.12,9.86,24.87,1.26,-13.75
"Electrical and Electronics Installers and Repairers, Transportation Equipment",13.98,12.73,32.01,1.25,-18.03
Funeral Attendants,16.61,15.40,40.19,1.20,-23.58
Midwives,15.72,14.62,31.44,1.11,-15.72
Tire Repairers and Changers,1.09,0.00,8.09,1.09,-6.99
"Roustabouts, Oil and Gas",1.09,0.00,2.46,1.09,-1.37
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",1.08,0.00,14.28,1.08,-13.20
Cytogenetic Technologists,14.72,13.70,38.37,1.02,-23.65
Veterinarians,8.14,7.14,34.16,1.00,-26.03
Solar Sales Representatives and Assessors,50.67,49.76,74.57,0.92,-23.89
"Makeup Artists, Theatrical and Performance",0.88,0.00,17.67,0.88,-16.79
Tree Trimmers and Pruners,0.87,0.00,8.23,0.87,-7.37
Media Programming Directors,27.76,26.93,21.73,0.83,6.03
Tutors,31.58,30.80,71.38,0.77,-39.80
Rail-Track Laying and Maintenance Equipment Operators,0.77,0.00,0.00,0.77,0.77
"Preschool Teachers, Except Special Education",12.51,11.83,46.74,0.68,-34.22
Appraisers and Assessors of Real Estate,29.84,29.17,26.63,0.67,3.21
Occupational Therapy Assistants,5.97,5.30,16.83,0.67,-10.86
Writers and Authors,51.24,50.60,49.27,0.65,1.97
Brickmasons and Blockmasons,7.15,6.50,18.68,0.64,-11.53
"Special Education Teachers, Preschool",12.90,12.28,32.51,0.63,-19.61
Furniture Finishers,0.62,0.00,16.17,0.62,-15.55
"Sewers, Hand",0.36,0.00,17.94,0.36,-17.58
"Wholesale and Retail Buyers, Except Farm Products",36.91,36.56,66.18,0.35,-29.27
Chemical Technicians,26.53,26.22,52.62,0.31,-26.10
"Packers and Packagers, Hand",9.42,9.14,25.47,0.28,-16.05
Stonemasons,0.26,0.00,10.30,0.26,-10.04
First-Line Supervisors of Correctional Officers,11.26,11.02,26.39,0.24,-15.13
Music Therapists,17.45,17.22,30.91,0.23,-13.46
Solar Energy Installation Managers,13.91,13.82,37.36,0.09,-23.45
"Property, Real Estate, and Community Association Managers",33.22,33.17,61.50,0.06,-28.28
Automotive Glass Installers and Repairers,0.00,0.00,4.75,0.00,-4.75
Tapers,0.00,0.00,9.44,0.00,-9.44
Slaughterers and Meat Packers,0.00,0.00,32.66,0.00,-32.66
Dishwashers,0.00,0.00,5.27,0.00,-5.27
Medical Appliance Technicians,0.00,0.00,8.97,0.00,-8.97
Helpers--Extraction Workers,0.00,0.00,3.66,0.00,-3.66
Helpers--Roofers,0.00,0.00,2.34,0.00,-2.34
Highway Maintenance Workers,0.00,0.00,3.21,0.00,-3.21
"Rock Splitters, Quarry",0.00,0.00,6.41,0.00,-6.41
Fiberglass Laminators and Fabricators,0.00,0.00,10.34,0.00,-10.34
"Painting, Coating, and Decorating Workers",0.00,0.00,13.39,0.00,-13.39
"Refractory Materials Repairers, Except Brickmasons",0.00,0.00,12.88,0.00,-12.88
Reinforcing Iron and Rebar Workers,0.00,0.00,11.47,0.00,-11.47
Floor Sanders and Finishers,0.00,0.00,0.00,0.00,0.00
"Paving, Surfacing, and Tamping Equipment Operators",0.00,0.00,0.90,0.00,-0.90
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.00,0.00,14.94,0.00,-14.94
Plasterers and Stucco Masons,0.00,0.00,29.14,0.00,-29.14
Tire Builders,0.00,0.00,1.99,0.00,-1.99
Advertising and Promotions Managers,42.67,42.68,53.17,-0.01,-10.49
Radiologists,18.55,18.61,46.77,-0.06,-28.23
Geneticists,33.69,33.78,47.63,-0.09,-13.94
"Education and Childcare Administrators, Preschool and Daycare",24.81,25.03,27.09,-0.22,-2.27
"Agents and Business Managers of Artists, Performers, and Athletes",33.41,33.71,53.06,-0.30,-19.65
Computer Network Architects,53.39,53.89,71.56,-0.50,-18.16
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",57.82,58.36,76.76,-0.54,-18.93
Bioinformatics Scientists,59.74,60.31,72.19,-0.57,-12.45
Terrazzo Workers and Finishers,1.24,1.85,20.46,-0.61,-19.23
Recreational Therapists,12.88,13.53,44.55,-0.65,-31.67
"Electronic Equipment Installers and Repairers, Motor Vehicles",15.12,15.78,34.64,-0.66,-19.52
Biochemists and Biophysicists,22.14,22.86,53.57,-0.72,-31.43
"Hairdressers, Hairstylists, and Cosmetologists",23.10,24.00,47.20,-0.90,-24.10
Paperhangers,1.60,2.72,22.39,-1.12,-20.79
Craft Artists,24.20,25.41,65.47,-1.21,-41.27
"Molders, Shapers, and Casters, Except Metal and Plastic",1.04,2.32,12.68,-1.28,-11.64
Critical Care Nurses,8.15,9.54,24.02,-1.39,-15.87
Talent Directors,11.94,13.51,50.97,-1.58,-39.04
"Painters, Construction and Maintenance",0.46,2.06,19.74,-1.60,-19.28
First-Line Supervisors of Gambling Services Workers,21.66,23.26,37.61,-1.61,-15.95
Animal Control Workers,13.92,15.54,47.12,-1.62,-33.20
Farm and Home Management Educators,31.46,33.10,36.57,-1.64,-5.11
Acute Care Nurses,10.95,12.74,32.08,-1.79,-21.13
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",8.97,10.78,31.93,-1.81,-22.96
"Mixing and Blending Machine Setters, Operators, and Tenders",9.65,11.50,22.50,-1.85,-12.85
Construction Managers,21.59,23.50,42.49,-1.91,-20.90
"Cooks, Private Household",5.41,7.49,41.42,-2.08,-36.01
"Plumbers, Pipefitters, and Steamfitters",9.97,12.15,19.99,-2.18,-10.02
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",57.31,59.56,81.81,-2.25,-24.50
"Title Examiners, Abstractors, and Searchers",35.79,38.04,66.18,-2.26,-30.40
Human Factors Engineers and Ergonomists,12.36,14.62,48.44,-2.26,-36.08
Information Security Analysts,67.59,69.90,83.84,-2.30,-16.25
Electricians,11.74,14.17,43.47,-2.43,-31.73
"Excavating and Loading Machine and Dragline Operators, Surface Mining",0.98,3.46,11.21,-2.48,-10.23
First-Line Supervisors of Office and Administrative Support Workers,36.39,38.90,68.43,-2.50,-32.03
Pharmacists,22.41,24.97,64.86,-2.55,-42.45
Athletes and Sports Competitors,7.01,9.61,46.65,-2.61,-39.64
Physical Therapists,14.77,17.38,48.91,-2.61,-34.13
"Radio, Cellular, and Tower Equipment Installers and Repairers",10.75,13.44,36.76,-2.69,-26.01
Architectural and Engineering Managers,35.92,38.81,57.38,-2.89,-21.46
Baristas,20.14,23.07,47.64,-2.93,-27.50
Construction Laborers,0.50,3.60,11.96,-3.10,-11.46
"Credit Authorizers, Checkers, and Clerks",50.90,54.10,35.11,-3.20,15.79
Urologists,11.07,14.31,27.09,-3.24,-16.02
Medical Equipment Repairers,11.86,15.50,37.28,-3.64,-25.42
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",2.63,6.38,21.75,-3.75,-19.12
"First-Line Supervisors of Mechanics, Installers, and Repairers",18.13,22.17,48.72,-4.04,-30.58
Skincare Specialists,10.06,14.12,52.96,-4.06,-42.90
Orthoptists,7.11,11.23,19.46,-4.12,-12.35
Musical Instrument Repairers and Tuners,0.00,4.22,28.49,-4.22,-28.49
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",1.31,5.54,13.39,-4.24,-12.08
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",7.10,11.51,44.60,-4.41,-37.50
Chefs and Head Cooks,9.98,14.64,44.75,-4.66,-34.77
Computer User Support Specialists,64.81,69.54,81.76,-4.73,-16.94
Human Resources Specialists,59.13,63.88,75.84,-4.75,-16.70
Childcare Workers,10.08,15.05,38.68,-4.97,-28.60
"Computer, Automated Teller, and Office Machine Repairers",26.73,31.73,48.83,-5.00,-22.10
Coaches and Scouts,23.26,28.43,55.07,-5.18,-31.82
Histology Technicians,2.02,7.20,4.99,-5.18,-2.97
Engine and Other Machine Assemblers,2.19,7.43,18.72,-5.24,-16.54
Orthodontists,3.37,8.62,31.79,-5.25,-28.42
Healthcare Social Workers,14.60,19.88,42.22,-5.28,-27.62
"Administrative Law Judges, Adjudicators, and Hearing Officers",13.04,18.40,40.53,-5.36,-27.49
Roofers,0.00,5.41,5.61,-5.41,-5.61
Chemists,25.35,30.88,59.71,-5.53,-34.36
Customs and Border Protection Officers,19.20,24.76,44.11,-5.55,-24.90
Bailiffs,12.36,18.05,43.53,-5.69,-31.16
"Arbitrators, Mediators, and Conciliators",14.71,20.51,42.77,-5.80,-28.06
Choreographers,7.56,13.44,52.52,-5.87,-44.96
"Human Resources Assistants, Except Payroll and Timekeeping",61.41,67.30,82.15,-5.89,-20.75
"Environmental Scientists and Specialists, Including Health",19.93,26.01,49.68,-6.08,-29.75
