category,pct_mcp_only,pct_aei_api,pct_conv_baseline,delta_mcp_vs_aei,delta_mcp_vs_conv
Cargo and Freight Agents,48.08,29.13,51.94,18.95,-3.85
Social Science Research Assistants,52.88,33.99,53.47,18.89,-0.59
Hoist and Winch Operators,18.80,0.00,8.77,18.80,10.03
"Medical Scientists, Except Epidemiologists",23.10,4.31,43.05,18.79,-19.96
Emergency Management Directors,18.77,0.00,26.92,18.77,-8.15
Geographers,44.35,25.60,67.97,18.74,-23.63
Subway and Streetcar Operators,27.51,8.94,16.84,18.57,10.67
First-Line Supervisors of Food Preparation and Serving Workers,28.99,10.45,36.45,18.54,-7.46
Counter and Rental Clerks,62.68,44.14,70.76,18.54,-8.08
"Morticians, Undertakers, and Funeral Arrangers",18.52,0.00,22.38,18.52,-3.87
School Psychologists,26.81,8.31,34.71,18.50,-7.90
Etchers and Engravers,18.50,0.00,17.43,18.50,1.07
Water Resource Specialists,20.06,1.61,33.28,18.44,-13.23
Floral Designers,18.42,0.00,33.92,18.42,-15.50
Wind Energy Engineers,18.39,0.00,31.40,18.39,-13.01
Audio and Video Technicians,38.90,20.52,24.21,18.38,14.69
Financial Risk Specialists,54.79,36.42,33.64,18.37,21.15
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",22.77,4.44,25.77,18.33,-3.00
Environmental Engineering Technologists and Technicians,36.51,18.20,31.26,18.31,5.25
Insurance Claims and Policy Processing Clerks,66.20,47.89,36.27,18.31,29.93
Fundraisers,32.85,14.57,56.91,18.28,-24.06
Biological Technicians,39.53,21.33,50.27,18.20,-10.74
Biofuels Production Managers,18.20,0.00,4.10,18.20,14.10
"Office Clerks, General",69.41,51.24,71.37,18.17,-1.96
Biomass Plant Technicians,18.02,0.00,8.87,18.02,9.16
"Teaching Assistants, Postsecondary",27.69,9.73,43.01,17.95,-15.32
Weatherization Installers and Technicians,17.87,0.00,22.02,17.87,-4.15
Medical and Clinical Laboratory Technicians,22.97,5.15,39.30,17.82,-16.33
Hydrologists,26.67,8.85,35.11,17.82,-8.43
Home Appliance Repairers,17.77,0.00,27.39,17.77,-9.62
Actuaries,19.31,1.54,45.67,17.77,-26.36
"Tank Car, Truck, and Ship Loaders",17.76,0.00,14.53,17.76,3.23
Industrial Ecologists,19.76,2.00,23.49,17.75,-3.73
Shampooers,17.72,0.00,14.82,17.72,2.90
"Coil Winders, Tapers, and Finishers",17.66,0.00,16.19,17.66,1.47
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",17.62,0.00,20.34,17.62,-2.72
"Production, Planning, and Expediting Clerks",40.78,23.16,46.06,17.62,-5.28
Electrical and Electronic Engineering Technologists and Technicians,30.75,13.14,42.53,17.61,-11.78
"Insurance Appraisers, Auto Damage",17.47,0.00,44.79,17.47,-27.32
First-Line Supervisors of Personal Service Workers,24.84,7.40,27.95,17.44,-3.10
Log Graders and Scalers,17.41,0.00,12.19,17.41,5.21
Marine Engineers and Naval Architects,22.52,5.12,29.69,17.40,-7.17
"Cutting and Slicing Machine Setters, Operators, and Tenders",21.54,4.27,16.59,17.27,4.96
Library Technicians,43.32,26.06,58.86,17.26,-15.54
Geothermal Technicians,17.20,0.00,33.35,17.20,-16.15
Radiologic Technologists and Technicians,20.83,3.76,20.21,17.07,0.61
Aerospace Engineering and Operations Technologists and Technicians,27.79,10.75,36.82,17.04,-9.03
Astronomers,33.51,16.52,72.49,16.99,-38.97
Helpers--Production Workers,22.75,5.79,12.12,16.96,10.63
Water and Wastewater Treatment Plant and System Operators,16.84,0.00,0.00,16.84,16.84
"Laborers and Freight, Stock, and Material Movers, Hand",16.64,0.00,5.97,16.64,10.67
Rehabilitation Counselors,30.75,14.16,38.06,16.59,-7.31
Recycling Coordinators,24.45,7.95,19.89,16.49,4.56
Magnetic Resonance Imaging Technologists,21.25,4.81,22.02,16.44,-0.77
Speech-Language Pathologists,16.38,0.00,40.44,16.38,-24.06
Baggage Porters and Bellhops,26.63,10.26,28.74,16.37,-2.11
Food Service Managers,31.19,14.83,32.93,16.36,-1.73
"Education Administrators, Postsecondary",24.56,8.26,42.28,16.29,-17.73
Driver/Sales Workers,36.86,20.57,18.31,16.29,18.55
Hydroelectric Plant Technicians,16.28,0.00,10.99,16.28,5.28
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,21.38,5.16,21.06,16.23,0.32
Food Batchmakers,16.08,0.00,25.16,16.08,-9.08
Fire-Prevention and Protection Engineers,16.01,0.00,33.79,16.01,-17.78
Bioengineers and Biomedical Engineers,35.97,19.99,40.11,15.98,-4.14
Commercial Pilots,22.10,6.13,26.52,15.97,-4.43
Metal-Refining Furnace Operators and Tenders,15.94,0.00,17.97,15.94,-2.03
Document Management Specialists,70.09,54.20,76.79,15.89,-6.69
Costume Attendants,16.58,0.79,30.36,15.79,-13.78
Probation Officers and Correctional Treatment Specialists,15.61,0.00,36.82,15.61,-21.20
Nuclear Technicians,15.57,0.00,17.93,15.57,-2.36
Power Plant Operators,18.37,2.81,15.78,15.56,2.59
Loan Interviewers and Clerks,52.36,36.86,59.14,15.50,-6.78
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",15.46,0.00,11.82,15.46,3.64
Hospitalists,15.41,0.00,18.60,15.41,-3.18
Emergency Medicine Physicians,15.40,0.00,16.51,15.40,-1.11
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",15.27,0.00,20.58,15.27,-5.31
Transportation Inspectors,15.01,0.00,23.78,15.01,-8.77
Chief Sustainability Officers,14.95,0.00,32.17,14.95,-17.22
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",20.62,5.70,27.05,14.92,-6.43
Wind Energy Operations Managers,26.10,11.19,18.02,14.91,8.07
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",23.12,8.25,32.63,14.87,-9.52
"Cooks, Institution and Cafeteria",14.76,0.00,16.33,14.76,-1.57
Animal Caretakers,22.69,7.98,39.56,14.71,-16.88
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",14.70,0.00,6.28,14.70,8.41
Wind Turbine Service Technicians,14.69,0.00,29.01,14.69,-14.32
Mathematicians,48.39,33.71,71.19,14.68,-22.80
Industrial Machinery Mechanics,19.31,4.83,30.86,14.48,-11.55
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",14.48,0.00,18.58,14.48,-4.10
Epidemiologists,23.46,8.99,31.54,14.47,-8.08
