category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,rank_human_conv,intop_human_conv,rank_aei_api,intop_aei_api,rank_microsoft,intop_microsoft,rank_mcp,intop_mcp,confidence_count,confidence_tier
Railroad Conductors and Yardmasters,18.88,0.00,16.01,9.63,667.00,0,640.00,0,647.00,0,719.00,0,0,None (0/4)
Range Managers,13.80,0.00,13.80,8.33,775.00,0,640.00,0,715.00,0,755.00,0,0,None (0/4)
Real Estate Brokers,51.44,60.66,18.64,34.90,154.00,0,32.00,0,585.00,0,232.00,0,0,None (0/4)
Real Estate Sales Agents,63.65,59.50,33.61,45.65,50.00,0,42.00,0,225.00,0,136.00,0,0,None (0/4)
Receptionists and Information Clerks,64.28,50.12,32.72,69.52,46.00,0,88.00,0,252.00,0,21.00,1,1,Single-source (1/4)
Recreation Workers,31.95,0.00,29.24,31.07,428.00,0,640.00,0,318.00,0,278.00,0,0,None (0/4)
"Recreation and Fitness Studies Teachers, Postsecondary",56.68,57.53,32.73,28.35,106.00,0,48.00,0,251.00,0,330.00,0,0,None (0/4)
Recreational Therapists,36.00,13.53,15.02,12.88,371.00,0,375.00,0,672.00,0,640.00,0,0,None (0/4)
Recreational Vehicle Service Technicians,29.04,0.00,27.11,7.55,487.00,0,640.00,0,360.00,0,774.00,0,0,None (0/4)
Recycling Coordinators,16.18,7.95,13.88,24.45,718.00,0,475.00,0,711.00,0,396.00,0,0,None (0/4)
Recycling and Reclamation Workers,0.00,0.00,0.00,13.56,916.00,0,640.00,0,916.00,0,623.00,0,0,None (0/4)
"Refractory Materials Repairers, Except Brickmasons",12.88,0.00,12.88,0.00,792.00,0,640.00,0,737.00,0,902.00,0,0,None (0/4)
Refuse and Recyclable Material Collectors,7.76,1.83,6.26,15.41,865.00,0,624.00,0,861.00,0,570.00,0,0,None (0/4)
Registered Nurses,18.49,19.43,9.30,12.94,677.00,0,304.00,0,818.00,0,637.00,0,0,None (0/4)
Regulatory Affairs Managers,37.38,27.89,29.06,29.56,343.00,0,227.00,0,323.00,0,304.00,0,0,None (0/4)
Regulatory Affairs Specialists,37.97,16.05,28.82,44.95,336.00,0,338.00,0,329.00,0,137.00,0,0,None (0/4)
Rehabilitation Counselors,30.70,14.16,23.16,30.75,453.00,0,369.00,0,464.00,0,283.00,0,0,None (0/4)
Reinforcing Iron and Rebar Workers,11.47,0.00,11.47,0.00,808.00,0,640.00,0,769.00,0,902.00,0,0,None (0/4)
Remote Sensing Scientists and Technologists,26.35,27.49,14.75,56.08,529.00,0,230.00,0,682.00,0,80.00,0,0,None (0/4)
Remote Sensing Technicians,25.82,10.87,24.08,51.44,537.00,0,413.00,0,441.00,0,104.00,0,0,None (0/4)
Reservation and Transportation Ticket Agents and Travel Clerks,48.11,18.79,42.51,58.43,186.00,0,310.00,0,74.00,0,63.00,0,0,None (0/4)
Residential Advisors,38.53,17.78,28.27,21.23,327.00,0,322.00,0,338.00,0,456.00,0,0,None (0/4)
Respiratory Therapists,15.65,0.00,13.55,6.08,730.00,0,640.00,0,724.00,0,799.00,0,0,None (0/4)
Retail Loss Prevention Specialists,30.59,35.26,9.32,20.63,458.00,0,169.00,0,817.00,0,466.00,0,0,None (0/4)
Retail Salespersons,49.23,37.64,39.99,47.68,176.00,0,153.00,0,122.00,0,124.00,0,0,None (0/4)
Riggers,29.83,0.00,29.83,2.49,469.00,0,640.00,0,311.00,0,860.00,0,0,None (0/4)
Robotics Engineers,51.66,36.31,38.76,40.96,153.00,0,164.00,0,138.00,0,167.00,0,0,None (0/4)
Robotics Technicians,40.31,4.02,27.68,35.84,297.00,0,579.00,0,346.00,0,216.00,0,0,None (0/4)
"Rock Splitters, Quarry",6.41,0.00,6.41,0.00,875.00,0,640.00,0,858.00,0,902.00,0,0,None (0/4)
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",20.34,0.00,20.34,17.62,633.00,0,640.00,0,548.00,0,527.00,0,0,None (0/4)
"Roof Bolters, Mining",10.08,0.00,10.08,2.84,835.00,0,640.00,0,800.00,0,853.00,0,0,None (0/4)
Roofers,4.58,5.41,2.77,0.00,897.00,0,538.00,0,902.00,0,902.00,0,0,None (0/4)
"Rotary Drill Operators, Oil and Gas",9.33,0.00,9.33,8.65,845.00,0,640.00,0,816.00,0,742.00,0,0,None (0/4)
"Roustabouts, Oil and Gas",2.46,0.00,2.46,1.09,907.00,0,640.00,0,904.00,0,889.00,0,0,None (0/4)
Sailors and Marine Oilers,8.72,0.00,8.72,7.59,853.00,0,640.00,0,830.00,0,771.00,0,0,None (0/4)
Sales Engineers,60.56,51.57,38.02,41.70,75.00,0,80.00,0,151.00,0,163.00,0,0,None (0/4)
Sales Managers,34.96,47.26,26.17,23.83,382.00,0,106.00,0,387.00,0,407.00,0,0,None (0/4)
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",38.31,0.00,38.31,70.78,330.00,0,640.00,0,143.00,0,17.00,1,1,Single-source (1/4)
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",66.18,59.56,44.84,57.31,34.00,0,40.00,0,49.00,0,69.00,0,0,None (0/4)
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",64.04,58.36,39.83,57.82,48.00,0,44.00,0,127.00,0,66.00,0,0,None (0/4)
"Sawing Machine Setters, Operators, and Tenders, Wood",25.45,4.20,25.45,11.70,541.00,0,573.00,0,406.00,0,665.00,0,0,None (0/4)
School Bus Monitors,36.95,0.00,36.95,12.08,356.00,0,640.00,0,168.00,0,652.00,0,0,None (0/4)
School Psychologists,31.25,8.31,21.51,26.81,444.00,0,468.00,0,510.00,0,354.00,0,0,None (0/4)
Search Marketing Strategists,79.95,72.72,54.21,57.46,3.00,1,4.00,1,2.00,1,68.00,0,3,Moderate (3/4)
"Secondary School Teachers, Except Special and Career/Technical Education",52.56,48.06,24.53,20.23,145.00,0,102.00,0,428.00,0,475.00,0,0,None (0/4)
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",67.23,49.12,44.57,77.01,29.00,1,94.00,0,51.00,0,7.00,1,2,Low (2/4)
"Securities, Commodities, and Financial Services Sales Agents",29.00,52.76,29.00,65.04,489.00,0,76.00,0,326.00,0,37.00,0,0,None (0/4)
Security Guards,42.56,23.52,26.75,31.52,259.00,0,261.00,0,376.00,0,270.00,0,0,None (0/4)
Security Management Specialists,43.14,15.79,29.09,25.84,251.00,0,341.00,0,322.00,0,370.00,0,0,None (0/4)
Security Managers,29.20,20.20,11.83,24.78,481.00,0,295.00,0,762.00,0,391.00,0,0,None (0/4)
Security and Fire Alarm Systems Installers,34.13,9.70,28.60,11.26,394.00,0,437.00,0,335.00,0,672.00,0,0,None (0/4)
Segmental Pavers,5.39,0.00,5.39,3.23,888.00,0,640.00,0,873.00,0,848.00,0,0,None (0/4)
Self-Enrichment Teachers,27.88,46.27,27.88,20.80,507.00,0,114.00,0,345.00,0,462.00,0,0,None (0/4)
Semiconductor Processing Technicians,20.76,0.00,20.76,20.78,623.00,0,640.00,0,536.00,0,463.00,0,0,None (0/4)
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",20.61,10.78,20.61,8.97,628.00,0,416.00,0,541.00,0,739.00,0,0,None (0/4)
Septic Tank Servicers and Sewer Pipe Cleaners,21.23,0.00,20.54,8.96,609.00,0,640.00,0,543.00,0,740.00,0,0,None (0/4)
"Service Unit Operators, Oil and Gas",6.07,3.66,6.07,7.87,879.00,0,585.00,0,863.00,0,765.00,0,0,None (0/4)
Set and Exhibit Designers,44.13,14.82,38.84,23.17,236.00,0,355.00,0,136.00,0,416.00,0,0,None (0/4)
"Sewers, Hand",17.94,0.00,17.94,0.36,688.00,0,640.00,0,602.00,0,900.00,0,0,None (0/4)
Sewing Machine Operators,11.19,0.00,11.19,10.69,814.00,0,640.00,0,775.00,0,688.00,0,0,None (0/4)
Shampooers,14.82,0.00,0.73,17.72,752.00,0,640.00,0,913.00,0,522.00,0,0,None (0/4)
Sheet Metal Workers,31.58,14.63,10.90,3.90,435.00,0,357.00,0,782.00,0,837.00,0,0,None (0/4)
Ship Engineers,4.44,5.91,4.44,9.81,898.00,0,531.00,0,890.00,0,715.00,0,0,None (0/4)
"Shipping, Receiving, and Inventory Clerks",25.81,28.97,25.81,41.24,538.00,0,217.00,0,399.00,0,164.00,0,0,None (0/4)
Shoe Machine Operators and Tenders,8.17,0.00,8.17,2.99,858.00,0,640.00,0,836.00,0,852.00,0,0,None (0/4)
Shoe and Leather Workers and Repairers,10.77,0.00,10.77,1.84,822.00,0,640.00,0,783.00,0,873.00,0,0,None (0/4)
Shuttle Drivers and Chauffeurs,16.14,4.97,16.14,16.58,720.00,0,553.00,0,643.00,0,543.00,0,0,None (0/4)
Signal and Track Switch Repairers,13.79,0.00,13.79,14.28,776.00,0,640.00,0,717.00,0,600.00,0,0,None (0/4)
Skincare Specialists,30.88,14.12,8.09,10.06,451.00,0,370.00,0,837.00,0,704.00,0,0,None (0/4)
Slaughterers and Meat Packers,32.66,0.00,32.66,0.00,421.00,0,640.00,0,255.00,0,902.00,0,0,None (0/4)
Social Science Research Assistants,38.64,33.99,22.43,52.88,324.00,0,179.00,0,478.00,0,95.00,0,0,None (0/4)
"Social Work Teachers, Postsecondary",65.36,62.03,31.59,26.66,37.00,0,29.00,1,278.00,0,357.00,0,1,Single-source (1/4)
Social and Community Service Managers,34.49,18.17,24.89,20.46,388.00,0,319.00,0,420.00,0,471.00,0,0,None (0/4)
Social and Human Service Assistants,38.53,0.00,36.51,19.20,326.00,0,640.00,0,175.00,0,490.00,0,0,None (0/4)
Sociologists,59.14,53.48,32.33,24.19,87.00,0,69.00,0,266.00,0,401.00,0,0,None (0/4)
"Sociology Teachers, Postsecondary",61.82,52.87,29.97,29.08,66.00,0,74.00,0,307.00,0,314.00,0,0,None (0/4)
Software Developers,45.16,19.58,45.16,59.94,224.00,0,303.00,0,46.00,0,55.00,0,0,None (0/4)
Software Quality Assurance Analysts and Testers,49.63,18.32,49.63,72.37,170.00,0,317.00,0,16.00,1,13.00,1,2,Low (2/4)
Soil and Plant Scientists,38.51,13.70,32.72,16.92,328.00,0,373.00,0,253.00,0,538.00,0,0,None (0/4)
Solar Energy Installation Managers,35.74,13.82,25.46,13.91,376.00,0,371.00,0,404.00,0,615.00,0,0,None (0/4)
Solar Energy Systems Engineers,42.06,0.00,42.06,35.66,269.00,0,640.00,0,81.00,0,222.00,0,0,None (0/4)
Solar Photovoltaic Installers,31.86,19.34,22.26,10.97,429.00,0,305.00,0,484.00,0,682.00,0,0,None (0/4)
Solar Sales Representatives and Assessors,55.50,49.76,35.67,50.67,114.00,0,90.00,0,181.00,0,111.00,0,0,None (0/4)
Solar Thermal Installers and Technicians,8.43,0.00,8.43,8.33,855.00,0,640.00,0,833.00,0,754.00,0,0,None (0/4)
Sound Engineering Technicians,23.47,14.45,9.77,56.80,571.00,0,364.00,0,810.00,0,75.00,0,0,None (0/4)
Spa Managers,33.04,37.41,9.86,60.95,417.00,0,154.00,0,809.00,0,50.00,0,0,None (0/4)
"Special Education Teachers, Elementary School",19.90,7.56,19.90,11.79,648.00,0,485.00,0,557.00,0,658.00,0,0,None (0/4)
"Special Education Teachers, Kindergarten",20.58,7.31,20.58,19.02,630.00,0,497.00,0,542.00,0,496.00,0,0,None (0/4)
"Special Education Teachers, Middle School",39.22,32.60,21.99,14.52,314.00,0,192.00,0,494.00,0,594.00,0,0,None (0/4)
"Special Education Teachers, Preschool",30.85,12.28,23.26,12.90,452.00,0,391.00,0,459.00,0,638.00,0,0,None (0/4)
"Special Education Teachers, Secondary School",43.11,31.03,24.50,14.17,252.00,0,201.00,0,430.00,0,605.00,0,0,None (0/4)
Special Effects Artists and Animators,41.87,34.45,41.87,57.25,274.00,0,174.00,0,84.00,0,70.00,0,0,None (0/4)
Speech-Language Pathologists,40.44,0.00,19.33,16.38,295.00,0,640.00,0,574.00,0,548.00,0,0,None (0/4)
Speech-Language Pathology Assistants,28.83,0.00,9.45,14.40,493.00,0,640.00,0,814.00,0,598.00,0,0,None (0/4)
Sports Medicine Physicians,25.15,1.17,19.06,12.62,548.00,0,632.00,0,579.00,0,644.00,0,0,None (0/4)
Stationary Engineers and Boiler Operators,20.10,0.00,19.66,21.66,642.00,0,640.00,0,564.00,0,445.00,0,0,None (0/4)
Statistical Assistants,73.56,64.47,40.51,68.54,8.00,1,16.00,1,108.00,0,26.00,1,3,Moderate (3/4)
Statisticians,59.35,59.91,45.46,67.17,85.00,0,38.00,0,41.00,0,31.00,0,0,None (0/4)
Stockers and Order Fillers,23.26,9.23,23.26,37.83,573.00,0,445.00,0,460.00,0,191.00,0,0,None (0/4)
"Stone Cutters and Carvers, Manufacturing",15.17,7.55,13.89,1.41,741.00,0,486.00,0,710.00,0,880.00,0,0,None (0/4)
Stonemasons,10.30,0.00,10.30,0.26,831.00,0,640.00,0,794.00,0,901.00,0,0,None (0/4)
Structural Iron and Steel Workers,8.10,9.21,5.17,3.00,859.00,0,446.00,0,875.00,0,851.00,0,0,None (0/4)
Structural Metal Fabricators and Fitters,8.66,0.00,8.66,1.38,854.00,0,640.00,0,832.00,0,882.00,0,0,None (0/4)
Substance Abuse and Behavioral Disorder Counselors,37.34,24.68,25.61,12.01,345.00,0,255.00,0,402.00,0,654.00,0,0,None (0/4)
"Substitute Teachers, Short-Term",38.11,0.00,38.11,29.67,334.00,0,640.00,0,150.00,0,301.00,0,0,None (0/4)
Subway and Streetcar Operators,14.09,8.94,12.41,27.51,767.00,0,457.00,0,750.00,0,343.00,0,0,None (0/4)
Supply Chain Managers,36.61,6.79,24.36,36.68,364.00,0,509.00,0,434.00,0,203.00,0,0,None (0/4)
Surgical Assistants,6.89,0.00,4.98,5.16,873.00,0,640.00,0,882.00,0,817.00,0,0,None (0/4)
Surgical Technologists,7.70,0.00,4.87,5.89,866.00,0,640.00,0,886.00,0,803.00,0,0,None (0/4)
Survey Researchers,52.70,34.71,21.39,27.94,142.00,0,172.00,0,516.00,0,332.00,0,0,None (0/4)
Surveying and Mapping Technicians,29.73,2.41,29.73,38.31,471.00,0,609.00,0,312.00,0,187.00,0,0,None (0/4)
Surveyors,33.39,0.04,23.85,46.37,408.00,0,639.00,0,446.00,0,131.00,0,0,None (0/4)
Sustainability Specialists,60.25,18.79,20.08,22.20,79.00,0,309.00,0,553.00,0,439.00,0,0,None (0/4)
"Switchboard Operators, Including Answering Service",55.34,39.30,40.49,68.98,116.00,0,140.00,0,109.00,0,25.00,1,1,Single-source (1/4)
"Tailors, Dressmakers, and Custom Sewers",13.88,2.73,8.85,5.32,772.00,0,604.00,0,826.00,0,813.00,0,0,None (0/4)
Talent Directors,49.67,13.51,10.40,11.94,167.00,0,376.00,0,792.00,0,655.00,0,0,None (0/4)
"Tank Car, Truck, and Ship Loaders",14.53,0.00,14.53,17.76,761.00,0,640.00,0,693.00,0,521.00,0,0,None (0/4)
Tapers,9.44,0.00,6.94,0.00,844.00,0,640.00,0,853.00,0,902.00,0,0,None (0/4)
"Tax Examiners and Collectors, and Revenue Agents",30.03,5.40,25.15,40.74,464.00,0,539.00,0,413.00,0,170.00,0,0,None (0/4)
Tax Preparers,52.28,28.11,46.11,54.21,147.00,0,226.00,0,36.00,0,88.00,0,0,None (0/4)
Taxi Drivers,22.94,9.02,22.94,11.71,579.00,0,453.00,0,470.00,0,663.00,0,0,None (0/4)
"Teaching Assistants, Postsecondary",43.01,9.73,43.01,27.69,253.00,0,435.00,0,65.00,0,341.00,0,0,None (0/4)
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",32.63,8.25,32.63,23.12,422.00,0,470.00,0,256.00,0,419.00,0,0,None (0/4)
"Teaching Assistants, Special Education",26.69,6.67,26.69,20.56,522.00,0,513.00,0,377.00,0,468.00,0,0,None (0/4)
Team Assemblers,13.85,0.00,13.85,13.78,773.00,0,640.00,0,712.00,0,618.00,0,0,None (0/4)
Technical Writers,70.70,63.84,45.62,48.55,16.00,1,20.00,1,39.00,0,116.00,0,2,Low (2/4)
Telecommunications Engineering Specialists,47.87,49.42,30.06,58.22,188.00,0,92.00,0,306.00,0,64.00,0,0,None (0/4)
"Telecommunications Equipment Installers and Repairers, Except Line Installers",32.81,11.10,32.45,14.71,418.00,0,408.00,0,260.00,0,586.00,0,0,None (0/4)
Telecommunications Line Installers and Repairers,35.28,7.64,35.28,15.79,379.00,0,482.00,0,189.00,0,561.00,0,0,None (0/4)
Telemarketers,49.63,68.29,35.43,90.13,169.00,0,12.00,1,186.00,0,1.00,1,2,Low (2/4)
Telephone Operators,49.59,9.05,47.26,62.26,171.00,0,452.00,0,24.00,1,46.00,0,1,Single-source (1/4)
Tellers,43.99,4.20,40.87,63.08,241.00,0,572.00,0,98.00,0,43.00,0,0,None (0/4)
Terrazzo Workers and Finishers,20.00,1.85,18.47,1.24,644.00,0,623.00,0,588.00,0,887.00,0,0,None (0/4)
Textile Bleaching and Dyeing Machine Operators and Tenders,18.56,4.61,15.28,17.71,676.00,0,561.00,0,663.00,0,523.00,0,0,None (0/4)
"Textile Cutting Machine Setters, Operators, and Tenders",16.22,7.38,14.70,15.35,715.00,0,494.00,0,684.00,0,573.00,0,0,None (0/4)
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",11.17,4.34,10.23,10.57,815.00,0,565.00,0,796.00,0,691.00,0,0,None (0/4)
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",6.28,0.00,6.28,14.70,877.00,0,640.00,0,860.00,0,588.00,0,0,None (0/4)
Tile and Stone Setters,16.11,0.00,16.11,2.68,721.00,0,640.00,0,644.00,0,856.00,0,0,None (0/4)
Timing Device Assemblers and Adjusters,9.74,2.40,4.05,3.81,841.00,0,610.00,0,893.00,0,841.00,0,0,None (0/4)
Tire Builders,1.99,0.00,1.99,0.00,909.00,0,640.00,0,907.00,0,902.00,0,0,None (0/4)
Tire Repairers and Changers,8.09,0.00,4.86,1.09,860.00,0,640.00,0,887.00,0,888.00,0,0,None (0/4)
"Title Examiners, Abstractors, and Searchers",52.69,38.04,28.02,35.79,143.00,0,150.00,0,343.00,0,219.00,0,0,None (0/4)
"Tool Grinders, Filers, and Sharpeners",20.82,0.00,20.82,13.98,619.00,0,640.00,0,535.00,0,613.00,0,0,None (0/4)
Tool and Die Makers,22.89,3.61,22.89,9.34,580.00,0,586.00,0,472.00,0,728.00,0,0,None (0/4)
Tour Guides and Escorts,36.81,5.09,33.42,30.47,361.00,0,549.00,0,232.00,0,287.00,0,0,None (0/4)
Traffic Technicians,26.05,0.00,21.51,39.49,533.00,0,640.00,0,511.00,0,178.00,0,0,None (0/4)
Training and Development Managers,76.89,59.78,37.02,30.87,6.00,1,39.00,0,166.00,0,282.00,0,1,Single-source (1/4)
Training and Development Specialists,51.39,26.37,41.60,18.81,155.00,0,237.00,0,91.00,0,499.00,0,0,None (0/4)
Transit and Railroad Police,24.91,0.00,13.96,10.49,553.00,0,640.00,0,707.00,0,693.00,0,0,None (0/4)
Transportation Engineers,53.74,10.23,29.27,30.31,131.00,0,428.00,0,317.00,0,290.00,0,0,None (0/4)
Transportation Inspectors,23.78,0.00,23.78,15.01,567.00,0,640.00,0,450.00,0,578.00,0,0,None (0/4)
Transportation Planners,54.75,12.23,45.27,34.83,120.00,0,392.00,0,44.00,0,234.00,0,0,None (0/4)
Transportation Security Screeners,42.00,6.21,39.67,15.80,272.00,0,523.00,0,129.00,0,560.00,0,0,None (0/4)
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",16.96,6.38,16.96,2.63,701.00,0,520.00,0,618.00,0,858.00,0,0,None (0/4)
"Transportation, Storage, and Distribution Managers",27.35,11.68,27.35,25.15,514.00,0,397.00,0,354.00,0,381.00,0,0,None (0/4)
Travel Agents,63.33,62.84,31.79,50.57,55.00,0,25.00,1,273.00,0,112.00,0,1,Single-source (1/4)
Travel Guides,39.12,26.25,28.57,35.58,316.00,0,238.00,0,336.00,0,223.00,0,0,None (0/4)
Treasurers and Controllers,40.56,27.51,14.02,39.04,293.00,0,229.00,0,706.00,0,180.00,0,0,None (0/4)
Tree Trimmers and Pruners,8.23,0.00,8.23,0.87,857.00,0,640.00,0,835.00,0,895.00,0,0,None (0/4)
Tutors,67.17,30.80,32.33,31.58,30.00,1,204.00,0,267.00,0,268.00,0,1,Single-source (1/4)
"Umpires, Referees, and Other Sports Officials",13.30,0.00,13.30,23.60,784.00,0,640.00,0,729.00,0,409.00,0,0,None (0/4)
Upholsterers,18.70,0.00,16.25,6.65,671.00,0,640.00,0,636.00,0,790.00,0,0,None (0/4)
Urban and Regional Planners,41.57,16.49,35.58,23.82,278.00,0,334.00,0,183.00,0,408.00,0,0,None (0/4)
Urologists,15.64,14.31,12.78,11.07,732.00,0,365.00,0,738.00,0,678.00,0,0,None (0/4)
"Ushers, Lobby Attendants, and Ticket Takers",36.90,4.87,30.50,34.44,358.00,0,555.00,0,295.00,0,238.00,0,0,None (0/4)
Validation Engineers,35.48,2.64,31.64,34.87,377.00,0,606.00,0,276.00,0,233.00,0,0,None (0/4)
Veterinarians,30.62,7.14,22.49,8.14,457.00,0,501.00,0,476.00,0,760.00,0,0,None (0/4)
Veterinary Assistants and Laboratory Animal Caretakers,19.22,9.37,11.35,17.51,661.00,0,444.00,0,772.00,0,529.00,0,0,None (0/4)
Veterinary Technologists and Technicians,19.00,6.54,12.57,14.15,664.00,0,515.00,0,745.00,0,606.00,0,0,None (0/4)
Video Game Designers,57.35,16.96,46.96,47.48,99.00,0,330.00,0,28.00,1,125.00,0,1,Single-source (1/4)
Waiters and Waitresses,39.41,4.02,37.94,27.89,312.00,0,578.00,0,152.00,0,334.00,0,0,None (0/4)
Watch and Clock Repairers,16.48,0.00,16.48,4.33,709.00,0,640.00,0,631.00,0,830.00,0,0,None (0/4)
Water Resource Specialists,33.28,1.61,22.05,20.06,411.00,0,626.00,0,489.00,0,478.00,0,0,None (0/4)
Water and Wastewater Treatment Plant and System Operators,0.00,0.00,0.00,16.84,916.00,0,640.00,0,916.00,0,539.00,0,0,None (0/4)
Water/Wastewater Engineers,40.72,3.31,33.14,28.70,291.00,0,593.00,0,243.00,0,321.00,0,0,None (0/4)
Weatherization Installers and Technicians,22.02,0.00,13.59,17.87,595.00,0,640.00,0,722.00,0,516.00,0,0,None (0/4)
Web Administrators,62.12,49.12,45.23,72.88,65.00,0,93.00,0,45.00,0,11.00,1,1,Single-source (1/4)
Web Developers,70.51,34.07,47.34,84.64,17.00,1,177.00,0,23.00,1,3.00,1,3,Moderate (3/4)
Web and Digital Interface Designers,51.24,26.92,51.24,75.23,157.00,0,235.00,0,7.00,1,8.00,1,2,Low (2/4)
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",24.45,15.81,19.46,29.56,557.00,0,340.00,0,570.00,0,303.00,0,0,None (0/4)
"Welders, Cutters, Solderers, and Brazers",16.18,0.00,16.18,2.76,717.00,0,640.00,0,641.00,0,855.00,0,0,None (0/4)
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",15.25,0.00,15.25,13.79,738.00,0,640.00,0,664.00,0,617.00,0,0,None (0/4)
Wellhead Pumpers,14.02,0.00,14.02,32.89,769.00,0,640.00,0,705.00,0,255.00,0,0,None (0/4)
"Wholesale and Retail Buyers, Except Farm Products",60.23,36.56,44.49,36.91,80.00,0,162.00,0,53.00,0,196.00,0,0,None (0/4)
Wind Energy Development Managers,13.94,15.27,13.94,19.43,770.00,0,350.00,0,708.00,0,485.00,0,0,None (0/4)
Wind Energy Engineers,31.40,0.00,31.40,18.39,439.00,0,640.00,0,280.00,0,507.00,0,0,None (0/4)
Wind Energy Operations Managers,13.82,11.19,9.98,26.10,774.00,0,407.00,0,805.00,0,366.00,0,0,None (0/4)
Wind Turbine Service Technicians,29.01,0.00,29.01,14.69,488.00,0,640.00,0,325.00,0,589.00,0,0,None (0/4)
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",23.36,0.00,23.36,8.22,572.00,0,640.00,0,457.00,0,758.00,0,0,None (0/4)
Word Processors and Typists,72.28,45.94,43.94,79.15,9.00,1,116.00,0,59.00,0,5.00,1,2,Low (2/4)
Writers and Authors,49.27,50.60,49.27,51.24,175.00,0,85.00,0,18.00,1,106.00,0,1,Single-source (1/4)
Zoologists and Wildlife Biologists,36.45,8.46,30.15,9.77,368.00,0,466.00,0,303.00,0,717.00,0,0,None (0/4)
