title_current,major,job_zone,outlook,emp,wage,pct,tier
Dermatologists,Healthcare Practitioners and Technical Occupations,5.00,2.00,10080.00,249103.60,28.56,Restructuring (20–39%)
"Derrick Operators, Oil and Gas",Construction and Extraction Occupations,1.00,3.00,11040.00,62740.00,19.38,Low (<20%)
Desktop Publishers,Office and Administrative Support Occupations,3.00,2.00,4000.00,53620.00,69.89,High (≥60%)
Detectives and Criminal Investigators,Protective Service Occupations,3.00,4.00,18772.00,93580.00,31.20,Restructuring (20–39%)
Diagnostic Medical Sonographers,Healthcare Practitioners and Technical Occupations,3.00,5.00,86460.00,89340.00,37.23,Restructuring (20–39%)
Dietetic Technicians,Healthcare Practitioners and Technical Occupations,3.00,1.00,29950.00,37040.00,52.44,Moderate (40–59%)
Dietitians and Nutritionists,Healthcare Practitioners and Technical Occupations,5.00,4.00,76570.00,73850.00,52.54,Moderate (40–59%)
Digital Forensics Analysts,Computer and Mathematical Occupations,4.00,5.00,17531.00,108970.00,45.34,Moderate (40–59%)
Dining Room and Cafeteria Attendants and Bartender Helpers,Food Preparation and Serving Related Occupations,1.00,2.00,522010.00,32670.00,13.34,Low (<20%)
"Directors, Religious Activities and Education",Community and Social Service Occupations,4.00,1.00,21460.00,54840.00,60.18,High (≥60%)
"Disc Jockeys, Except Radio","Arts, Design, Entertainment, Sports, and Media Occupations",2.00,2.00,8170.00,42827.20,25.07,Restructuring (20–39%)
Dishwashers,Food Preparation and Serving Related Occupations,1.00,2.00,471670.00,33670.00,5.27,Low (<20%)
"Dispatchers, Except Police, Fire, and Ambulance",Office and Administrative Support Occupations,2.00,3.00,211000.00,48880.00,71.51,High (≥60%)
Document Management Specialists,Computer and Mathematical Occupations,4.00,5.00,124166.00,108970.00,76.79,High (≥60%)
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales and Related Occupations,1.00,2.00,4590.00,34530.00,40.73,Moderate (40–59%)
Dredge Operators,Transportation and Material Moving Occupations,2.00,2.00,1030.00,48430.00,0.00,Low (<20%)
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,2.00,2.00,5310.00,46630.00,16.32,Low (<20%)
Driver/Sales Workers,Transportation and Material Moving Occupations,2.00,2.00,417420.00,37130.00,18.31,Low (<20%)
Drywall and Ceiling Tile Installers,Construction and Extraction Occupations,2.00,4.00,82900.00,58140.00,15.59,Low (<20%)
"Earth Drillers, Except Oil and Gas",Construction and Extraction Occupations,2.00,3.00,11754.46,59363.75,5.49,Low (<20%)
"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,12420.00,119980.00,81.89,High (≥60%)
Economists,"Life, Physical, and Social Science Occupations",5.00,3.00,10255.00,115440.00,82.53,High (≥60%)
Editors,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,95480.00,75260.00,63.22,High (≥60%)
"Education Administrators, Kindergarten through Secondary",Management Occupations,5.00,5.00,319630.00,104070.00,22.43,Restructuring (20–39%)
"Education Administrators, Postsecondary",Management Occupations,5.00,5.00,176420.00,103960.00,42.28,Moderate (40–59%)
"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,59090.00,72090.00,83.15,High (≥60%)
"Education and Childcare Administrators, Preschool and Daycare",Management Occupations,4.00,4.00,71620.00,56270.00,27.09,Restructuring (20–39%)
"Educational, Guidance, and Career Counselors and Advisors",Community and Social Service Occupations,5.00,4.00,342350.00,65140.00,40.04,Moderate (40–59%)
"Electric Motor, Power Tool, and Related Repairers","Installation, Maintenance, and Repair Occupations",3.00,2.00,16570.00,53990.00,21.61,Restructuring (20–39%)
Electrical Engineers,Architecture and Engineering Occupations,4.00,5.00,188790.00,111910.00,46.76,Moderate (40–59%)
Electrical Power-Line Installers and Repairers,"Installation, Maintenance, and Repair Occupations",2.00,4.00,123680.00,92560.00,20.80,Restructuring (20–39%)
Electrical and Electronic Engineering Technologists and Technicians,Architecture and Engineering Occupations,3.00,4.00,92710.00,77180.00,42.53,Moderate (40–59%)
Electrical and Electronic Equipment Assemblers,Production Occupations,2.00,2.00,91100.00,44210.00,26.38,Restructuring (20–39%)
Electrical and Electronics Drafters,Architecture and Engineering Occupations,3.00,3.00,20020.00,73720.00,46.56,Moderate (40–59%)
"Electrical and Electronics Installers and Repairers, Transportation Equipment","Installation, Maintenance, and Repair Occupations",3.00,3.00,7310.00,82730.00,32.01,Restructuring (20–39%)
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Installation, Maintenance, and Repair Occupations",3.00,4.00,59990.00,71300.00,43.74,Moderate (40–59%)
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Installation, Maintenance, and Repair Occupations",3.00,3.00,23040.00,100940.00,41.62,Moderate (40–59%)
Electricians,Construction and Extraction Occupations,3.00,4.00,742580.00,62350.00,43.47,Moderate (40–59%)
Electro-Mechanical and Mechatronics Technologists and Technicians,Architecture and Engineering Occupations,3.00,3.00,7340.00,70760.00,34.65,Restructuring (20–39%)
Electromechanical Equipment Assemblers,Production Occupations,2.00,2.00,91100.00,44210.00,15.62,Low (<20%)
"Electronic Equipment Installers and Repairers, Motor Vehicles","Installation, Maintenance, and Repair Occupations",3.00,3.00,10140.00,47940.00,34.64,Restructuring (20–39%)
"Electronics Engineers, Except Computer",Architecture and Engineering Occupations,4.00,5.00,66013.00,127590.00,59.87,Moderate (40–59%)
"Elementary School Teachers, Except Special Education",Educational Instruction and Library Occupations,4.00,5.00,1393310.00,62340.00,63.21,High (≥60%)
Elevator and Escalator Installers and Repairers,Construction and Extraction Occupations,3.00,4.00,23340.00,106580.00,8.02,Low (<20%)
"Eligibility Interviewers, Government Programs",Office and Administrative Support Occupations,3.00,3.00,156260.00,51500.00,55.87,Moderate (40–59%)
Embalmers,Personal Care and Service Occupations,3.00,2.00,3420.00,56280.00,9.68,Low (<20%)
Emergency Management Directors,Management Occupations,4.00,3.00,12570.00,86130.00,26.92,Restructuring (20–39%)
Emergency Medical Technicians,Healthcare Practitioners and Technical Occupations,3.00,2.00,137186.00,50216.40,10.44,Low (<20%)
Emergency Medicine Physicians,Healthcare Practitioners and Technical Occupations,5.00,0.00,24358.57,249103.60,16.51,Low (<20%)
Endoscopy Technicians,Healthcare Support Occupations,2.00,2.00,27713.00,46050.00,1.46,Low (<20%)
Energy Auditors,Construction and Extraction Occupations,3.00,4.00,51428.00,72120.00,29.04,Restructuring (20–39%)
"Energy Engineers, Except Wind and Solar",Architecture and Engineering Occupations,4.00,5.00,25824.00,117750.00,34.01,Restructuring (20–39%)
Engine and Other Machine Assemblers,Production Occupations,2.00,3.00,38420.00,52540.00,18.72,Low (<20%)
"Engineering Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,39910.00,106120.00,82.86,High (≥60%)
"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,59590.00,78270.00,71.86,High (≥60%)
"Entertainment and Recreation Managers, Except Gambling",Management Occupations,4.00,3.00,560732.43,89920.54,39.76,Restructuring (20–39%)
Environmental Compliance Inspectors,Business and Financial Operations Occupations,4.00,4.00,33212.00,78420.00,33.29,Restructuring (20–39%)
Environmental Economists,"Life, Physical, and Social Science Occupations",5.00,3.00,5625.00,115440.00,46.14,Moderate (40–59%)
Environmental Engineering Technologists and Technicians,Architecture and Engineering Occupations,4.00,2.00,12500.00,58890.00,31.26,Restructuring (20–39%)
Environmental Engineers,Architecture and Engineering Occupations,4.00,5.00,37950.00,104170.00,37.92,Restructuring (20–39%)
Environmental Restoration Planners,"Life, Physical, and Social Science Occupations",5.00,4.00,7041.00,80060.00,28.49,Restructuring (20–39%)
"Environmental Science Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,7130.00,87710.00,72.77,High (≥60%)
"Environmental Science and Protection Technicians, Including Health","Life, Physical, and Social Science Occupations",4.00,3.00,39390.00,49490.00,29.56,Restructuring (20–39%)
"Environmental Scientists and Specialists, Including Health","Life, Physical, and Social Science Occupations",4.00,4.00,30210.00,80060.00,49.68,Moderate (40–59%)
Epidemiologists,"Life, Physical, and Social Science Occupations",5.00,4.00,11460.00,83980.00,31.54,Restructuring (20–39%)
Equal Opportunity Representatives and Officers,Business and Financial Operations Occupations,4.00,4.00,63415.00,78420.00,31.77,Restructuring (20–39%)
Etchers and Engravers,Production Occupations,2.00,1.00,8390.00,40450.00,17.43,Low (<20%)
"Excavating and Loading Machine and Dragline Operators, Surface Mining",Construction and Extraction Occupations,2.00,3.00,34210.00,52550.00,11.21,Low (<20%)
Executive Secretaries and Executive Administrative Assistants,Office and Administrative Support Occupations,3.00,3.00,472770.00,74260.00,64.84,High (≥60%)
Exercise Physiologists,Healthcare Practitioners and Technical Occupations,4.00,3.00,8110.00,58160.00,50.46,Moderate (40–59%)
Exercise Trainers and Group Fitness Instructors,Personal Care and Service Occupations,3.00,3.00,303620.00,46180.00,34.33,Restructuring (20–39%)
"Explosives Workers, Ordnance Handling Experts, and Blasters",Construction and Extraction Occupations,2.00,3.00,11754.46,59363.75,5.05,Low (<20%)
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,2.00,2.00,65700.00,46980.00,20.75,Restructuring (20–39%)
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Production Occupations,2.00,2.00,14900.00,44980.00,19.09,Low (<20%)
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Production Occupations,2.00,2.00,57310.00,45130.00,18.58,Low (<20%)
Fabric and Apparel Patternmakers,Production Occupations,3.00,2.00,2860.00,67670.00,23.62,Restructuring (20–39%)
Facilities Managers,Management Occupations,3.00,5.00,184500.52,106986.55,7.55,Low (<20%)
Fallers,"Farming, Fishing, and Forestry Occupations",1.00,1.00,4110.00,53900.00,15.08,Low (<20%)
Family Medicine Physicians,Healthcare Practitioners and Technical Occupations,5.00,5.00,107950.00,238380.00,21.06,Restructuring (20–39%)
"Family and Consumer Sciences Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,3.00,2630.00,77280.00,31.46,Restructuring (20–39%)
Farm Equipment Mechanics and Service Technicians,"Installation, Maintenance, and Repair Occupations",3.00,3.00,36880.00,52080.00,18.20,Low (<20%)
Farm Labor Contractors,Business and Financial Operations Occupations,2.00,4.00,410.00,48690.00,19.80,Low (<20%)
Farm and Home Management Educators,Educational Instruction and Library Occupations,5.00,2.00,10260.00,58120.00,36.57,Restructuring (20–39%)
"Farmers, Ranchers, and Other Agricultural Managers",Management Occupations,4.00,4.00,5910.00,87980.00,12.11,Low (<20%)
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry Occupations",1.00,1.00,261690.00,35690.00,5.69,Low (<20%)
"Farmworkers, Farm, Ranch, and Aquacultural Animals","Farming, Fishing, and Forestry Occupations",2.00,2.00,35420.00,36150.00,26.78,Restructuring (20–39%)
Fashion Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,20910.00,80690.00,55.70,Moderate (40–59%)
Fast Food and Counter Workers,Food Preparation and Serving Related Occupations,1.00,2.00,1804350.00,30480.00,29.37,Restructuring (20–39%)
Fence Erectors,Construction and Extraction Occupations,2.00,3.00,22640.00,46940.00,8.90,Low (<20%)
Fiberglass Laminators and Fabricators,Production Occupations,2.00,2.00,18520.00,45760.00,10.34,Low (<20%)
File Clerks,Office and Administrative Support Occupations,2.00,1.00,78980.00,41270.00,56.14,Moderate (40–59%)
Film and Video Editors,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,28860.00,70980.00,72.00,High (≥60%)
Financial Examiners,Business and Financial Operations Occupations,4.00,4.00,62830.00,90400.00,19.16,Low (<20%)
Financial Managers,Management Occupations,4.00,5.00,18868.00,161700.00,25.11,Restructuring (20–39%)
Financial Quantitative Analysts,Business and Financial Operations Occupations,5.00,4.00,93246.00,80190.00,84.89,High (≥60%)
Financial Risk Specialists,Business and Financial Operations Occupations,4.00,5.00,188297.86,103841.07,33.64,Restructuring (20–39%)
Financial and Investment Analysts,Business and Financial Operations Occupations,4.00,5.00,188297.86,103841.07,50.47,Moderate (40–59%)
"Fine Artists, Including Painters, Sculptors, and Illustrators","Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,10000.00,60560.00,67.94,High (≥60%)
Fire Inspectors and Investigators,Protective Service Occupations,3.00,3.00,14050.00,78060.00,21.51,Restructuring (20–39%)
Fire-Prevention and Protection Engineers,Architecture and Engineering Occupations,4.00,4.00,13114.00,109660.00,33.79,Restructuring (20–39%)
Firefighters,Protective Service Occupations,3.00,3.00,332240.00,59530.00,13.47,Low (<20%)
First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction Occupations,3.00,4.00,483212.00,78690.00,57.06,Moderate (40–59%)
First-Line Supervisors of Correctional Officers,Protective Service Occupations,3.00,4.00,53390.00,76310.00,26.39,Restructuring (20–39%)
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Personal Care and Service Occupations,2.00,2.00,107697.71,52137.45,25.44,Restructuring (20–39%)
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry Occupations",3.00,3.00,29530.00,59330.00,7.87,Low (<20%)
First-Line Supervisors of Firefighting and Prevention Workers,Protective Service Occupations,3.00,5.00,93680.00,92430.00,3.73,Low (<20%)
First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving Related Occupations,2.00,2.00,1187460.00,42010.00,36.45,Restructuring (20–39%)
First-Line Supervisors of Gambling Services Workers,Personal Care and Service Occupations,2.00,2.00,25530.00,61590.00,37.61,Restructuring (20–39%)
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Transportation and Material Moving Occupations,2.00,2.00,61568.00,61900.00,34.58,Restructuring (20–39%)
First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning and Maintenance Occupations,2.00,3.00,174660.00,47520.00,45.60,Moderate (40–59%)
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building and Grounds Cleaning and Maintenance Occupations,3.00,4.00,124130.00,56170.00,22.93,Restructuring (20–39%)
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Transportation and Material Moving Occupations,3.00,2.00,123136.00,61900.00,21.06,Restructuring (20–39%)
"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair Occupations",3.00,5.00,600680.00,78300.00,48.72,Moderate (40–59%)
First-Line Supervisors of Non-Retail Sales Workers,Sales and Related Occupations,4.00,4.00,219010.00,84130.00,67.92,High (≥60%)
First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support Occupations,3.00,4.00,1495580.00,66140.00,68.43,High (≥60%)
First-Line Supervisors of Passenger Attendants,Transportation and Material Moving Occupations,3.00,2.00,107697.71,52137.45,23.83,Restructuring (20–39%)
First-Line Supervisors of Personal Service Workers,Personal Care and Service Occupations,3.00,2.00,107697.71,52137.45,27.95,Restructuring (20–39%)
First-Line Supervisors of Police and Detectives,Protective Service Occupations,2.00,5.00,153130.00,105980.00,18.41,Low (<20%)
First-Line Supervisors of Production and Operating Workers,Production Occupations,3.00,4.00,685140.00,71190.00,32.67,Restructuring (20–39%)
First-Line Supervisors of Retail Sales Workers,Sales and Related Occupations,2.00,3.00,1113160.00,47320.00,67.18,High (≥60%)
First-Line Supervisors of Security Workers,Protective Service Occupations,2.00,3.00,70310.00,58610.00,21.55,Restructuring (20–39%)
Fish and Game Wardens,Protective Service Occupations,4.00,4.00,6420.00,68180.00,37.81,Restructuring (20–39%)
Fishing and Hunting Workers,"Farming, Fishing, and Forestry Occupations",1.00,1.00,0.00,31471.20,5.81,Low (<20%)
Fitness and Wellness Coordinators,Management Occupations,4.00,4.00,5621.00,61340.00,38.38,Restructuring (20–39%)
Flight Attendants,Transportation and Material Moving Occupations,2.00,3.00,130110.00,67130.00,36.73,Restructuring (20–39%)
"Floor Layers, Except Carpet, Wood, and Hard Tiles",Construction and Extraction Occupations,2.00,3.00,24850.00,54340.00,9.90,Low (<20%)
Floor Sanders and Finishers,Construction and Extraction Occupations,1.00,3.00,4140.00,49150.00,0.00,Low (<20%)
Floral Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,1.00,40160.00,36120.00,33.92,Restructuring (20–39%)
Food Batchmakers,Production Occupations,2.00,2.00,171660.00,40790.00,25.16,Restructuring (20–39%)
Food Cooking Machine Operators and Tenders,Production Occupations,2.00,1.00,27660.00,40550.00,18.90,Low (<20%)
Food Preparation Workers,Food Preparation and Serving Related Occupations,2.00,2.00,888770.00,34220.00,35.77,Restructuring (20–39%)
Food Science Technicians,"Life, Physical, and Social Science Occupations",3.00,2.00,9848.10,47795.71,35.68,Restructuring (20–39%)
Food Scientists and Technologists,"Life, Physical, and Social Science Occupations",4.00,4.00,14370.00,85310.00,48.90,Moderate (40–59%)
"Food Servers, Nonrestaurant",Food Preparation and Serving Related Occupations,2.00,2.00,271780.00,34460.00,22.31,Restructuring (20–39%)
Food Service Managers,Management Occupations,2.00,3.00,244230.00,65310.00,32.93,Restructuring (20–39%)
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Production Occupations,2.00,1.00,19500.00,42730.00,10.59,Low (<20%)
"Foreign Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,21170.00,77010.00,70.20,High (≥60%)
Forensic Science Technicians,"Life, Physical, and Social Science Occupations",3.00,2.00,19450.00,67440.00,50.01,Moderate (40–59%)
Forest Fire Inspectors and Prevention Specialists,Protective Service Occupations,3.00,3.00,2780.00,52380.00,12.20,Low (<20%)
Forest and Conservation Technicians,"Life, Physical, and Social Science Occupations",3.00,2.00,31080.00,54310.00,22.14,Restructuring (20–39%)
Forest and Conservation Workers,"Farming, Fishing, and Forestry Occupations",2.00,1.00,5630.00,43680.00,11.78,Low (<20%)
Foresters,"Life, Physical, and Social Science Occupations",4.00,3.00,9650.00,70660.00,12.88,Low (<20%)
"Forestry and Conservation Science Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,1310.00,100830.00,73.62,High (≥60%)
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,2.00,2.00,8760.00,49240.00,20.06,Restructuring (20–39%)
Foundry Mold and Coremakers,Production Occupations,2.00,2.00,12720.00,45700.00,0.00,Low (<20%)
"Fraud Examiners, Investigators and Analysts",Business and Financial Operations Occupations,4.00,4.00,34204.00,80190.00,68.45,High (≥60%)
Freight Forwarders,Office and Administrative Support Occupations,2.00,2.00,67478.00,49900.00,51.92,Moderate (40–59%)
Fuel Cell Engineers,Architecture and Engineering Occupations,4.00,5.00,46219.00,102320.00,37.66,Restructuring (20–39%)
Fundraisers,Business and Financial Operations Occupations,4.00,3.00,105930.00,66490.00,56.91,Moderate (40–59%)
Fundraising Managers,Management Occupations,4.00,4.00,58664.44,131835.56,11.92,Low (<20%)
Funeral Attendants,Personal Care and Service Occupations,2.00,2.00,30560.00,34610.00,40.19,Moderate (40–59%)
Funeral Home Managers,Management Occupations,3.00,4.00,13120.00,76830.00,19.66,Low (<20%)
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Production Occupations,2.00,1.00,16160.00,47010.00,25.77,Restructuring (20–39%)
Furniture Finishers,Production Occupations,2.00,2.00,14230.00,42530.00,16.17,Low (<20%)
Gambling Cage Workers,Office and Administrative Support Occupations,2.00,3.00,13490.00,36990.00,31.39,Restructuring (20–39%)
Gambling Change Persons and Booth Cashiers,Sales and Related Occupations,2.00,2.00,21930.00,34810.00,30.95,Restructuring (20–39%)
Gambling Dealers,Personal Care and Service Occupations,2.00,2.00,82980.00,33280.00,47.20,Moderate (40–59%)
Gambling Managers,Management Occupations,2.00,3.00,4620.00,85580.00,21.88,Restructuring (20–39%)
Gambling Surveillance Officers and Gambling Investigators,Protective Service Occupations,2.00,2.00,10000.00,43900.00,37.15,Restructuring (20–39%)
Gambling and Sports Book Writers and Runners,Personal Care and Service Occupations,2.00,2.00,7600.00,30460.00,41.19,Moderate (40–59%)
Gas Compressor and Gas Pumping Station Operators,Transportation and Material Moving Occupations,2.00,3.00,5110.00,71510.00,0.83,Low (<20%)
Gas Plant Operators,Production Occupations,2.00,3.00,15910.00,83400.00,21.18,Restructuring (20–39%)
Gem and Diamond Workers,Production Occupations,3.00,2.00,6190.00,49140.00,29.86,Restructuring (20–39%)
General Internal Medicine Physicians,Healthcare Practitioners and Technical Occupations,5.00,4.00,66640.00,236350.00,16.70,Low (<20%)
General and Operations Managers,Management Occupations,4.00,5.00,3584420.00,102950.00,27.87,Restructuring (20–39%)
Genetic Counselors,Healthcare Practitioners and Technical Occupations,5.00,0.00,3510.00,98910.00,47.32,Moderate (40–59%)
Geneticists,"Life, Physical, and Social Science Occupations",5.00,4.00,10170.00,93330.00,47.63,Moderate (40–59%)
Geodetic Surveyors,Architecture and Engineering Occupations,4.00,4.00,14417.00,72740.00,19.55,Low (<20%)
Geographers,"Life, Physical, and Social Science Occupations",4.00,2.00,1380.00,97200.00,67.97,High (≥60%)
Geographic Information Systems Technologists and Technicians,Computer and Mathematical Occupations,3.00,5.00,86239.00,108970.00,47.21,Moderate (40–59%)
"Geography Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,3.00,3290.00,86730.00,73.45,High (≥60%)
"Geological Technicians, Except Hydrologic Technicians","Life, Physical, and Social Science Occupations",4.00,3.00,7302.89,52009.56,14.98,Low (<20%)
"Geoscientists, Except Hydrologists and Geographers","Life, Physical, and Social Science Occupations",5.00,4.00,22510.00,99240.00,32.58,Restructuring (20–39%)
Geothermal Production Managers,Management Occupations,3.00,5.00,42452.00,121440.00,10.04,Low (<20%)
Geothermal Technicians,"Installation, Maintenance, and Repair Occupations",2.00,2.00,183690.00,48640.00,33.35,Restructuring (20–39%)
"Glass Blowers, Molders, Benders, and Finishers",Production Occupations,2.00,2.00,5037.00,45690.00,14.67,Low (<20%)
Glaziers,Construction and Extraction Occupations,2.00,3.00,57000.00,55440.00,15.47,Low (<20%)
Government Property Inspectors and Investigators,Business and Financial Operations Occupations,3.00,4.00,68789.00,78420.00,50.14,Moderate (40–59%)
"Graders and Sorters, Agricultural Products","Farming, Fishing, and Forestry Occupations",1.00,1.00,26870.00,35430.00,10.06,Low (<20%)
Graphic Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,214260.00,61300.00,81.02,High (≥60%)
"Grinding and Polishing Workers, Hand",Production Occupations,2.00,3.00,11850.00,41690.00,14.29,Low (<20%)
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,2.00,2.00,70110.00,45190.00,22.17,Restructuring (20–39%)
"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service Occupations,3.00,2.00,295460.00,35250.00,47.20,Moderate (40–59%)
Hazardous Materials Removal Workers,Construction and Extraction Occupations,3.00,3.00,50570.00,48490.00,9.12,Low (<20%)
Health Education Specialists,Community and Social Service Occupations,4.00,3.00,65150.00,63000.00,25.86,Restructuring (20–39%)
Health Informatics Specialists,Computer and Mathematical Occupations,5.00,5.00,94384.00,103790.00,52.85,Moderate (40–59%)
Health Information Technologists and Medical Registrars,Healthcare Practitioners and Technical Occupations,3.00,4.00,115042.12,58521.52,38.11,Restructuring (20–39%)
"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,5.00,229720.00,105620.00,76.86,High (≥60%)
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Architecture and Engineering Occupations,4.00,4.00,10106.00,109660.00,42.84,Moderate (40–59%)
Healthcare Social Workers,Community and Social Service Occupations,5.00,4.00,185940.00,68090.00,42.22,Moderate (40–59%)
Hearing Aid Specialists,Healthcare Practitioners and Technical Occupations,3.00,2.00,10580.00,61560.00,14.11,Low (<20%)
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,2.00,1.00,14590.00,47450.00,20.58,Restructuring (20–39%)
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Installation, Maintenance, and Repair Occupations",3.00,4.00,396870.00,59810.00,27.05,Restructuring (20–39%)
Heavy and Tractor-Trailer Truck Drivers,Transportation and Material Moving Occupations,2.00,3.00,2070480.00,57440.00,21.53,Restructuring (20–39%)
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Construction and Extraction Occupations,2.00,2.00,15660.00,46480.00,14.28,Low (<20%)
Helpers--Carpenters,Construction and Extraction Occupations,2.00,2.00,24610.00,41600.00,6.10,Low (<20%)
Helpers--Electricians,Construction and Extraction Occupations,2.00,2.00,64440.00,39890.00,15.52,Low (<20%)
Helpers--Extraction Workers,Construction and Extraction Occupations,2.00,2.00,6720.00,48400.00,3.66,Low (<20%)
"Helpers--Installation, Maintenance, and Repair Workers","Installation, Maintenance, and Repair Occupations",2.00,2.00,97540.00,38860.00,18.07,Low (<20%)
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Construction and Extraction Occupations,1.00,2.00,7220.00,38140.00,7.60,Low (<20%)
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Construction and Extraction Occupations,2.00,2.00,43640.00,39270.00,22.66,Restructuring (20–39%)
Helpers--Production Workers,Production Occupations,2.00,1.00,167490.00,38220.00,12.12,Low (<20%)
Helpers--Roofers,Construction and Extraction Occupations,2.00,2.00,5170.00,40590.00,2.34,Low (<20%)
Highway Maintenance Workers,Construction and Extraction Occupations,2.00,3.00,151750.00,49070.00,3.21,Low (<20%)
Histology Technicians,Healthcare Practitioners and Technical Occupations,3.00,4.00,57173.33,61890.00,4.99,Low (<20%)
Historians,"Life, Physical, and Social Science Occupations",5.00,2.00,3140.00,74050.00,76.04,High (≥60%)
"History Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,19860.00,81500.00,79.93,High (≥60%)
Histotechnologists,Healthcare Practitioners and Technical Occupations,4.00,4.00,57173.33,61890.00,12.02,Low (<20%)
Hoist and Winch Operators,Transportation and Material Moving Occupations,2.00,2.00,2480.00,52310.00,8.77,Low (<20%)
Home Appliance Repairers,"Installation, Maintenance, and Repair Occupations",2.00,2.00,31940.00,49410.00,27.39,Restructuring (20–39%)
Home Health Aides,Healthcare Support Occupations,2.00,2.00,1994070.00,34900.00,29.25,Restructuring (20–39%)
Hospitalists,Healthcare Practitioners and Technical Occupations,5.00,2.00,34801.00,249103.60,18.60,Low (<20%)
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation and Serving Related Occupations,1.00,2.00,427150.00,30380.00,54.22,Moderate (40–59%)
"Hotel, Motel, and Resort Desk Clerks",Office and Administrative Support Occupations,2.00,2.00,261430.00,34270.00,55.30,Moderate (40–59%)
Human Factors Engineers and Ergonomists,Architecture and Engineering Occupations,5.00,4.00,87557.50,101140.00,48.44,Moderate (40–59%)
"Human Resources Assistants, Except Payroll and Timekeeping",Office and Administrative Support Occupations,3.00,2.00,92580.00,49440.00,82.15,High (≥60%)
Human Resources Managers,Management Occupations,4.00,5.00,215520.00,140030.00,52.33,Moderate (40–59%)
Human Resources Specialists,Business and Financial Operations Occupations,4.00,5.00,917460.00,72910.00,75.84,High (≥60%)
Hydroelectric Plant Technicians,Production Occupations,3.00,4.00,2387.00,99670.00,10.99,Low (<20%)
Hydroelectric Production Managers,Management Occupations,3.00,5.00,31675.00,121440.00,10.08,Low (<20%)
Hydrologic Technicians,"Life, Physical, and Social Science Occupations",3.00,3.00,7302.89,52009.56,34.52,Restructuring (20–39%)
Hydrologists,"Life, Physical, and Social Science Occupations",5.00,3.00,5720.00,92060.00,35.11,Restructuring (20–39%)
