title_current,major,job_zone,outlook,emp,wage,pct,tier
"Biological Science Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,53250.00,83460.00,74.81,High (≥60%)
Biological Technicians,"Life, Physical, and Social Science Occupations",4.00,2.00,76190.00,52000.00,50.27,Moderate (40–59%)
Biologists,"Life, Physical, and Social Science Occupations",5.00,4.00,12266.00,93330.00,58.37,Moderate (40–59%)
Biomass Plant Technicians,Production Occupations,2.00,4.00,6822.00,99670.00,8.87,Low (<20%)
Biomass Power Plant Managers,Management Occupations,4.00,5.00,57123.00,121440.00,18.11,Low (<20%)
Biostatisticians,Computer and Mathematical Occupations,5.00,5.00,11132.00,103300.00,59.69,Moderate (40–59%)
Blockchain Engineers,Computer and Mathematical Occupations,4.00,5.00,17531.00,108970.00,48.02,Moderate (40–59%)
Boilermakers,Construction and Extraction Occupations,2.00,3.00,10170.00,73340.00,15.52,Low (<20%)
"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support Occupations,3.00,3.00,1455770.00,49210.00,69.59,High (≥60%)
Brickmasons and Blockmasons,Construction and Extraction Occupations,2.00,4.00,53520.00,60800.00,18.68,Low (<20%)
Bridge and Lock Tenders,Transportation and Material Moving Occupations,2.00,2.00,2720.00,58490.00,0.00,Low (<20%)
Broadcast Announcers and Radio Disc Jockeys,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,23880.00,45680.00,42.82,Moderate (40–59%)
Broadcast Technicians,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,21080.00,53920.00,32.93,Restructuring (20–39%)
Brokerage Clerks,Office and Administrative Support Occupations,3.00,3.00,40090.00,62940.00,71.34,High (≥60%)
Brownfield Redevelopment Specialists and Site Managers,Management Occupations,4.00,4.00,22567.00,136550.00,15.93,Low (<20%)
Budget Analysts,Business and Financial Operations Occupations,4.00,4.00,47170.00,87930.00,53.93,Moderate (40–59%)
"Bus Drivers, School",Transportation and Material Moving Occupations,2.00,3.00,292209.77,40769.77,14.64,Low (<20%)
"Bus Drivers, Transit and Intercity",Transportation and Material Moving Occupations,2.00,3.00,148980.00,57440.00,22.47,Restructuring (20–39%)
Bus and Truck Mechanics and Diesel Engine Specialists,"Installation, Maintenance, and Repair Occupations",3.00,4.00,287230.00,60640.00,28.48,Restructuring (20–39%)
Business Continuity Planners,Business and Financial Operations Occupations,4.00,4.00,217277.00,81270.00,56.03,Moderate (40–59%)
Business Intelligence Analysts,Computer and Mathematical Occupations,4.00,5.00,122459.00,112590.00,92.34,High (≥60%)
"Business Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,81780.00,97270.00,80.38,High (≥60%)
Butchers and Meat Cutters,Production Occupations,2.00,2.00,140040.00,38960.00,40.59,Moderate (40–59%)
"Buyers and Purchasing Agents, Farm Products",Business and Financial Operations Occupations,4.00,4.00,162300.00,75650.00,42.88,Moderate (40–59%)
Cabinetmakers and Bench Carpenters,Production Occupations,2.00,3.00,79540.00,46020.00,23.19,Restructuring (20–39%)
Calibration Technologists and Technicians,Architecture and Engineering Occupations,3.00,3.00,15320.00,65040.00,33.22,Restructuring (20–39%)
"Camera Operators, Television, Video, and Film","Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,24460.00,68810.00,27.63,Restructuring (20–39%)
Camera and Photographic Equipment Repairers,"Installation, Maintenance, and Repair Occupations",3.00,2.00,2010.00,49300.00,34.18,Restructuring (20–39%)
"Captains, Mates, and Pilots of Water Vessels",Transportation and Material Moving Occupations,3.00,2.00,35390.00,85540.00,20.14,Restructuring (20–39%)
Cardiologists,Healthcare Practitioners and Technical Occupations,5.00,2.00,24358.57,249103.60,21.34,Restructuring (20–39%)
Cardiovascular Technologists and Technicians,Healthcare Practitioners and Technical Occupations,3.00,5.00,61180.00,67260.00,27.72,Restructuring (20–39%)
"Career/Technical Education Teachers, Middle School",Educational Instruction and Library Occupations,4.00,4.00,14200.00,63620.00,58.59,Moderate (40–59%)
"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library Occupations,3.00,4.00,111150.00,61490.00,32.38,Restructuring (20–39%)
"Career/Technical Education Teachers, Secondary School",Educational Instruction and Library Occupations,4.00,4.00,104450.00,63910.00,53.33,Moderate (40–59%)
Cargo and Freight Agents,Office and Administrative Support Occupations,2.00,2.00,30322.00,49900.00,51.94,Moderate (40–59%)
Carpenters,Construction and Extraction Occupations,2.00,4.00,697740.00,59310.00,10.71,Low (<20%)
Carpet Installers,Construction and Extraction Occupations,2.00,2.00,14980.00,49850.00,15.76,Low (<20%)
Cartographers and Photogrammetrists,Architecture and Engineering Occupations,4.00,4.00,12790.00,78380.00,39.70,Restructuring (20–39%)
Cashiers,Sales and Related Occupations,2.00,2.00,3148030.00,31190.00,46.94,Moderate (40–59%)
Cement Masons and Concrete Finishers,Construction and Extraction Occupations,1.00,4.00,205230.00,54660.00,16.12,Low (<20%)
Chefs and Head Cooks,Food Preparation and Serving Related Occupations,3.00,3.00,182320.00,60990.00,44.75,Moderate (40–59%)
Chemical Engineers,Architecture and Engineering Occupations,4.00,5.00,20330.00,121860.00,45.78,Moderate (40–59%)
Chemical Equipment Operators and Tenders,Production Occupations,2.00,3.00,127410.00,57090.00,22.80,Restructuring (20–39%)
Chemical Plant and System Operators,Production Occupations,2.00,4.00,17840.00,73540.00,17.22,Low (<20%)
Chemical Technicians,"Life, Physical, and Social Science Occupations",3.00,3.00,55640.00,57790.00,52.62,Moderate (40–59%)
