title_current,pct,pct_ceiling,ai_projection,exposure_projection,major,job_zone,outlook,emp_nat
Commercial Divers,23.55,24.28,27.43,38.26,"Installation, Maintenance, and Repair Occupations",3.00,2.00,3430.00
Chemical Technicians,52.62,56.76,27.36,45.42,"Life, Physical, and Social Science Occupations",3.00,3.00,55640.00
Occupational Therapy Aides,26.41,34.41,27.34,46.98,Healthcare Support Occupations,3.00,3.00,5000.00
Paralegals and Legal Assistants,41.59,55.24,27.30,50.08,Legal Occupations,3.00,3.00,367220.00
"Teaching Assistants, Postsecondary",43.01,52.52,27.16,50.47,Educational Instruction and Library Occupations,5.00,2.00,155010.00
Power Distributors and Dispatchers,36.17,48.36,27.16,44.49,Production Occupations,3.00,4.00,9180.00
Electricians,43.47,43.47,27.11,38.30,Construction and Extraction Occupations,3.00,4.00,742580.00
Nuclear Monitoring Technicians,42.22,48.20,27.06,44.61,"Life, Physical, and Social Science Occupations",3.00,2.00,5370.00
Locksmiths and Safe Repairers,3.11,10.50,27.04,34.25,"Installation, Maintenance, and Repair Occupations",2.00,3.00,15550.00
Photonics Technicians,33.69,36.05,27.02,40.50,Architecture and Engineering Occupations,3.00,3.00,16713.00
Farm Equipment Mechanics and Service Technicians,18.20,26.03,27.02,35.57,"Installation, Maintenance, and Repair Occupations",3.00,3.00,36880.00
"Poets, Lyricists and Creative Writers",87.44,88.54,26.84,48.31,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,45017.00
Ship Engineers,7.43,16.55,26.77,38.12,Transportation and Material Moving Occupations,3.00,2.00,8580.00
Computer Numerically Controlled Tool Programmers,53.08,62.09,26.71,36.29,Production Occupations,2.00,3.00,28230.00
Geographic Information Systems Technologists and Technicians,47.21,71.61,26.63,47.20,Computer and Mathematical Occupations,3.00,5.00,86239.00
Veterinary Technologists and Technicians,23.55,30.81,26.55,44.00,Healthcare Practitioners and Technical Occupations,3.00,2.00,131320.00
Speech-Language Pathology Assistants,28.83,35.01,26.44,47.61,Healthcare Support Occupations,3.00,2.00,75937.00
Gambling Surveillance Officers and Gambling Investigators,37.15,61.84,26.30,46.92,Protective Service Occupations,2.00,2.00,10000.00
Software Developers,45.16,64.68,26.27,49.81,Computer and Mathematical Occupations,4.00,5.00,725946.38
Agricultural Inspectors,28.01,31.08,26.25,45.15,"Farming, Fishing, and Forestry Occupations",2.00,1.00,12090.00
First-Line Supervisors of Housekeeping and Janitorial Workers,45.60,50.96,26.23,43.14,Building and Grounds Cleaning and Maintenance Occupations,2.00,3.00,174660.00
Pharmacy Technicians,50.59,65.11,26.19,46.43,Healthcare Practitioners and Technical Occupations,3.00,3.00,487920.00
Police Identification and Records Officers,22.07,41.61,26.13,46.90,Protective Service Occupations,3.00,4.00,17928.00
Surgical Assistants,6.89,9.77,26.04,43.50,Healthcare Practitioners and Technical Occupations,3.00,3.00,22860.00
Payroll and Timekeeping Clerks,54.70,73.89,26.03,41.06,Office and Administrative Support Occupations,3.00,3.00,156950.00
"Preschool Teachers, Except Special Education",46.74,52.65,25.95,46.35,Educational Instruction and Library Occupations,3.00,2.00,445080.00
Cytogenetic Technologists,38.37,44.76,25.92,43.89,Healthcare Practitioners and Technical Occupations,4.00,4.00,42880.00
Judicial Law Clerks,62.97,70.16,25.90,50.35,Legal Occupations,5.00,0.00,13220.00
Flight Attendants,36.73,38.93,25.76,45.42,Transportation and Material Moving Occupations,2.00,3.00,130110.00
Carpenters,10.71,16.40,25.74,33.72,Construction and Extraction Occupations,2.00,4.00,697740.00
Athletes and Sports Competitors,46.65,46.65,25.68,41.34,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,3.00,14370.00
Embalmers,9.68,17.14,25.67,41.45,Personal Care and Service Occupations,3.00,2.00,3420.00
"Interviewers, Except Eligibility and Loan",68.81,76.14,25.63,48.00,Office and Administrative Support Occupations,3.00,2.00,157310.00
Quality Control Analysts,25.72,42.59,25.55,41.69,"Life, Physical, and Social Science Occupations",3.00,2.00,20858.00
"Insulation Workers, Mechanical",29.44,29.44,25.52,28.61,Construction and Extraction Occupations,2.00,2.00,25640.00
Customer Service Representatives,84.08,85.86,25.46,44.70,Office and Administrative Support Occupations,2.00,2.00,2725930.00
Legal Secretaries and Administrative Assistants,33.57,74.10,25.36,45.62,Office and Administrative Support Occupations,3.00,2.00,154540.00
Reservation and Transportation Ticket Agents and Travel Clerks,50.48,68.47,25.35,46.11,Office and Administrative Support Occupations,2.00,2.00,127440.00
Statistical Assistants,84.01,86.25,25.27,47.88,Office and Administrative Support Occupations,4.00,3.00,5900.00
Phlebotomists,17.06,21.13,25.23,43.57,Healthcare Support Occupations,3.00,2.00,138880.00
Biological Technicians,50.27,71.71,25.23,40.48,"Life, Physical, and Social Science Occupations",4.00,2.00,76190.00
Computer Network Support Specialists,81.36,89.65,25.11,44.90,Computer and Mathematical Occupations,4.00,4.00,146450.00
Music Directors and Composers,37.62,50.89,25.07,47.50,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,0.00,12330.00
Gas Plant Operators,21.18,32.89,24.94,37.28,Production Occupations,2.00,3.00,15910.00
Executive Secretaries and Executive Administrative Assistants,64.84,87.55,24.93,48.18,Office and Administrative Support Occupations,3.00,3.00,472770.00
Nannies,37.78,47.53,24.76,44.11,Personal Care and Service Occupations,2.00,2.00,166129.00
Tax Preparers,62.90,73.45,24.70,43.08,Business and Financial Operations Occupations,3.00,4.00,73570.00
Dental Assistants,38.05,41.18,24.68,39.84,Healthcare Support Occupations,3.00,2.00,375430.00
Cargo and Freight Agents,51.94,66.58,24.55,38.20,Office and Administrative Support Occupations,2.00,2.00,30322.00
"Human Resources Assistants, Except Payroll and Timekeeping",82.15,89.79,24.53,45.31,Office and Administrative Support Occupations,3.00,2.00,92580.00
Endoscopy Technicians,1.46,2.95,24.47,42.79,Healthcare Support Occupations,2.00,2.00,27713.00
Bill and Account Collectors,71.85,80.11,24.42,42.40,Office and Administrative Support Occupations,2.00,3.00,165020.00
Stationary Engineers and Boiler Operators,20.10,35.57,24.38,31.09,Production Occupations,3.00,2.00,30780.00
Medical Secretaries and Administrative Assistants,31.36,73.25,24.29,41.65,Office and Administrative Support Occupations,2.00,3.00,830760.00
Bicycle Repairers,25.44,30.25,24.28,30.49,"Installation, Maintenance, and Repair Occupations",2.00,1.00,12590.00
Remote Sensing Technicians,29.17,63.81,24.27,44.44,"Life, Physical, and Social Science Occupations",4.00,2.00,50542.00
"Credit Authorizers, Checkers, and Clerks",35.11,53.51,24.24,42.70,Office and Administrative Support Occupations,2.00,2.00,11960.00
Broadcast Announcers and Radio Disc Jockeys,42.82,55.70,24.06,46.73,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,23880.00
Transportation Inspectors,23.78,32.65,24.06,41.90,Transportation and Material Moving Occupations,4.00,3.00,7773.33
Web Developers,84.52,90.77,24.04,44.21,Computer and Mathematical Occupations,3.00,5.00,67083.73
"Court, Municipal, and License Clerks",40.28,64.37,23.96,43.89,Office and Administrative Support Occupations,2.00,2.00,170010.00
Social Science Research Assistants,53.47,68.89,23.86,44.50,"Life, Physical, and Social Science Occupations",4.00,2.00,32940.00
Credit Analysts,54.05,78.00,23.84,41.89,Business and Financial Operations Occupations,4.00,4.00,67370.00
Riggers,29.83,32.31,23.82,32.42,"Installation, Maintenance, and Repair Occupations",2.00,2.00,24190.00
Food Science Technicians,35.68,48.63,23.67,37.78,"Life, Physical, and Social Science Occupations",3.00,2.00,9848.10
Retail Salespersons,57.36,69.00,23.64,39.48,Sales and Related Occupations,2.00,2.00,3800250.00
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",75.10,90.87,23.51,45.62,Office and Administrative Support Occupations,2.00,3.00,1737820.00
Helpers--Electricians,15.52,15.52,23.47,26.49,Construction and Extraction Occupations,2.00,2.00,64440.00
Travel Guides,50.12,57.71,23.44,43.59,Personal Care and Service Occupations,2.00,2.00,24505.00
Histotechnologists,12.02,13.99,23.41,36.92,Healthcare Practitioners and Technical Occupations,4.00,4.00,57173.33
Broadcast Technicians,32.93,56.23,23.38,40.01,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,21080.00
Home Appliance Repairers,27.39,38.87,23.38,33.07,"Installation, Maintenance, and Repair Occupations",2.00,2.00,31940.00
Railroad Conductors and Yardmasters,18.88,26.48,23.35,37.57,Transportation and Material Moving Occupations,2.00,2.00,42710.00
Skincare Specialists,52.96,55.30,23.25,38.67,Personal Care and Service Occupations,3.00,2.00,70240.00
"Control and Valve Installers and Repairers, Except Mechanical Door",24.17,29.17,23.13,30.20,"Installation, Maintenance, and Repair Occupations",3.00,4.00,46920.00
Recreational Vehicle Service Technicians,29.04,29.04,23.11,30.13,"Installation, Maintenance, and Repair Occupations",2.00,2.00,18710.00
Biomass Plant Technicians,8.87,21.25,23.10,32.86,Production Occupations,2.00,4.00,6822.00
"Fine Artists, Including Painters, Sculptors, and Illustrators",67.94,70.70,23.06,34.84,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,10000.00
Team Assemblers,13.85,23.36,23.01,31.57,Production Occupations,2.00,2.00,728900.00
Fence Erectors,8.90,8.90,22.87,27.13,Construction and Extraction Occupations,2.00,3.00,22640.00
Correspondence Clerks,50.43,71.06,22.82,41.25,Office and Administrative Support Occupations,2.00,1.00,6260.00
Motorcycle Mechanics,22.62,22.62,22.69,33.82,"Installation, Maintenance, and Repair Occupations",3.00,3.00,14010.00
Jewelers and Precious Stone and Metal Workers,19.34,21.97,22.69,23.86,Production Occupations,3.00,2.00,17230.00
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",14.94,14.94,22.62,30.60,Building and Grounds Cleaning and Maintenance Occupations,2.00,1.00,25200.00
"Plumbers, Pipefitters, and Steamfitters",19.99,22.69,22.58,24.39,Construction and Extraction Occupations,3.00,4.00,238034.00
Surgical Technologists,7.70,12.58,22.45,38.10,Healthcare Practitioners and Technical Occupations,3.00,4.00,113890.00
Brokerage Clerks,71.34,83.73,22.44,43.11,Office and Administrative Support Occupations,3.00,3.00,40090.00
Motorboat Mechanics and Service Technicians,12.95,13.04,22.42,26.47,"Installation, Maintenance, and Repair Occupations",3.00,3.00,24250.00
Appraisers and Assessors of Real Estate,26.63,41.83,22.42,37.68,Business and Financial Operations Occupations,4.00,4.00,29535.00
Computer Numerically Controlled Tool Operators,33.16,46.45,22.40,27.86,Production Occupations,2.00,3.00,176950.00
Bus and Truck Mechanics and Diesel Engine Specialists,28.48,34.68,22.37,27.90,"Installation, Maintenance, and Repair Occupations",3.00,4.00,287230.00
"Computer, Automated Teller, and Office Machine Repairers",48.83,59.39,22.34,36.84,"Installation, Maintenance, and Repair Occupations",3.00,2.00,73010.00
Motorboat Operators,6.31,12.86,22.33,33.83,Transportation and Material Moving Occupations,2.00,2.00,2380.00
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",16.32,21.32,22.33,30.06,Production Occupations,2.00,2.00,5310.00
Industrial Machinery Mechanics,30.86,39.18,22.12,28.21,"Installation, Maintenance, and Repair Occupations",3.00,4.00,421940.00
Dental Laboratory Technicians,14.43,14.43,22.08,33.09,Production Occupations,2.00,2.00,33920.00
Data Warehousing Specialists,88.71,91.95,21.95,41.23,Computer and Mathematical Occupations,4.00,5.00,32385.00
Insurance Underwriters,52.72,61.44,21.93,42.24,Business and Financial Operations Occupations,4.00,4.00,107820.00
Exercise Trainers and Group Fitness Instructors,34.33,38.55,21.90,38.22,Personal Care and Service Occupations,3.00,3.00,303620.00
"Electronic Equipment Installers and Repairers, Motor Vehicles",34.64,39.28,21.78,31.59,"Installation, Maintenance, and Repair Occupations",3.00,3.00,10140.00
"Rotary Drill Operators, Oil and Gas",9.33,17.98,21.72,30.03,Construction and Extraction Occupations,2.00,3.00,13090.00
Court Reporters and Simultaneous Captioners,19.41,57.07,21.61,37.21,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,12630.00
Helpers--Carpenters,6.10,6.10,21.61,27.26,Construction and Extraction Occupations,2.00,2.00,24610.00
Biofuels Processing Technicians,13.88,32.28,21.60,29.98,Production Occupations,2.00,4.00,15950.00
"Geological Technicians, Except Hydrologic Technicians",14.98,31.74,21.59,36.18,"Life, Physical, and Social Science Occupations",4.00,3.00,7302.89
Cartographers and Photogrammetrists,39.70,60.56,21.58,41.17,Architecture and Engineering Occupations,4.00,4.00,12790.00
Security and Fire Alarm Systems Installers,37.72,37.72,21.49,32.41,"Installation, Maintenance, and Repair Occupations",3.00,3.00,81510.00
Power Plant Operators,15.78,26.17,21.38,27.94,Production Occupations,2.00,4.00,21510.00
Medical Equipment Repairers,37.28,45.06,21.34,30.16,"Installation, Maintenance, and Repair Occupations",3.00,4.00,60830.00
Audiovisual Equipment Installers and Repairers,21.33,32.45,21.32,31.85,"Installation, Maintenance, and Repair Occupations",3.00,3.00,22170.00
Massage Therapists,20.80,22.52,21.31,34.48,Healthcare Support Occupations,3.00,4.00,96040.00
"Production, Planning, and Expediting Clerks",46.06,65.36,21.28,39.23,Office and Administrative Support Occupations,2.00,3.00,385000.00
Self-Enrichment Teachers,27.88,41.24,21.23,39.09,Educational Instruction and Library Occupations,3.00,2.00,308520.00
"Helpers--Installation, Maintenance, and Repair Workers",18.07,18.07,21.19,23.79,"Installation, Maintenance, and Repair Occupations",2.00,2.00,97540.00
Hazardous Materials Removal Workers,9.12,17.84,21.17,34.23,Construction and Extraction Occupations,3.00,3.00,50570.00
Appraisers of Personal and Business Property,41.67,56.38,21.16,40.91,Business and Financial Operations Occupations,4.00,4.00,29535.00
"Mobile Heavy Equipment Mechanics, Except Engines",21.83,27.06,21.16,29.67,"Installation, Maintenance, and Repair Occupations",3.00,4.00,180270.00
Fabric and Apparel Patternmakers,23.62,34.20,21.13,34.41,Production Occupations,3.00,2.00,2860.00
"Hotel, Motel, and Resort Desk Clerks",55.30,67.80,21.13,38.30,Office and Administrative Support Occupations,2.00,2.00,261430.00
Surveying and Mapping Technicians,29.73,46.50,21.08,37.25,Architecture and Engineering Occupations,3.00,2.00,56720.00
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",14.60,23.19,20.91,25.90,Production Occupations,2.00,2.00,31510.00
File Clerks,56.14,74.95,20.86,37.35,Office and Administrative Support Occupations,2.00,1.00,78980.00
Electrical Power-Line Installers and Repairers,20.80,21.94,20.82,28.71,"Installation, Maintenance, and Repair Occupations",2.00,4.00,123680.00
Animal Trainers,14.76,16.60,20.79,35.87,Personal Care and Service Occupations,2.00,1.00,20110.00
Psychiatric Aides,22.92,29.03,20.72,38.26,Healthcare Support Occupations,2.00,2.00,34900.00
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.54,4.38,20.55,32.88,Transportation and Material Moving Occupations,2.00,3.00,12080.00
Chemical Plant and System Operators,17.22,19.60,20.42,32.32,Production Occupations,2.00,4.00,17840.00
Veterinary Assistants and Laboratory Animal Caretakers,21.56,30.73,20.38,34.85,Healthcare Support Occupations,2.00,2.00,114190.00
Locomotive Engineers,18.80,23.14,20.18,34.04,Transportation and Material Moving Occupations,2.00,2.00,31990.00
Billing and Posting Clerks,36.77,66.60,20.16,34.98,Office and Administrative Support Occupations,3.00,3.00,417500.00
Telemarketers,83.26,98.17,19.96,32.24,Sales and Related Occupations,2.00,1.00,66430.00
Camera and Photographic Equipment Repairers,34.18,34.18,19.75,30.35,"Installation, Maintenance, and Repair Occupations",3.00,2.00,2010.00
"Substitute Teachers, Short-Term",38.11,52.79,19.70,37.64,Educational Instruction and Library Occupations,4.00,2.00,481300.00
Insurance Claims and Policy Processing Clerks,36.27,69.60,19.61,38.99,Office and Administrative Support Occupations,2.00,3.00,229070.00
Demonstrators and Product Promoters,57.43,69.12,19.58,36.17,Sales and Related Occupations,2.00,1.00,64770.00
"Insurance Appraisers, Auto Damage",44.79,44.79,19.50,37.40,Business and Financial Operations Occupations,3.00,4.00,7790.00
"Layout Workers, Metal and Plastic",18.20,19.32,19.45,23.71,Production Occupations,2.00,2.00,5610.00
Cytotechnologists,45.93,49.87,19.43,33.36,Healthcare Practitioners and Technical Occupations,5.00,4.00,42880.00
Desktop Publishers,69.89,80.07,19.43,38.41,Office and Administrative Support Occupations,3.00,2.00,4000.00
Bartenders,28.74,34.33,19.39,35.00,Food Preparation and Serving Related Occupations,2.00,2.00,745610.00
Childcare Workers,38.68,40.53,19.33,35.15,Personal Care and Service Occupations,2.00,2.00,354051.00
"Makeup Artists, Theatrical and Performance",17.67,17.67,19.28,36.54,Personal Care and Service Occupations,3.00,2.00,3320.00
Pest Control Workers,33.67,33.79,19.25,36.25,Building and Grounds Cleaning and Maintenance Occupations,2.00,1.00,96110.00
Cooling and Freezing Equipment Operators and Tenders,24.18,35.58,19.24,28.21,Production Occupations,2.00,2.00,6590.00
"Maintenance and Repair Workers, General",20.80,25.12,19.18,26.84,"Installation, Maintenance, and Repair Occupations",3.00,3.00,1531700.00
"Title Examiners, Abstractors, and Searchers",66.18,73.31,19.10,37.09,Legal Occupations,2.00,3.00,48170.00
Concierges,65.83,75.09,19.00,36.71,Personal Care and Service Occupations,2.00,1.00,44200.00
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",21.79,33.31,18.95,30.52,Production Occupations,2.00,4.00,34860.00
Sheet Metal Workers,31.58,31.58,18.92,25.73,Construction and Extraction Occupations,2.00,3.00,117470.00
"Rail Yard Engineers, Dinkey Operators, and Hostlers",18.05,22.96,18.73,29.23,Transportation and Material Moving Occupations,2.00,2.00,3300.00
Home Health Aides,29.25,31.23,18.72,37.32,Healthcare Support Occupations,2.00,2.00,1994070.00
Telecommunications Line Installers and Repairers,39.03,39.65,18.69,29.16,"Installation, Maintenance, and Repair Occupations",2.00,3.00,98360.00
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",13.39,14.70,18.65,27.90,Production Occupations,2.00,2.00,32890.00
Counter and Rental Clerks,70.76,83.28,18.61,33.10,Sales and Related Occupations,2.00,2.00,398620.00
Animal Breeders,47.23,53.29,18.60,26.08,"Farming, Fishing, and Forestry Occupations",2.00,1.00,1730.00
Actors,79.37,79.63,18.50,31.14,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,0.00,38800.00
Automotive Service Technicians and Mechanics,18.91,29.48,18.46,24.53,"Installation, Maintenance, and Repair Occupations",3.00,3.00,688840.00
"Teaching Assistants, Special Education",26.69,38.06,18.33,34.26,Educational Instruction and Library Occupations,3.00,2.00,382577.50
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",20.34,33.14,18.28,26.64,Production Occupations,2.00,1.00,22350.00
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",40.73,56.92,18.20,28.95,Sales and Related Occupations,1.00,2.00,4590.00
Agricultural Technicians,26.56,29.16,18.18,27.89,"Life, Physical, and Social Science Occupations",3.00,1.00,9848.10
Prepress Technicians and Workers,36.67,58.13,18.10,31.67,Production Occupations,3.00,1.00,23070.00
"Bookkeeping, Accounting, and Auditing Clerks",69.59,82.82,18.06,32.52,Office and Administrative Support Occupations,3.00,3.00,1455770.00
Medical Transcriptionists,75.29,82.69,18.04,34.74,Healthcare Support Occupations,3.00,1.00,43070.00
Medical Equipment Preparers,0.97,9.56,18.00,29.95,Healthcare Support Occupations,2.00,2.00,72760.00
Museum Technicians and Conservators,57.94,65.40,17.83,33.63,Educational Instruction and Library Occupations,4.00,1.00,13070.00
Subway and Streetcar Operators,16.84,30.70,17.68,30.23,Transportation and Material Moving Occupations,2.00,2.00,9200.00
Stonemasons,10.30,10.55,17.64,27.39,Construction and Extraction Occupations,2.00,3.00,8750.00
Automotive and Watercraft Service Attendants,17.99,25.26,17.62,24.23,Transportation and Material Moving Occupations,2.00,2.00,98270.00
Physical Therapist Aides,10.07,16.86,17.55,35.27,Healthcare Support Occupations,2.00,2.00,44010.00
Roofers,5.61,5.61,17.55,23.62,Construction and Extraction Occupations,2.00,4.00,136740.00
Ophthalmic Medical Technicians,1.21,3.35,17.53,32.97,Healthcare Practitioners and Technical Occupations,3.00,1.00,76520.00
"Patternmakers, Wood",31.98,36.86,17.33,20.08,Production Occupations,3.00,2.00,180.00
Dental Hygienists,9.99,20.52,17.30,31.31,Healthcare Practitioners and Technical Occupations,3.00,5.00,219070.00
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",24.87,33.39,17.08,23.19,Production Occupations,2.00,2.00,129850.00
Mechanical Door Repairers,11.38,22.66,17.02,25.06,"Installation, Maintenance, and Repair Occupations",2.00,3.00,27970.00
Signal and Track Switch Repairers,13.79,20.01,17.01,18.95,"Installation, Maintenance, and Repair Occupations",3.00,2.00,8210.00
Postal Service Clerks,28.78,51.31,16.98,29.25,Office and Administrative Support Occupations,2.00,3.00,78060.00
Histology Technicians,4.99,4.99,16.92,27.93,Healthcare Practitioners and Technical Occupations,3.00,4.00,57173.33
Personal Care Aides,44.45,48.61,16.89,28.02,Healthcare Support Occupations,2.00,2.00,1994070.00
Library Technicians,58.86,68.01,16.87,31.13,Educational Instruction and Library Occupations,3.00,1.00,73770.00
"Electric Motor, Power Tool, and Related Repairers",21.61,28.31,16.73,22.25,"Installation, Maintenance, and Repair Occupations",3.00,2.00,16570.00
Floral Designers,33.92,43.14,16.62,27.52,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,1.00,40160.00
"Derrick Operators, Oil and Gas",19.38,20.24,16.59,22.98,Construction and Extraction Occupations,1.00,3.00,11040.00
"Cooks, Private Household",41.42,41.72,16.54,27.55,Food Preparation and Serving Related Occupations,3.00,2.00,900.00
Rail Car Repairers,7.40,15.50,16.53,12.82,"Installation, Maintenance, and Repair Occupations",2.00,3.00,18300.00
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",20.62,31.20,16.50,29.10,Protective Service Occupations,2.00,2.00,143590.00
Outdoor Power Equipment and Other Small Engine Mechanics,19.06,32.57,16.48,16.63,"Installation, Maintenance, and Repair Occupations",2.00,1.00,34240.00
Food Batchmakers,25.16,33.14,16.42,23.91,Production Occupations,2.00,2.00,171660.00
"Hairdressers, Hairstylists, and Cosmetologists",47.20,48.77,16.31,29.65,Personal Care and Service Occupations,3.00,2.00,295460.00
"Coil Winders, Tapers, and Finishers",16.19,28.10,16.22,20.31,Production Occupations,2.00,2.00,12170.00
"Camera Operators, Television, Video, and Film",27.63,47.13,16.19,32.24,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,24460.00
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",28.63,30.36,16.09,19.41,Production Occupations,2.00,2.00,18970.00
"Inspectors, Testers, Sorters, Samplers, and Weighers",24.87,33.70,15.97,26.98,Production Occupations,2.00,3.00,591180.00
Nursing Assistants,14.84,18.82,15.87,28.34,Healthcare Support Occupations,3.00,2.00,1388430.00
Word Processors and Typists,75.09,90.66,15.85,30.13,Office and Administrative Support Occupations,2.00,1.00,36030.00
Tool and Die Makers,22.89,28.19,15.81,20.34,Production Occupations,3.00,3.00,55130.00
"Model Makers, Wood",24.17,32.28,15.75,18.08,Production Occupations,3.00,2.00,360.00
Boilermakers,15.52,16.31,15.75,23.64,Construction and Extraction Occupations,2.00,3.00,10170.00
Structural Iron and Steel Workers,9.69,12.69,15.67,21.49,Construction and Extraction Occupations,2.00,3.00,64720.00
"Bus Drivers, School",14.64,25.01,15.59,24.89,Transportation and Material Moving Occupations,2.00,3.00,292209.77
"Maintenance Workers, Machinery",17.99,28.10,15.58,17.77,"Installation, Maintenance, and Repair Occupations",3.00,4.00,56540.00
"Office Clerks, General",71.37,82.44,15.56,30.53,Office and Administrative Support Occupations,2.00,3.00,2510550.00
Gambling Cage Workers,31.39,46.57,15.48,30.12,Office and Administrative Support Occupations,2.00,3.00,13490.00
Receptionists and Information Clerks,73.83,84.57,15.43,30.18,Office and Administrative Support Occupations,2.00,2.00,964530.00
"Glass Blowers, Molders, Benders, and Finishers",14.67,19.14,15.43,18.89,Production Occupations,2.00,2.00,5037.00
Photographic Process Workers and Processing Machine Operators,20.87,57.22,15.42,28.39,Production Occupations,2.00,1.00,5550.00
Brickmasons and Blockmasons,18.68,18.68,15.42,19.06,Construction and Extraction Occupations,2.00,4.00,53520.00
Musical Instrument Repairers and Tuners,28.49,28.49,15.39,25.15,"Installation, Maintenance, and Repair Occupations",3.00,1.00,5730.00
Tellers,45.63,71.25,15.19,29.08,Office and Administrative Support Occupations,2.00,2.00,339340.00
Cabinetmakers and Bench Carpenters,23.19,23.96,15.16,14.64,Production Occupations,2.00,3.00,79540.00
"Cooks, Institution and Cafeteria",16.33,28.22,15.13,26.62,Food Preparation and Serving Related Occupations,2.00,2.00,448260.00
Tour Guides and Escorts,36.88,43.85,15.13,28.54,Personal Care and Service Occupations,3.00,2.00,24505.00
"Farmworkers, Farm, Ranch, and Aquacultural Animals",26.78,28.73,15.00,22.98,"Farming, Fishing, and Forestry Occupations",2.00,2.00,35420.00
Pile Driver Operators,0.00,6.36,14.95,10.91,Construction and Extraction Occupations,2.00,4.00,3040.00
Parking Enforcement Workers,18.67,35.77,14.78,26.55,Protective Service Occupations,2.00,2.00,7770.00
Merchandise Displayers and Window Trimmers,38.94,49.75,14.50,25.98,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,192480.00
Watch and Clock Repairers,16.48,19.73,14.46,17.44,"Installation, Maintenance, and Repair Occupations",3.00,2.00,1300.00
"Roof Bolters, Mining",10.08,14.05,14.42,18.45,Construction and Extraction Occupations,2.00,4.00,2230.00
Continuous Mining Machine Operators,7.01,12.01,14.40,17.23,Construction and Extraction Occupations,2.00,4.00,14340.00
"Excavating and Loading Machine and Dragline Operators, Surface Mining",11.21,11.21,14.34,21.90,Construction and Extraction Occupations,2.00,3.00,34210.00
"Switchboard Operators, Including Answering Service",72.58,81.88,14.26,27.33,Office and Administrative Support Occupations,2.00,2.00,35730.00
Bailiffs,43.53,48.23,14.16,23.76,Protective Service Occupations,3.00,4.00,16910.00
Fiberglass Laminators and Fabricators,10.34,10.34,14.15,21.33,Production Occupations,2.00,2.00,18520.00
Data Entry Keyers,65.89,79.58,14.14,25.68,Office and Administrative Support Occupations,2.00,3.00,135280.00
Septic Tank Servicers and Sewer Pipe Cleaners,21.23,28.53,14.01,17.00,Construction and Extraction Occupations,1.00,3.00,29050.00
Transportation Security Screeners,44.68,51.61,13.97,27.69,Protective Service Occupations,2.00,2.00,46340.00
"Meat, Poultry, and Fish Cutters and Trimmers",45.01,45.01,13.96,16.34,Production Occupations,1.00,1.00,141090.00
"Bus Drivers, Transit and Intercity",22.47,34.09,13.93,21.34,Transportation and Material Moving Occupations,2.00,3.00,148980.00
"Patternmakers, Metal and Plastic",34.89,43.01,13.91,17.25,Production Occupations,3.00,3.00,1570.00
Semiconductor Processing Technicians,20.76,33.29,13.86,20.84,Production Occupations,2.00,0.00,32150.00
Telephone Operators,52.49,71.71,13.81,27.14,Office and Administrative Support Occupations,2.00,2.00,3950.00
Forest and Conservation Workers,11.78,14.95,13.78,25.12,"Farming, Fishing, and Forestry Occupations",2.00,1.00,5630.00
Printing Press Operators,22.24,35.78,13.74,19.71,Production Occupations,2.00,2.00,145110.00
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",18.72,30.18,13.71,21.46,Production Occupations,2.00,3.00,28550.00
Craft Artists,65.47,69.94,13.64,20.17,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,1.00,4370.00
Fishing and Hunting Workers,5.81,9.29,13.62,16.72,"Farming, Fishing, and Forestry Occupations",1.00,1.00,0.00
"Model Makers, Metal and Plastic",16.98,27.13,13.56,12.96,Production Occupations,3.00,3.00,3230.00
Metal-Refining Furnace Operators and Tenders,17.97,30.58,13.55,18.14,Production Occupations,2.00,4.00,20330.00
