title_current,config,pct_first,pct_last,pct_delta
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",all_ceiling,32.63,43.17,10.53
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",all_ceiling,24.89,38.03,13.14
Preventive Medicine Physicians,human_conversation,8.25,19.43,11.18
Urologists,human_conversation,12.78,15.64,2.86
Nurse Anesthetists,human_conversation,16.64,16.64,0.00
General Internal Medicine Physicians,human_conversation,16.70,16.70,0.00
Physical Medicine and Rehabilitation Physicians,human_conversation,2.39,16.03,13.64
"Education Administrators, Kindergarten through Secondary",human_conversation,22.43,22.43,0.00
Audiologists,human_conversation,20.68,21.24,0.56
Nuclear Engineers,human_conversation,15.01,16.68,1.67
Emergency Management Directors,human_conversation,25.40,26.92,1.51
Optometrists,human_conversation,18.26,20.88,2.62
Geothermal Production Managers,human_conversation,8.75,10.04,1.28
Neuropsychologists,human_conversation,25.94,25.94,0.00
Hospitalists,human_conversation,18.60,18.60,0.00
Hydroelectric Production Managers,human_conversation,9.16,10.08,0.92
Coroners,human_conversation,26.43,32.08,5.65
Emergency Medicine Physicians,human_conversation,16.51,16.51,0.00
Orthotists and Prosthetists,human_conversation,12.99,12.99,0.00
Biomass Power Plant Managers,human_conversation,13.83,15.19,1.37
Podiatrists,human_conversation,23.08,23.08,0.00
Occupational Health and Safety Specialists,human_conversation,24.88,29.17,4.29
Biofuels Production Managers,human_conversation,4.10,4.10,0.00
Allergists and Immunologists,human_conversation,13.20,22.01,8.81
Epidemiologists,human_conversation,24.67,29.35,4.68
Media Programming Directors,human_conversation,21.73,21.73,0.00
Clinical Neuropsychologists,human_conversation,18.17,18.17,0.00
"Ophthalmologists, Except Pediatric",human_conversation,10.96,10.96,0.00
Materials Engineers,human_conversation,24.34,24.60,0.26
Health Education Specialists,human_conversation,25.86,25.86,0.00
Family Medicine Physicians,human_conversation,21.06,21.06,0.00
Chief Sustainability Officers,human_conversation,14.93,32.17,17.24
Aviation Inspectors,human_conversation,15.13,15.13,0.00
"Education and Childcare Administrators, Preschool and Daycare",human_conversation,27.09,27.09,0.00
"Physicians, Pathologists",human_conversation,22.36,22.36,0.00
First-Line Supervisors of Firefighting and Prevention Workers,human_conversation,3.73,3.73,0.00
Critical Care Nurses,human_conversation,11.65,20.10,8.45
Anesthesiologists,human_conversation,5.14,5.60,0.46
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,human_conversation,21.06,21.06,0.00
Financial Managers,human_conversation,25.11,25.11,0.00
Acute Care Nurses,human_conversation,19.58,29.87,10.29
Marine Engineers and Naval Architects,human_conversation,29.69,29.69,0.00
Quality Control Systems Managers,human_conversation,16.85,17.52,0.67
First-Line Supervisors of Security Workers,human_conversation,21.55,21.55,0.00
Loss Prevention Managers,human_conversation,12.01,14.87,2.85
Gambling Managers,human_conversation,21.88,21.88,0.00
Aerospace Engineers,human_conversation,24.41,26.61,2.21
Postmasters and Mail Superintendents,human_conversation,12.59,14.87,2.28
Oral and Maxillofacial Surgeons,human_conversation,9.98,13.47,3.49
Occupational Health and Safety Technicians,human_conversation,14.57,16.05,1.48
"Transportation, Storage, and Distribution Managers",human_conversation,27.35,27.35,0.00
