title_current,pct,pct_ceiling,emp_nat,major,job_zone,outlook,ai_projection,exposure_projection
"Special Education Teachers, Preschool",32.51,38.54,28200.00,Educational Instruction and Library Occupations,5.00,3.00,35.28,62.03
"Securities, Commodities, and Financial Services Sales Agents",29.00,67.48,472300.00,Sales and Related Occupations,4.00,5.00,35.09,57.09
Air Traffic Controllers,31.15,48.88,22400.00,Transportation and Material Moving Occupations,3.00,3.00,35.01,60.75
Recreation Workers,31.95,51.29,309640.00,Personal Care and Service Occupations,4.00,2.00,34.87,57.86
Recycling Coordinators,19.89,41.10,61568.00,Transportation and Material Moving Occupations,2.00,2.00,34.80,55.62
Biofuels/Biodiesel Technology and Product Development Managers,22.85,29.44,38238.00,Management Occupations,4.00,5.00,34.76,52.76
Traffic Technicians,26.05,48.49,7580.00,Transportation and Material Moving Occupations,3.00,2.00,34.73,51.36
Nuclear Technicians,17.93,31.29,620.00,"Life, Physical, and Social Science Occupations",3.00,2.00,34.68,47.63
Radiation Therapists,19.52,25.64,18700.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,34.66,52.61
Financial Examiners,19.16,34.02,62830.00,Business and Financial Operations Occupations,4.00,4.00,34.50,60.24
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.05,40.24,396870.00,"Installation, Maintenance, and Repair Occupations",3.00,4.00,34.43,43.26
"Environmental Science and Protection Technicians, Including Health",29.56,37.23,39390.00,"Life, Physical, and Social Science Occupations",4.00,3.00,34.35,54.21
Industrial Engineering Technologists and Technicians,30.38,39.93,32570.00,Architecture and Engineering Occupations,3.00,4.00,34.05,49.71
Wind Turbine Service Technicians,29.01,33.26,11220.00,"Installation, Maintenance, and Repair Occupations",3.00,3.00,34.04,43.69
Producers and Directors,28.12,38.85,24762.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,34.00,61.06
Occupational Therapy Assistants,16.83,19.47,47910.00,Healthcare Support Occupations,3.00,3.00,33.97,55.14
Correctional Officers and Jailers,18.03,27.69,365380.00,Protective Service Occupations,2.00,4.00,33.95,56.37
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",7.87,21.46,29530.00,"Farming, Fishing, and Forestry Occupations",3.00,3.00,33.94,52.46
Commercial Pilots,26.52,39.43,51830.00,Transportation and Material Moving Occupations,3.00,3.00,33.91,53.23
Avionics Technicians,29.42,39.85,20900.00,"Installation, Maintenance, and Repair Occupations",3.00,3.00,33.63,48.60
"Electrical and Electronics Installers and Repairers, Transportation Equipment",32.01,36.08,7310.00,"Installation, Maintenance, and Repair Occupations",3.00,3.00,33.50,43.93
Millwrights,14.86,15.88,40660.00,"Installation, Maintenance, and Repair Occupations",2.00,4.00,33.35,37.74
Psychiatric Technicians,15.72,18.76,136300.00,Healthcare Practitioners and Technical Occupations,3.00,2.00,33.13,54.01
Water and Wastewater Treatment Plant and System Operators,0.00,16.84,126750.00,Production Occupations,2.00,3.00,32.99,41.15
Magnetic Resonance Imaging Technologists,22.02,34.26,41530.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,32.95,51.60
Prosthodontists,18.35,18.35,760.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,32.77,51.66
Licensed Practical and Licensed Vocational Nurses,28.83,36.97,632430.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,32.46,56.11
Accountants and Auditors,28.09,43.59,1448290.00,Business and Financial Operations Occupations,4.00,5.00,32.30,55.71
Fire Inspectors and Investigators,21.51,27.90,14050.00,Protective Service Occupations,3.00,3.00,32.28,52.80
Chemical Equipment Operators and Tenders,22.80,28.15,127410.00,Production Occupations,2.00,3.00,32.19,43.04
Physical Therapist Assistants,13.17,20.60,108010.00,Healthcare Support Occupations,3.00,3.00,31.97,53.19
Anesthesiologist Assistants,10.49,21.01,34693.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,31.90,51.91
Forest and Conservation Technicians,22.14,26.68,31080.00,"Life, Physical, and Social Science Occupations",3.00,2.00,31.71,50.89
Environmental Engineering Technologists and Technicians,31.26,46.85,12500.00,Architecture and Engineering Occupations,4.00,2.00,31.61,48.41
Nuclear Power Reactor Operators,8.97,35.94,5720.00,Production Occupations,3.00,4.00,31.37,42.45
"Service Unit Operators, Oil and Gas",6.07,13.51,44120.00,Construction and Extraction Occupations,2.00,3.00,31.31,39.28
Shuttle Drivers and Chauffeurs,16.14,27.69,292209.77,Transportation and Material Moving Occupations,2.00,2.00,30.90,35.93
Gas Compressor and Gas Pumping Station Operators,0.83,51.97,5110.00,Transportation and Material Moving Occupations,2.00,3.00,30.46,39.36
Radiologic Technologists and Technicians,20.21,33.30,223460.00,Healthcare Practitioners and Technical Occupations,3.00,5.00,29.79,44.76
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",32.63,43.17,382577.50,Educational Instruction and Library Occupations,3.00,2.00,29.79,49.79
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,38.03,36260.00,Educational Instruction and Library Occupations,4.00,3.00,29.38,54.75
