category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,z_human_conv,z_aei_api,z_microsoft,z_mcp
Treasurers and Controllers,40.56,27.51,14.02,39.04,1.09,-0.25,-3.04,0.88
Freight Forwarders,40.53,26.68,28.61,48.29,0.50,-1.26,-0.90,2.18
Speech-Language Pathologists,40.44,0.00,19.33,16.38,2.74,-1.93,0.02,-0.18
Librarians and Media Collections Specialists,40.40,22.66,40.40,42.35,0.48,-16.29,0.48,0.77
Robotics Technicians,40.31,4.02,27.68,35.84,1.08,-4.77,0.05,0.64
"Court, Municipal, and License Clerks",40.28,20.07,40.28,60.21,0.00,-2.33,0.00,2.29
Loan Officers,40.23,32.14,30.46,36.59,2.26,-0.73,-1.45,0.44
Bioengineers and Biomedical Engineers,40.11,19.99,40.11,35.97,0.76,-7.85,0.76,0.22
"Educational, Guidance, and Career Counselors and Advisors",40.04,29.64,40.04,21.00,1.03,-0.37,1.03,-2.59
Non-Destructive Testing Specialists,39.98,17.25,33.86,27.71,1.63,-2.71,0.49,-0.23
"Medical Scientists, Except Epidemiologists",39.83,4.31,35.02,23.10,1.23,-3.29,0.71,-0.17
"Entertainment and Recreation Managers, Except Gambling",39.76,0.00,39.76,44.57,0.48,-14.89,0.48,0.79
Cartographers and Photogrammetrists,39.70,6.69,34.43,45.91,0.53,-5.80,0.17,1.07
Fundraisers,39.65,14.57,14.44,32.85,1.80,-1.10,-1.12,0.69
Mechanical Engineers,39.60,19.23,36.62,30.42,1.23,-3.48,0.67,-0.13
Customs Brokers,39.60,21.48,24.39,42.34,0.90,-1.44,-0.89,1.42
Animal Caretakers,39.56,7.98,39.56,22.69,1.02,-2.66,1.02,-0.35
Advanced Practice Psychiatric Nurses,39.46,27.19,14.67,16.00,2.93,0.27,-1.10,-0.90
Mental Health and Substance Abuse Social Workers,39.44,30.86,22.05,23.58,2.96,0.26,-1.16,-0.83
Waiters and Waitresses,39.41,4.02,37.94,27.89,0.93,-4.95,0.78,0.04
"Child, Family, and School Social Workers",39.38,1.31,38.81,24.99,0.93,-4.06,0.88,-0.07
"Special Education Teachers, Middle School",39.22,32.60,21.99,14.52,1.78,0.58,-0.53,-1.93
Chief Executives,39.22,35.47,20.51,28.53,1.48,0.64,-2.56,-0.32
Travel Guides,39.12,26.25,28.57,35.58,1.85,-1.52,-0.76,0.62
"Library Assistants, Clerical",39.06,9.84,25.78,40.52,0.89,-3.11,-0.23,1.07
Merchandise Displayers and Window Trimmers,38.94,0.00,37.34,28.69,0.87,-6.34,0.73,0.15
Medical and Clinical Laboratory Technicians,38.92,5.15,22.11,22.97,2.21,-2.41,-0.01,0.05
Funeral Attendants,38.87,15.40,34.07,16.61,1.61,-1.23,0.79,-1.04
Psychiatrists,38.78,22.72,16.78,8.49,3.19,0.09,-0.43,-1.55
Animal Scientists,38.75,0.00,20.90,10.00,2.72,-1.60,0.23,-0.51
Medical Records Specialists,38.67,18.61,38.67,62.50,-0.06,-2.04,-0.06,2.64
Social Science Research Assistants,38.64,33.99,22.43,52.88,0.14,-0.26,-1.97,2.54
Lawyers,38.63,28.18,27.45,17.71,2.43,0.02,-0.07,-2.19
Social and Human Service Assistants,38.53,0.00,36.51,19.20,1.09,-2.96,0.90,-0.27
Residential Advisors,38.53,17.78,28.27,21.23,3.01,-1.33,0.22,-0.67
Soil and Plant Scientists,38.51,13.70,32.72,16.92,1.71,-1.40,0.72,-0.88
Agricultural Engineers,38.39,0.00,30.44,22.98,1.30,-3.97,0.52,0.00
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",38.31,0.00,38.31,70.78,0.05,-2.62,0.05,2.05
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",38.29,10.56,32.29,20.39,1.58,-2.17,0.65,-0.46
Medical and Clinical Laboratory Technologists,38.26,34.28,34.93,36.91,2.11,-1.45,-0.77,0.51
Health Information Technologists and Medical Registrars,38.11,30.02,38.11,51.21,-0.16,-1.65,-0.16,3.38
"Substitute Teachers, Short-Term",38.11,0.00,38.11,29.67,0.78,-7.25,0.78,0.19
Electricians,38.10,14.17,32.95,11.74,1.59,-0.96,0.80,-1.32
Regulatory Affairs Specialists,37.97,16.05,28.82,44.95,0.55,-2.62,-0.28,1.57
Fish and Game Wardens,37.81,0.00,17.84,3.07,3.23,-1.12,0.20,-0.82
Nannies,37.78,3.74,26.14,14.01,2.06,-1.87,0.44,-0.49
Music Directors and Composers,37.62,5.32,37.62,43.45,0.43,-10.17,0.43,0.89
First-Line Supervisors of Gambling Services Workers,37.61,23.26,37.61,21.66,1.15,-0.98,1.15,-1.35
Nuclear Medicine Technologists,37.55,16.66,21.95,23.57,4.65,-1.29,-0.37,-0.17
Healthcare Social Workers,37.42,19.88,20.86,14.60,5.64,-0.37,-0.26,-1.16
Regulatory Affairs Managers,37.38,27.89,29.06,29.56,9.98,-0.88,-0.50,-0.36
Microsystems Engineers,37.35,20.51,27.10,32.47,1.78,-2.30,-0.35,0.49
Substance Abuse and Behavioral Disorder Counselors,37.34,24.68,25.61,12.01,2.18,-0.02,0.07,-2.44
Cytotechnologists,37.32,30.39,23.31,3.98,1.32,0.53,-0.03,-3.77
Food Scientists and Technologists,37.30,34.61,33.86,17.90,0.90,0.48,0.37,-9.62
Physical Therapists,37.27,17.38,20.87,14.77,6.41,-0.59,-0.18,-0.98
Fuel Cell Engineers,37.26,2.30,34.23,25.63,1.00,-4.99,0.70,0.05
Logistics Analysts,37.22,50.51,15.66,56.81,-0.17,0.68,-3.25,1.27
Occupational Therapists,37.19,19.02,11.92,12.43,5.73,-0.10,-0.85,-0.79
Environmental Engineers,37.18,4.30,24.74,16.47,2.14,-2.09,0.33,-0.34
Gambling Surveillance Officers and Gambling Investigators,37.15,15.41,37.15,44.56,0.32,-5.66,0.32,1.17
Nurse Midwives,37.08,23.19,13.80,14.03,3.75,0.12,-0.94,-0.91
"Administrative Law Judges, Adjudicators, and Hearing Officers",36.96,18.40,24.41,13.04,3.22,-0.53,0.13,-1.43
School Bus Monitors,36.95,0.00,36.95,12.08,1.09,-2.00,1.09,-0.59
Natural Sciences Managers,36.93,16.14,14.84,35.92,1.24,-1.05,-1.26,1.07
"Ushers, Lobby Attendants, and Ticket Takers",36.90,4.87,30.50,34.44,0.85,-9.01,0.29,0.61
Aerospace Engineering and Operations Technologists and Technicians,36.82,10.75,36.82,27.79,0.88,-4.42,0.88,-0.02
Probation Officers and Correctional Treatment Specialists,36.82,0.00,36.82,15.61,1.05,-2.43,1.05,-0.42
Tour Guides and Escorts,36.81,5.09,33.42,30.47,0.89,-8.97,0.55,0.31
Billing and Posting Clerks,36.77,40.60,36.77,63.66,-0.70,-0.33,-0.70,11.60
Flight Attendants,36.73,4.64,33.30,11.59,1.35,-1.66,0.93,-0.75
Supply Chain Managers,36.61,6.79,24.36,36.68,0.93,-3.63,-0.14,0.94
"Computer, Automated Teller, and Office Machine Repairers",36.57,31.73,33.13,26.73,1.80,-0.08,0.30,-2.84
Farm and Home Management Educators,36.57,33.10,36.57,31.46,1.10,-0.60,1.10,-1.97
Construction Managers,36.54,23.50,17.16,21.59,4.85,-0.16,-1.24,-0.42
Zoologists and Wildlife Biologists,36.45,8.46,30.15,9.77,1.67,-1.22,0.75,-1.04
Precision Agriculture Technicians,36.35,16.30,19.21,48.59,0.47,-1.25,-0.89,2.27
Insurance Claims and Policy Processing Clerks,36.27,47.89,36.27,66.20,-0.92,0.10,-0.92,3.88
Recreational Therapists,36.00,13.53,15.02,12.88,20.20,-0.61,-0.44,-0.69
"Arbitrators, Mediators, and Conciliators",35.99,20.51,18.40,14.71,6.17,-0.22,-0.49,-1.07
Molecular and Cellular Biologists,35.84,35.67,23.06,26.12,1.15,1.10,-1.70,-0.74
Diagnostic Medical Sonographers,35.79,14.89,19.30,20.12,6.28,-1.10,-0.40,-0.29
Food Preparation Workers,35.77,0.00,29.88,9.19,1.49,-1.79,0.80,-0.66
Solar Energy Installation Managers,35.74,13.82,25.46,13.91,2.69,-1.03,0.34,-1.01
Validation Engineers,35.48,2.64,31.64,34.87,0.70,-15.20,0.39,0.65
Prepress Technicians and Workers,35.42,12.70,23.41,42.39,0.62,-2.19,-0.44,1.63
Telecommunications Line Installers and Repairers,35.28,7.64,35.28,15.79,1.11,-1.88,1.11,-0.64
"Credit Authorizers, Checkers, and Clerks",35.11,54.10,35.11,50.90,-1.14,1.51,-1.14,0.86
Information Security Engineers,35.06,0.00,35.06,55.56,0.17,-3.54,0.17,1.59
Sales Managers,34.96,47.26,26.17,23.83,0.20,3.23,-0.78,-1.16
Electro-Mechanical and Mechatronics Technologists and Technicians,34.65,19.71,34.65,23.12,1.13,-1.67,1.13,-0.76
First-Line Supervisors of Housekeeping and Janitorial Workers,34.55,26.20,21.43,15.87,2.59,0.23,-0.44,-1.73
Hydrologic Technicians,34.52,0.00,34.52,34.67,0.57,-397.41,0.57,0.58
Power Distributors and Dispatchers,34.51,7.04,17.55,27.73,1.65,-2.29,-0.39,0.58
Public Safety Telecommunicators,34.51,7.78,34.51,51.57,0.15,-3.29,0.15,1.68
Social and Community Service Managers,34.49,18.17,24.89,20.46,3.90,-1.18,0.06,-0.66
Exercise Physiologists,34.42,37.90,22.34,25.79,0.70,1.67,-1.66,-0.71
Geneticists,34.40,33.78,29.21,33.69,0.83,0.48,-12.23,0.43
Food Science Technicians,34.36,15.50,18.45,25.11,2.98,-1.31,-0.69,0.23
Exercise Trainers and Group Fitness Instructors,34.33,10.83,34.33,12.99,1.15,-1.33,1.15,-1.00
First-Line Supervisors of Food Preparation and Serving Workers,34.28,10.45,26.19,28.99,1.24,-4.71,0.13,0.44
Security and Fire Alarm Systems Installers,34.13,9.70,28.60,11.26,1.68,-1.25,0.75,-1.01
Childcare Workers,34.10,15.05,26.24,10.08,2.05,-0.69,0.51,-1.57
"Energy Engineers, Except Wind and Solar",34.01,27.55,34.01,31.20,0.95,-3.40,0.95,-0.18
Nanosystems Engineers,33.99,30.61,30.42,24.19,1.53,0.22,0.17,-3.73
Floral Designers,33.92,0.00,33.91,18.42,0.97,-3.21,0.97,-0.21
Lighting Technicians,33.91,0.00,33.91,27.89,0.74,-9.17,0.74,0.27
Fire-Prevention and Protection Engineers,33.79,0.00,33.64,16.01,1.02,-2.72,1.01,-0.33
Physician Assistants,33.77,40.25,11.55,15.38,0.73,1.69,-1.41,-0.87
"Claims Adjusters, Examiners, and Investigators",33.75,48.91,33.75,25.23,-0.18,3.66,-0.18,-1.55
Photonics Technicians,33.69,0.00,28.92,20.97,1.14,-4.33,0.63,0.01
Financial Risk Specialists,33.64,36.42,33.64,54.79,-0.69,-0.35,-0.69,12.60
Legal Secretaries and Administrative Assistants,33.57,38.91,33.57,71.74,-0.70,-0.34,-0.70,11.81
Mechanical Engineering Technologists and Technicians,33.51,17.18,33.51,36.87,0.41,-9.01,0.41,0.93
Clinical Research Coordinators,33.47,27.27,27.39,32.56,1.46,-1.18,-1.11,0.90
Surveyors,33.39,0.04,23.85,46.37,0.43,-3.05,-0.11,1.59
Geothermal Technicians,33.35,0.00,24.12,17.20,1.58,-3.07,0.44,-0.11
Adapted Physical Education Specialists,33.35,2.74,26.97,6.31,1.63,-1.38,0.77,-0.91
Water Resource Specialists,33.28,1.61,22.05,20.06,1.66,-3.30,0.23,0.07
Hydrologists,33.27,8.85,26.50,26.67,1.23,-5.17,0.28,0.30
Calibration Technologists and Technicians,33.22,0.00,33.22,13.39,1.06,-2.32,1.06,-0.46
Bailiffs,33.16,18.05,33.16,12.36,1.11,-0.68,1.11,-1.81
Computer Numerically Controlled Tool Operators,33.16,13.38,33.16,35.75,0.47,-13.80,0.47,0.80
Anthropologists and Archeologists,33.15,21.19,33.15,14.56,1.08,-0.54,1.08,-2.11
Spa Managers,33.04,37.41,9.86,60.95,-0.12,0.11,-2.26,2.31
"Telecommunications Equipment Installers and Repairers, Except Line Installers",32.81,11.10,32.45,14.71,1.17,-1.50,1.11,-0.86
Environmental Compliance Inspectors,32.75,2.62,32.31,30.64,0.65,-26.25,0.61,0.47
Civil Engineering Technologists and Technicians,32.67,33.09,32.67,38.89,-0.64,-0.46,-0.64,25.44
Slaughterers and Meat Packers,32.66,0.00,32.66,0.00,1.15,-1.15,1.15,-1.15
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",32.63,8.25,32.63,23.12,0.92,-3.86,0.92,-0.10
Medical Dosimetrists,32.41,0.00,32.41,31.25,0.61,-47.52,0.61,0.51
"Career/Technical Education Teachers, Postsecondary",32.38,33.75,32.38,23.31,0.45,0.84,0.45,-12.05
First-Line Supervisors of Production and Operating Workers,32.25,2.09,31.11,25.05,0.84,-7.08,0.72,0.19
Chief Sustainability Officers,32.17,0.00,14.93,14.95,2.57,-2.08,-0.05,-0.05
Coroners,32.08,0.00,26.43,9.10,1.51,-1.88,0.77,-0.61
Recreation Workers,31.95,0.00,29.24,31.07,0.68,-22.25,0.45,0.60
Solar Photovoltaic Installers,31.86,19.34,22.26,10.97,2.45,-0.23,0.15,-2.06
"Compensation, Benefits, and Job Analysis Specialists",31.86,11.65,15.63,33.34,1.01,-1.56,-0.82,1.27
Orthodontists,31.79,8.62,22.50,3.37,2.05,-0.73,0.52,-1.51
First-Line Supervisors of Construction Trades and Extraction Workers,31.61,48.68,16.55,14.05,0.27,2.94,-0.86,-1.13
Broadcast Technicians,31.60,9.96,22.23,48.32,0.24,-1.82,-0.40,2.49
Chefs and Head Cooks,31.59,14.64,24.58,9.98,2.04,-0.67,0.51,-1.60
Sheet Metal Workers,31.58,14.63,10.90,3.90,4.00,-0.06,-0.42,-1.37
"Family and Consumer Sciences Teachers, Postsecondary",31.46,54.34,31.46,29.93,-0.52,26.49,-0.52,-0.69
"Locker Room, Coatroom, and Dressing Room Attendants",31.45,5.30,29.11,14.69,1.26,-2.18,0.90,-0.50
Equal Opportunity Representatives and Officers,31.42,1.94,26.00,24.65,1.03,-7.09,0.43,0.31
Wind Energy Engineers,31.40,0.00,31.40,18.39,0.94,-3.60,0.94,-0.14
Gambling Cage Workers,31.39,10.25,31.39,40.31,0.26,-4.68,0.26,1.31
Medical Secretaries and Administrative Assistants,31.36,46.95,31.36,69.94,-0.93,0.12,-0.93,3.71
Compliance Officers,31.35,17.80,31.35,38.00,0.22,-4.11,0.22,1.43
Environmental Engineering Technologists and Technicians,31.26,18.20,31.26,36.51,0.28,-4.88,0.28,1.27
School Psychologists,31.25,8.31,21.51,26.81,1.30,-3.74,-0.05,0.56
Detectives and Criminal Investigators,31.20,22.66,31.20,25.00,1.11,-1.81,1.11,-0.68
"Patternmakers, Metal and Plastic",31.13,10.56,26.99,29.69,0.84,-8.89,0.28,0.62
"Hairdressers, Hairstylists, and Cosmetologists",31.06,24.00,14.61,23.10,2.03,0.13,-2.62,-0.01
"Patternmakers, Wood",31.05,8.99,27.09,14.82,1.52,-1.81,0.77,-0.64
Gambling Change Persons and Booth Cashiers,30.95,0.00,30.95,43.89,0.27,-4.72,0.27,1.30
Machinists,30.94,7.16,26.61,16.50,1.46,-2.37,0.70,-0.40
Skincare Specialists,30.88,14.12,8.09,10.06,6.54,-0.18,-0.93,-0.65
"Special Education Teachers, Preschool",30.85,12.28,23.26,12.90,2.38,-1.12,0.43,-0.99
Rehabilitation Counselors,30.70,14.16,23.16,30.75,0.96,-3.21,-0.21,0.98
Community Health Workers,30.65,12.43,27.17,24.02,1.22,-4.47,0.52,0.06
Civil Engineers,30.64,7.11,26.04,31.35,0.72,-7.72,0.22,0.81
Clinical Nurse Specialists,30.64,22.30,24.89,11.75,1.58,-0.01,0.35,-3.33
Veterinarians,30.62,7.14,22.49,8.14,2.10,-1.17,0.54,-1.00
Retail Loss Prevention Specialists,30.59,35.26,9.32,20.63,0.68,1.42,-2.61,-0.32
"Geoscientists, Except Hydrologists and Geographers",30.46,7.10,26.31,43.93,0.25,-2.87,-0.05,1.82
Industrial Engineering Technologists and Technicians,30.38,3.12,30.38,25.35,0.74,-8.82,0.74,0.26
Costume Attendants,30.36,0.79,24.61,16.58,1.35,-3.33,0.59,-0.13
Naturopathic Physicians,30.23,35.59,18.14,10.96,0.68,1.62,-0.58,-1.90
Air Traffic Controllers,30.21,1.83,25.44,26.85,0.87,-10.47,0.37,0.51
"Tax Examiners and Collectors, and Revenue Agents",30.03,5.40,25.15,40.74,0.35,-3.33,-0.01,1.58
Industrial Machinery Mechanics,30.03,4.83,26.99,19.31,1.15,-3.73,0.71,-0.09
Acute Care Nurses,29.87,12.74,19.58,10.95,3.39,-0.78,0.17,-1.13
Medical Equipment Repairers,29.86,15.50,29.43,11.86,1.18,-0.80,1.09,-1.60
Gem and Diamond Workers,29.86,0.00,29.86,5.94,1.13,-1.58,1.13,-0.81
Riggers,29.83,0.00,29.83,2.49,1.15,-1.31,1.15,-1.01
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",29.79,11.68,25.84,25.61,1.08,-6.56,0.37,0.33
Surveying and Mapping Technicians,29.73,2.41,29.73,38.31,0.33,-6.09,0.33,1.12
Marine Engineers and Naval Architects,29.69,5.12,29.69,22.52,0.84,-5.36,0.84,0.07
Fitness and Wellness Coordinators,29.60,22.60,22.56,27.25,2.03,-1.08,-1.10,0.57
Camera and Photographic Equipment Repairers,29.58,16.95,25.96,2.68,1.23,-0.17,0.71,-3.30
"Buyers and Purchasing Agents, Farm Products",29.58,25.33,24.78,38.69,-0.00,-0.80,-0.94,4.62
"Environmental Science and Protection Technicians, Including Health",29.56,7.61,21.88,18.04,1.86,-2.65,0.32,-0.15
Avionics Technicians,29.42,0.00,24.26,21.48,1.07,-6.22,0.48,0.23
Fast Food and Counter Workers,29.37,7.52,29.37,15.08,1.09,-2.07,1.09,-0.55
Epidemiologists,29.35,8.99,24.67,23.46,1.18,-5.41,0.39,0.23
Home Health Aides,29.25,0.00,9.91,3.59,4.94,-1.07,-0.07,-0.64
Security Managers,29.20,20.20,11.83,24.78,1.56,-0.19,-2.87,0.50
Occupational Health and Safety Specialists,29.17,0.42,24.88,27.64,0.77,-12.32,0.36,0.61
Medical Assistants,29.17,22.57,17.88,32.13,0.69,-0.51,-2.06,1.57
Plasterers and Stucco Masons,29.14,0.00,29.14,0.00,1.15,-1.15,1.15,-1.15
"Meter Readers, Utilities",29.13,22.84,28.00,32.78,0.25,-2.85,-0.05,1.83
Athletic Trainers,29.12,15.76,21.25,17.61,3.91,-1.17,0.06,-0.66
Recreational Vehicle Service Technicians,29.04,0.00,27.11,7.55,1.25,-1.79,0.99,-0.69
Wind Turbine Service Technicians,29.01,0.00,29.01,14.69,1.00,-2.93,1.00,-0.28
"Securities, Commodities, and Financial Services Sales Agents",29.00,52.76,29.00,65.04,-1.09,0.56,-1.09,2.05
Architectural and Engineering Managers,29.00,38.81,17.32,35.92,-0.14,1.21,-3.42,0.70
Clinical and Counseling Psychologists,28.86,39.26,28.86,23.11,-0.19,3.71,-0.19,-1.53
Pest Control Workers,28.85,18.43,7.97,24.14,1.46,-0.17,-3.04,0.55
Speech-Language Pathology Assistants,28.83,0.00,9.45,14.40,2.85,-1.74,-0.34,0.11
Postal Service Clerks,28.78,0.00,28.64,44.32,0.20,-3.76,0.19,1.52
Neurologists,28.76,7.65,21.57,9.20,2.09,-1.23,0.54,-0.94
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",28.63,0.00,28.63,7.62,1.12,-1.78,1.12,-0.69
Dermatologists,28.56,0.00,11.53,9.87,3.44,-1.61,-0.09,-0.24
Cytogenetic Technologists,28.56,13.70,25.00,14.72,1.72,-1.26,0.72,-0.99
Environmental Restoration Planners,28.49,0.00,28.08,6.67,1.15,-1.69,1.10,-0.75
Bus and Truck Mechanics and Diesel Engine Specialists,28.48,1.95,27.65,7.78,1.19,-1.65,1.07,-0.77
"Insulation Workers, Mechanical",28.47,3.56,27.05,10.97,1.22,-1.91,0.99,-0.62
Airfield Operations Specialists,28.38,10.58,27.12,17.78,1.19,-2.39,0.92,-0.43
Energy Auditors,28.20,7.54,18.46,35.51,0.55,-2.32,-0.36,1.69
Producers and Directors,28.12,44.72,28.12,26.64,-0.50,19.99,-0.50,-0.73
Accountants and Auditors,28.09,46.01,28.09,35.32,-0.93,3.72,-0.93,0.12
Nurse Practitioners,28.02,28.27,20.40,17.48,1.07,1.16,-0.68,-1.81
Self-Enrichment Teachers,27.88,46.27,27.88,20.80,-0.29,5.08,-0.29,-1.24
Midwives,27.73,14.62,20.49,15.72,3.45,-1.11,0.16,-0.80
"Camera Operators, Television, Video, and Film",27.63,20.06,27.63,29.80,0.35,-6.63,0.35,1.07
Cargo and Freight Agents,27.53,29.13,21.55,48.08,-0.39,-0.23,-1.17,5.51
"Radio, Cellular, and Tower Equipment Installers and Repairers",27.44,13.44,27.43,10.75,1.14,-0.88,1.14,-1.49
"Electronic Equipment Installers and Repairers, Motor Vehicles",27.41,15.78,23.09,15.12,2.13,-0.98,0.53,-1.19
Home Appliance Repairers,27.39,0.00,23.90,17.77,1.09,-4.73,0.64,0.05
"Transportation, Storage, and Distribution Managers",27.35,11.68,27.35,25.15,0.70,-11.74,0.70,0.33
Food Service Managers,27.32,14.83,21.43,31.19,0.59,-2.40,-0.35,1.60
Obstetricians and Gynecologists,27.27,45.53,17.09,8.32,0.19,2.95,-0.53,-1.50
"Dentists, General",27.23,23.48,8.74,5.22,1.52,0.83,-0.84,-1.49
"Education and Childcare Administrators, Preschool and Daycare",27.09,25.03,27.09,24.81,1.15,-0.99,1.15,-1.34
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.05,5.70,27.05,20.62,0.85,-5.17,0.85,0.06
Emergency Management Directors,26.92,0.00,25.40,18.77,0.93,-5.47,0.74,0.09
"Farmworkers, Farm, Ranch, and Aquacultural Animals",26.78,0.00,24.17,3.49,1.34,-1.42,0.97,-0.91
"Teaching Assistants, Special Education",26.69,6.67,26.69,20.56,0.85,-5.08,0.85,0.05
Appraisers and Assessors of Real Estate,26.63,29.17,26.63,29.84,-1.13,0.79,-1.13,1.61
Aerospace Engineers,26.61,2.54,24.41,23.15,0.81,-12.66,0.54,0.40
Bartenders,26.49,7.90,21.63,12.71,1.78,-1.77,0.62,-0.62
Police and Sheriff's Patrol Officers,26.44,15.94,26.44,9.60,1.07,-0.50,1.07,-2.20
Public Relations Managers,26.43,10.67,26.43,39.17,0.07,-2.72,0.07,1.98
Occupational Therapy Aides,26.41,8.94,17.43,14.02,3.03,-1.62,0.11,-0.41
Remote Sensing Scientists and Technologists,26.35,27.49,14.75,56.08,-0.30,-0.23,-1.30,4.71
Baggage Porters and Bellhops,26.30,10.26,24.50,26.63,0.66,-13.59,0.37,0.71
Manufactured Building and Mobile Home Installers,26.17,0.00,25.71,4.66,1.17,-1.53,1.11,-0.84
"Electrical and Electronics Installers and Repairers, Transportation Equipment",26.09,12.73,23.50,13.98,1.59,-1.33,0.80,-0.96
Traffic Technicians,26.05,0.00,21.51,39.49,0.29,-3.10,-0.02,1.70
Music Therapists,25.95,17.22,11.66,17.45,3.21,-0.16,-1.72,-0.11
Neuropsychologists,25.94,3.89,25.94,13.42,1.04,-2.47,1.04,-0.41
Health Education Specialists,25.86,34.06,25.86,24.84,-0.47,14.49,-0.47,-0.79
Remote Sensing Technicians,25.82,10.87,24.08,51.44,-0.14,-1.50,-0.26,3.81
"Shipping, Receiving, and Inventory Clerks",25.81,28.97,25.81,41.24,-0.76,-0.22,-0.76,7.88
General and Operations Managers,25.56,8.65,17.96,37.07,0.30,-1.89,-0.41,2.32
Crossing Guards and Flaggers,25.46,2.02,25.46,7.55,1.12,-1.69,1.12,-0.75
"Sawing Machine Setters, Operators, and Tenders, Wood",25.45,4.20,25.45,11.70,1.08,-2.10,1.08,-0.54
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",25.44,6.38,25.44,28.97,0.43,-9.94,0.43,0.90
Bicycle Repairers,25.44,0.00,25.44,9.19,1.08,-2.14,1.08,-0.53
First-Line Supervisors of Personal Service Workers,25.33,7.40,22.92,24.84,0.73,-13.27,0.36,0.65
Musical Instrument Repairers and Tuners,25.23,4.22,25.23,0.00,1.14,-0.86,1.14,-1.50
"Mining and Geological Engineers, Including Mining Safety Engineers",25.19,0.00,25.19,24.06,0.62,-38.32,0.62,0.50
Food Batchmakers,25.16,0.00,10.01,16.08,2.03,-2.24,-0.29,0.34
Sports Medicine Physicians,25.15,1.17,19.06,12.62,1.57,-2.84,0.51,-0.20
Agricultural Inspectors,25.14,6.78,12.02,8.46,6.00,-0.96,-0.14,-0.65
Financial Managers,25.11,72.07,25.11,48.46,-1.00,2.91,-1.00,0.28
"Disc Jockeys, Except Radio",25.07,0.00,25.07,29.52,0.43,-10.33,0.43,0.88
Bakers,25.05,0.00,19.84,22.22,0.90,-8.58,0.30,0.55
Transit and Railroad Police,24.91,0.00,13.96,10.49,2.31,-2.19,0.17,-0.20
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,51.00,24.89,22.02,-0.49,16.34,-0.49,-0.77
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",24.87,9.86,24.87,11.12,1.15,-1.31,1.15,-1.01
Materials Engineers,24.60,0.00,24.34,22.90,0.65,-26.20,0.62,0.47
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",24.45,15.81,19.46,29.56,0.40,-1.72,-0.55,2.23
Construction and Building Inspectors,24.32,14.59,16.25,18.28,4.30,-1.20,-0.57,-0.02
Audio and Video Technicians,24.21,20.52,24.21,38.90,-0.38,-1.01,-0.38,7.49
Cooling and Freezing Equipment Operators and Tenders,24.18,0.00,24.18,14.21,0.94,-3.62,0.94,-0.14
"Model Makers, Wood",24.17,7.38,20.86,10.09,1.60,-1.49,0.77,-0.83
Project Management Specialists,24.05,0.00,24.05,49.30,-0.02,-2.23,-0.02,2.40
Commercial Pilots,23.97,6.13,23.39,22.10,0.70,-17.74,0.61,0.42
Media Technical Directors/Managers,23.92,7.50,23.92,30.24,0.29,-5.08,0.29,1.24
"Judges, Magistrate Judges, and Magistrates",23.86,15.69,10.97,4.44,2.39,0.26,-0.38,-1.90
First-Line Supervisors of Passenger Attendants,23.83,7.71,23.83,12.60,1.10,-1.91,1.10,-0.63
Transportation Inspectors,23.78,0.00,23.78,15.01,0.90,-4.12,0.90,-0.06
"Control and Valve Installers and Repairers, Except Mechanical Door",23.67,1.24,23.67,13.59,0.96,-3.28,0.96,-0.20
Fabric and Apparel Patternmakers,23.62,0.00,23.62,32.55,0.29,-5.16,0.29,1.23
Commercial Divers,23.55,0.00,21.27,2.10,1.34,-1.33,0.98,-0.99
Sound Engineering Technicians,23.47,14.45,9.77,56.80,-0.14,-0.64,-0.98,5.87
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",23.36,0.00,23.36,8.22,1.08,-2.09,1.08,-0.55
Stockers and Order Fillers,23.26,9.23,23.26,37.83,-0.01,-2.24,-0.01,2.38
Nanotechnology Engineering Technologists and Technicians,23.23,14.20,23.23,23.01,0.60,-69.50,0.60,0.53
Cabinetmakers and Bench Carpenters,23.19,0.00,22.01,4.76,1.23,-1.61,1.04,-0.79
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",23.19,4.44,19.72,22.77,0.77,-9.22,0.27,0.70
Podiatrists,23.08,0.00,23.08,4.92,1.13,-1.62,1.13,-0.79
Quality Control Analysts,23.05,4.02,18.88,27.14,0.54,-4.61,0.07,1.18
Taxi Drivers,22.94,9.02,22.94,11.71,1.14,-1.57,1.14,-0.82
Tool and Die Makers,22.89,3.61,22.89,9.34,1.11,-1.89,1.11,-0.64
Industrial Ecologists,22.85,2.00,21.19,19.76,0.80,-12.45,0.56,0.38
