category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,z_human_conv,z_aei_api,z_microsoft,z_mcp
"Nursing Instructors and Teachers, Postsecondary",52.04,44.47,26.16,20.91,1.74,0.69,-0.80,-1.50
Data Entry Keyers,52.01,38.16,38.17,70.30,0.17,-0.95,-0.95,3.44
Library Technicians,51.99,26.06,40.08,43.32,1.69,-3.10,-0.03,0.30
Clinical Data Managers,51.77,47.91,31.95,56.12,0.52,0.10,-4.86,1.17
Robotics Engineers,51.66,36.31,38.76,40.96,5.58,-1.08,-0.54,-0.16
Real Estate Brokers,51.44,60.66,18.64,34.90,0.63,1.57,-2.33,-0.39
Training and Development Specialists,51.39,26.37,41.60,18.81,1.94,-0.65,0.55,-1.66
"Meeting, Convention, and Event Planners",51.29,48.73,21.11,29.71,1.28,0.94,-1.88,-0.64
Web and Digital Interface Designers,51.24,26.92,51.24,75.23,0.00,-2.33,0.00,2.29
"Electronics Engineers, Except Computer",50.77,22.35,35.57,34.99,2.65,-2.02,-0.03,-0.09
Penetration Testers,50.76,0.00,50.76,61.45,0.41,-8.80,0.41,0.94
Mechatronics Engineers,50.59,7.34,23.04,43.34,1.44,-2.22,-0.46,0.75
Financial and Investment Analysts,50.47,34.81,50.47,55.12,0.34,-6.40,0.34,1.09
"News Analysts, Reporters, and Journalists",50.37,46.43,50.37,53.38,0.09,-2.85,0.09,1.90
Curators,50.36,60.54,36.04,32.87,0.48,2.23,-0.85,-1.31
Astronomers,50.07,16.52,23.17,33.51,3.00,-1.41,-0.61,0.20
Insurance Sales Agents,49.96,46.68,31.37,36.68,1.51,0.77,-1.89,-0.60
Compensation and Benefits Managers,49.93,27.02,21.64,28.89,6.39,-0.44,-1.07,-0.26
Talent Directors,49.67,13.51,10.40,11.94,24.28,-0.47,-0.69,-0.58
"Cooks, Short Order",49.64,8.72,32.42,13.17,2.50,-1.26,0.38,-0.83
Telemarketers,49.63,68.29,35.43,90.13,-0.54,0.35,-1.67,2.37
Software Quality Assurance Analysts and Testers,49.63,18.32,49.63,72.37,0.11,-2.96,0.11,1.84
Telephone Operators,49.59,9.05,47.26,62.26,0.37,-5.45,0.25,1.18
Mental Health Counselors,49.43,40.82,28.78,25.60,2.21,0.48,-0.81,-1.36
Correspondence Clerks,49.42,20.69,33.63,51.45,0.92,-2.48,-0.40,1.17
Choreographers,49.37,13.44,37.41,7.56,1.89,-0.84,0.62,-1.41
Writers and Authors,49.27,50.60,49.27,51.24,-1.09,0.59,-1.09,2.00
Retail Salespersons,49.23,37.64,39.99,47.68,1.42,-1.62,-0.77,0.88
Art Therapists,49.14,4.15,21.03,16.46,4.04,-1.40,-0.10,-0.37
Industrial Engineers,48.83,7.60,39.94,32.03,1.32,-3.89,0.50,-0.00
Pharmacy Aides,48.82,13.38,34.04,57.55,0.63,-2.81,-0.25,1.43
Radio Frequency Identification Device Specialists,48.75,6.06,41.85,41.13,0.93,-9.00,0.43,0.39
Industrial-Organizational Psychologists,48.73,57.57,36.99,14.01,0.58,1.38,-0.14,-3.27
Mechanical Drafters,48.69,6.90,44.39,58.60,0.45,-5.99,0.23,1.10
File Clerks,48.59,32.24,38.45,53.04,0.69,-1.93,-0.56,1.61
"Career/Technical Education Teachers, Secondary School",48.20,30.48,27.32,17.79,3.48,-0.04,-0.32,-1.56
Business Continuity Planners,48.15,31.46,35.39,35.68,5.92,-1.14,-0.35,-0.30
Reservation and Transportation Ticket Agents and Travel Clerks,48.11,18.79,42.51,58.43,0.41,-3.82,0.04,1.41
Blockchain Engineers,48.02,0.00,48.02,58.66,0.40,-8.40,0.40,0.96
Telecommunications Engineering Specialists,47.87,49.42,30.06,58.22,0.14,0.28,-3.90,1.47
Instructional Coordinators,47.73,61.87,42.62,26.87,0.22,2.10,-0.16,-2.39
"Agents and Business Managers of Artists, Performers, and Athletes",47.46,33.71,28.24,33.41,5.10,-0.27,-1.24,-0.31
"First-Line Supervisors of Mechanics, Installers, and Repairers",47.44,22.17,23.24,18.13,9.75,-0.47,-0.38,-0.90
Animal Breeders,47.23,0.00,42.89,13.04,1.30,-1.85,0.93,-0.65
Geographic Information Systems Technologists and Technicians,47.21,47.33,47.21,69.13,-0.58,-0.57,-0.58,297.18
Gambling Dealers,47.20,9.16,47.20,44.68,0.64,-25.60,0.64,0.46
Animal Control Workers,47.12,15.54,40.37,13.92,1.61,-1.04,0.79,-1.23
Passenger Attendants,47.01,20.51,47.01,33.12,1.02,-2.73,1.02,-0.33
Pharmacy Technicians,46.95,13.00,38.22,48.54,0.75,-5.68,0.10,0.90
Lodging Managers,46.64,22.19,33.51,44.13,1.22,-2.76,-0.31,0.82
Human Resources Managers,46.62,18.65,21.59,31.01,3.54,-1.14,-0.75,0.13
Electrical and Electronics Drafters,46.56,14.48,46.56,42.27,0.70,-12.39,0.70,0.35
Loan Interviewers and Clerks,46.37,36.86,33.99,52.36,0.54,-0.79,-1.43,2.05
"Cooks, Restaurant",46.23,0.40,33.88,10.46,1.82,-1.64,0.62,-0.69
Information Technology Project Managers,46.10,48.35,21.80,58.82,0.16,0.32,-4.31,1.36
Automotive Engineers,46.10,11.56,40.34,32.03,1.22,-3.95,0.60,-0.03
First-Line Supervisors of Non-Retail Sales Workers,46.04,49.01,23.61,35.50,0.79,1.24,-2.80,-0.29
