title_current,trajectory,first_pct,last_pct,total_gain,early_gain,late_gain,major_occ_category
"Maintenance Workers, Machinery",laggard,17.99,17.99,0.00,0.00,0.00,"Installation, Maintenance, and Repair Occupations"
"Maintenance and Repair Workers, General",laggard,20.44,20.80,0.36,0.36,0.00,"Installation, Maintenance, and Repair Occupations"
"Makeup Artists, Theatrical and Performance",laggard,13.92,17.67,3.75,1.84,1.91,Personal Care and Service Occupations
Management Analysts,plateaued,50.37,69.24,18.87,18.47,0.40,Business and Financial Operations Occupations
Manicurists and Pedicurists,mixed,3.76,10.39,6.63,6.63,0.00,Personal Care and Service Occupations
Manufactured Building and Mobile Home Installers,laggard,25.71,26.17,0.46,0.00,0.46,"Installation, Maintenance, and Repair Occupations"
Manufacturing Engineers,plateaued,39.97,53.38,13.41,12.83,0.58,Architecture and Engineering Occupations
Marine Engineers and Naval Architects,laggard,29.69,29.69,0.00,0.00,0.00,Architecture and Engineering Occupations
Market Research Analysts and Marketing Specialists,plateaued,39.84,89.50,49.66,46.75,2.91,Business and Financial Operations Occupations
Marketing Managers,steady,26.75,76.80,50.04,42.59,7.45,Management Occupations
Marriage and Family Therapists,plateaued,32.88,54.21,21.33,21.14,0.19,Community and Social Service Occupations
Massage Therapists,steady,7.38,20.80,13.42,8.23,5.19,Healthcare Support Occupations
Materials Engineers,laggard,24.34,25.35,1.01,1.01,0.00,Architecture and Engineering Occupations
Materials Scientists,plateaued,25.58,54.28,28.70,27.84,0.86,"Life, Physical, and Social Science Occupations"
"Mathematical Science Teachers, Postsecondary",steady,33.52,68.09,34.57,29.80,4.77,Educational Instruction and Library Occupations
Mathematicians,plateaued,51.99,71.19,19.21,18.56,0.65,Computer and Mathematical Occupations
"Meat, Poultry, and Fish Cutters and Trimmers",early_mover,45.01,45.01,0.00,0.00,0.00,Production Occupations
Mechanical Door Repairers,laggard,11.38,11.38,0.00,0.00,0.00,"Installation, Maintenance, and Repair Occupations"
Mechanical Drafters,early_mover,44.39,50.12,5.72,5.72,0.00,Architecture and Engineering Occupations
Mechanical Engineering Technologists and Technicians,laggard,33.51,33.51,0.00,0.00,0.00,Architecture and Engineering Occupations
Mechanical Engineers,plateaued,36.62,45.83,9.21,8.87,0.34,Architecture and Engineering Occupations
Mechatronics Engineers,steady,23.04,50.77,27.73,21.41,6.32,Architecture and Engineering Occupations
Media Programming Directors,laggard,21.73,21.73,0.00,0.00,0.00,"Arts, Design, Entertainment, Sports, and Media Occupations"
Media Technical Directors/Managers,laggard,23.92,23.92,0.00,0.00,0.00,"Arts, Design, Entertainment, Sports, and Media Occupations"
Medical Appliance Technicians,laggard,8.97,8.97,0.00,0.00,0.00,Production Occupations
Medical Assistants,steady,17.88,50.91,33.03,15.80,17.24,Healthcare Support Occupations
Medical Dosimetrists,laggard,32.41,32.41,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
Medical Equipment Preparers,laggard,0.97,0.97,0.00,0.00,0.00,Healthcare Support Occupations
Medical Equipment Repairers,mixed,29.43,37.28,7.86,7.42,0.43,"Installation, Maintenance, and Repair Occupations"
Medical Records Specialists,laggard,38.67,38.67,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
"Medical Scientists, Except Epidemiologists",mixed,35.02,43.05,8.04,6.18,1.86,"Life, Physical, and Social Science Occupations"
Medical Secretaries and Administrative Assistants,laggard,31.36,31.36,0.00,0.00,0.00,Office and Administrative Support Occupations
Medical Transcriptionists,steady,16.39,75.29,58.90,51.63,7.27,Healthcare Support Occupations
Medical and Clinical Laboratory Technicians,steady,22.11,39.30,17.19,5.95,11.25,Healthcare Practitioners and Technical Occupations
Medical and Clinical Laboratory Technologists,plateaued,34.93,52.46,17.52,15.39,2.13,Healthcare Practitioners and Technical Occupations
Medical and Health Services Managers,plateaued,33.34,47.27,13.93,13.22,0.71,Management Occupations
"Meeting, Convention, and Event Planners",plateaued,21.11,60.62,39.51,37.02,2.49,Business and Financial Operations Occupations
Mental Health Counselors,steady,28.78,57.59,28.80,23.57,5.23,Community and Social Service Occupations
Mental Health and Substance Abuse Social Workers,steady,22.05,51.92,29.88,15.04,14.84,Community and Social Service Occupations
Merchandise Displayers and Window Trimmers,laggard,37.34,38.94,1.60,1.46,0.14,"Arts, Design, Entertainment, Sports, and Media Occupations"
Metal-Refining Furnace Operators and Tenders,laggard,17.97,17.97,0.00,0.00,0.00,Production Occupations
"Meter Readers, Utilities",plateaued,28.00,42.77,14.77,14.19,0.57,Office and Administrative Support Occupations
Microbiologists,plateaued,30.33,55.44,25.11,22.12,2.99,"Life, Physical, and Social Science Occupations"
Microsystems Engineers,plateaued,27.10,43.17,16.07,14.73,1.34,Architecture and Engineering Occupations
"Middle School Teachers, Except Special and Career/Technical Education",plateaued,25.03,63.59,38.56,35.97,2.59,Educational Instruction and Library Occupations
Midwives,mixed,20.49,31.44,10.95,2.07,8.88,Healthcare Practitioners and Technical Occupations
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",laggard,19.76,19.76,0.00,0.00,0.00,Production Occupations
Millwrights,laggard,14.86,14.86,0.00,0.00,0.00,"Installation, Maintenance, and Repair Occupations"
"Mining and Geological Engineers, Including Mining Safety Engineers",laggard,25.19,25.19,0.00,0.00,0.00,Architecture and Engineering Occupations
"Mixing and Blending Machine Setters, Operators, and Tenders",mixed,13.84,22.50,8.66,6.18,2.48,Production Occupations
"Mobile Heavy Equipment Mechanics, Except Engines",laggard,18.43,21.83,3.39,3.08,0.31,"Installation, Maintenance, and Repair Occupations"
"Model Makers, Metal and Plastic",laggard,16.98,16.98,0.00,0.00,0.00,Production Occupations
"Model Makers, Wood",laggard,20.86,24.17,3.32,3.21,0.11,Production Occupations
Models,early_mover,46.84,56.20,9.36,9.36,0.00,Sales and Related Occupations
"Molders, Shapers, and Casters, Except Metal and Plastic",laggard,12.68,12.68,0.00,0.00,0.00,Production Occupations
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",laggard,14.58,15.06,0.48,0.00,0.48,Production Occupations
Molecular and Cellular Biologists,steady,23.06,48.60,25.54,17.36,8.18,"Life, Physical, and Social Science Occupations"
"Morticians, Undertakers, and Funeral Arrangers",laggard,22.38,22.38,0.00,0.00,0.00,Personal Care and Service Occupations
Motion Picture Projectionists,laggard,5.02,9.83,4.81,0.00,4.81,Personal Care and Service Occupations
Motorboat Mechanics and Service Technicians,laggard,12.95,12.95,0.00,0.00,0.00,"Installation, Maintenance, and Repair Occupations"
Motorboat Operators,mixed,0.27,6.31,6.03,6.03,0.00,Transportation and Material Moving Occupations
Motorcycle Mechanics,laggard,22.25,22.62,0.36,0.00,0.36,"Installation, Maintenance, and Repair Occupations"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",laggard,24.87,24.87,0.00,0.00,0.00,Production Occupations
Museum Technicians and Conservators,plateaued,36.93,57.94,21.01,18.61,2.41,Educational Instruction and Library Occupations
Music Directors and Composers,laggard,37.62,37.62,0.00,0.00,0.00,"Arts, Design, Entertainment, Sports, and Media Occupations"
Music Therapists,plateaued,11.66,30.91,19.25,16.40,2.85,Healthcare Practitioners and Technical Occupations
Musical Instrument Repairers and Tuners,laggard,25.23,28.49,3.26,3.26,0.00,"Installation, Maintenance, and Repair Occupations"
Musicians and Singers,laggard,14.12,14.12,0.00,0.00,0.00,"Arts, Design, Entertainment, Sports, and Media Occupations"
Nannies,steady,26.14,37.78,11.63,3.28,8.35,Personal Care and Service Occupations
Nanosystems Engineers,steady,30.42,47.62,17.19,11.90,5.30,Architecture and Engineering Occupations
Nanotechnology Engineering Technologists and Technicians,laggard,23.23,23.23,0.00,0.00,0.00,Architecture and Engineering Occupations
Natural Sciences Managers,steady,14.84,41.41,26.57,22.45,4.12,Management Occupations
Naturopathic Physicians,steady,18.14,47.39,29.25,14.07,15.18,Healthcare Practitioners and Technical Occupations
Network and Computer Systems Administrators,steady,42.87,73.68,30.81,25.65,5.16,Computer and Mathematical Occupations
Neurodiagnostic Technologists,plateaued,12.74,21.05,8.32,8.32,0.00,Healthcare Practitioners and Technical Occupations
Neurologists,plateaued,21.57,34.88,13.31,13.31,0.00,Healthcare Practitioners and Technical Occupations
Neuropsychologists,laggard,25.94,25.94,0.00,0.00,0.00,"Life, Physical, and Social Science Occupations"
New Accounts Clerks,early_mover,42.12,46.31,4.19,4.19,0.00,Office and Administrative Support Occupations
"News Analysts, Reporters, and Journalists",early_mover,50.37,50.37,0.00,0.00,0.00,"Arts, Design, Entertainment, Sports, and Media Occupations"
Non-Destructive Testing Specialists,mixed,33.86,40.30,6.44,6.44,0.00,Architecture and Engineering Occupations
Nuclear Engineers,laggard,15.01,16.68,1.67,1.07,0.60,Architecture and Engineering Occupations
Nuclear Medicine Technologists,plateaued,21.95,39.32,17.37,17.05,0.32,Healthcare Practitioners and Technical Occupations
Nuclear Monitoring Technicians,plateaued,31.31,42.22,10.90,10.90,0.00,"Life, Physical, and Social Science Occupations"
Nuclear Power Reactor Operators,laggard,8.97,8.97,0.00,0.00,0.00,Production Occupations
Nuclear Technicians,laggard,17.93,17.93,0.00,0.00,0.00,"Life, Physical, and Social Science Occupations"
Nurse Anesthetists,laggard,16.64,16.64,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
Nurse Midwives,plateaued,13.80,45.91,32.11,29.98,2.13,Healthcare Practitioners and Technical Occupations
Nurse Practitioners,steady,20.40,40.41,20.01,13.84,6.17,Healthcare Practitioners and Technical Occupations
Nursing Assistants,mixed,9.69,14.84,5.15,4.12,1.03,Healthcare Support Occupations
"Nursing Instructors and Teachers, Postsecondary",steady,26.16,59.60,33.44,28.99,4.45,Educational Instruction and Library Occupations
Obstetricians and Gynecologists,steady,17.09,44.00,26.91,14.03,12.88,Healthcare Practitioners and Technical Occupations
Occupational Health and Safety Specialists,laggard,24.88,29.38,4.50,0.21,4.29,"Life, Physical, and Social Science Occupations"
Occupational Health and Safety Technicians,mixed,14.57,21.75,7.18,3.66,3.52,"Life, Physical, and Social Science Occupations"
Occupational Therapists,plateaued,11.92,40.17,28.25,28.17,0.08,Healthcare Practitioners and Technical Occupations
Occupational Therapy Aides,plateaued,17.43,26.41,8.98,8.98,0.00,Healthcare Support Occupations
Occupational Therapy Assistants,laggard,14.51,16.83,2.32,2.32,0.00,Healthcare Support Occupations
"Office Clerks, General",plateaued,40.39,71.37,30.98,29.98,0.99,Office and Administrative Support Occupations
"Office Machine Operators, Except Computer",early_mover,40.17,46.41,6.24,6.24,0.00,Office and Administrative Support Occupations
Online Merchants,steady,42.62,84.04,41.42,26.07,15.35,Business and Financial Operations Occupations
Operating Engineers and Other Construction Equipment Operators,laggard,9.22,9.22,0.00,0.00,0.00,Construction and Extraction Occupations
Operations Research Analysts,plateaued,48.09,70.69,22.60,22.39,0.21,Computer and Mathematical Occupations
Ophthalmic Laboratory Technicians,laggard,12.58,12.58,0.00,0.00,0.00,Production Occupations
Ophthalmic Medical Technicians,laggard,1.21,1.21,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
Ophthalmic Medical Technologists,laggard,7.17,7.17,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
"Ophthalmologists, Except Pediatric",laggard,10.96,10.96,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
"Opticians, Dispensing",laggard,20.21,20.21,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
Optometrists,plateaued,18.26,30.19,11.93,9.31,2.62,Healthcare Practitioners and Technical Occupations
Oral and Maxillofacial Surgeons,laggard,9.98,13.47,3.49,3.49,0.00,Healthcare Practitioners and Technical Occupations
Order Clerks,steady,37.35,62.94,25.59,20.13,5.45,Office and Administrative Support Occupations
Orderlies,laggard,4.94,4.94,0.00,0.00,0.00,Healthcare Support Occupations
Orthodontists,plateaued,22.50,31.79,9.29,9.29,0.00,Healthcare Practitioners and Technical Occupations
"Orthopedic Surgeons, Except Pediatric",laggard,13.62,13.62,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
Orthoptists,mixed,13.64,19.46,5.82,3.34,2.47,Healthcare Practitioners and Technical Occupations
Orthotists and Prosthetists,laggard,12.99,12.99,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
Outdoor Power Equipment and Other Small Engine Mechanics,laggard,15.17,19.06,3.89,3.89,0.00,"Installation, Maintenance, and Repair Occupations"
Packaging and Filling Machine Operators and Tenders,laggard,5.10,5.10,0.00,0.00,0.00,Production Occupations
"Packers and Packagers, Hand",mixed,16.33,25.47,9.14,0.00,9.14,Transportation and Material Moving Occupations
"Painters, Construction and Maintenance",plateaued,9.33,19.74,10.41,9.58,0.83,Construction and Extraction Occupations
"Painting, Coating, and Decorating Workers",laggard,13.39,13.39,0.00,0.00,0.00,Production Occupations
"Paper Goods Machine Setters, Operators, and Tenders",laggard,15.45,15.45,0.00,0.00,0.00,Production Occupations
Paperhangers,laggard,21.12,22.39,1.27,0.00,1.27,Construction and Extraction Occupations
Paralegals and Legal Assistants,plateaued,22.01,41.59,19.58,19.58,0.00,Legal Occupations
Paramedics,laggard,11.11,11.11,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
Park Naturalists,early_mover,52.26,52.82,0.57,0.57,0.00,"Life, Physical, and Social Science Occupations"
Parking Attendants,laggard,17.80,17.80,0.00,0.00,0.00,Transportation and Material Moving Occupations
Parking Enforcement Workers,laggard,17.96,18.67,0.71,0.71,0.00,Protective Service Occupations
Parts Salespersons,plateaued,34.53,45.85,11.31,11.29,0.02,Sales and Related Occupations
Passenger Attendants,early_mover,47.01,47.01,0.00,0.00,0.00,Transportation and Material Moving Occupations
Patient Representatives,steady,41.53,80.85,39.33,33.65,5.67,Healthcare Practitioners and Technical Occupations
"Patternmakers, Metal and Plastic",mixed,26.99,34.89,7.91,5.34,2.57,Production Occupations
"Patternmakers, Wood",laggard,27.09,31.98,4.89,4.75,0.14,Production Occupations
"Paving, Surfacing, and Tamping Equipment Operators",laggard,0.90,0.90,0.00,0.00,0.00,Construction and Extraction Occupations
Payroll and Timekeeping Clerks,plateaued,35.66,54.70,19.04,17.23,1.81,Office and Administrative Support Occupations
Pediatric Surgeons,laggard,13.12,13.12,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
"Pediatricians, General",steady,12.25,50.52,38.27,27.38,10.89,Healthcare Practitioners and Technical Occupations
Penetration Testers,early_mover,50.76,50.76,0.00,0.00,0.00,Computer and Mathematical Occupations
Personal Care Aides,plateaued,21.95,44.45,22.50,22.50,0.00,Healthcare Support Occupations
Personal Financial Advisors,plateaued,44.46,79.29,34.83,34.07,0.76,Business and Financial Operations Occupations
Pest Control Workers,plateaued,7.97,33.67,25.70,22.87,2.83,Building and Grounds Cleaning and Maintenance Occupations
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",laggard,14.94,14.94,0.00,0.00,0.00,Building and Grounds Cleaning and Maintenance Occupations
Petroleum Engineers,laggard,19.94,20.42,0.47,0.47,0.00,Architecture and Engineering Occupations
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",plateaued,10.04,21.79,11.75,11.75,0.00,Production Occupations
Pharmacists,steady,38.24,64.86,26.62,20.46,6.16,Healthcare Practitioners and Technical Occupations
Pharmacy Aides,plateaued,34.04,50.04,16.00,14.78,1.22,Healthcare Support Occupations
Pharmacy Technicians,steady,38.22,50.59,12.37,8.73,3.64,Healthcare Practitioners and Technical Occupations
"Philosophy and Religion Teachers, Postsecondary",steady,31.73,75.68,43.95,39.35,4.59,Educational Instruction and Library Occupations
Phlebotomists,plateaued,6.61,17.06,10.45,10.45,0.00,Healthcare Support Occupations
Photographers,plateaued,41.86,60.56,18.70,17.35,1.34,"Arts, Design, Entertainment, Sports, and Media Occupations"
Photographic Process Workers and Processing Machine Operators,laggard,16.00,20.87,4.87,4.87,0.00,Production Occupations
Photonics Engineers,steady,35.54,54.71,19.17,9.62,9.56,Architecture and Engineering Occupations
Photonics Technicians,laggard,28.92,33.69,4.77,4.42,0.35,Architecture and Engineering Occupations
Physical Medicine and Rehabilitation Physicians,plateaued,2.39,16.03,13.64,13.64,0.00,Healthcare Practitioners and Technical Occupations
Physical Therapist Aides,laggard,7.47,10.07,2.60,2.59,0.01,Healthcare Support Occupations
Physical Therapist Assistants,laggard,12.47,13.17,0.71,0.70,0.00,Healthcare Support Occupations
Physical Therapists,steady,20.87,48.91,28.04,22.52,5.52,Healthcare Practitioners and Technical Occupations
Physician Assistants,steady,11.55,48.10,36.55,29.00,7.55,Healthcare Practitioners and Technical Occupations
"Physicians, Pathologists",laggard,22.36,22.36,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
Physicists,plateaued,40.77,64.12,23.35,20.35,3.00,"Life, Physical, and Social Science Occupations"
"Physics Teachers, Postsecondary",steady,30.93,80.44,49.50,40.96,8.55,Educational Instruction and Library Occupations
Pile Driver Operators,laggard,0.00,0.00,0.00,0.00,0.00,Construction and Extraction Occupations
Pipelayers,laggard,11.09,11.09,0.00,0.00,0.00,Construction and Extraction Occupations
Plasterers and Stucco Masons,laggard,29.14,29.14,0.00,0.00,0.00,Construction and Extraction Occupations
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",laggard,14.60,14.60,0.00,0.00,0.00,Production Occupations
"Plumbers, Pipefitters, and Steamfitters",laggard,19.99,19.99,0.00,0.00,0.00,Construction and Extraction Occupations
Podiatrists,laggard,23.08,23.08,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
"Poets, Lyricists and Creative Writers",steady,56.01,87.44,31.43,27.52,3.92,"Arts, Design, Entertainment, Sports, and Media Occupations"
Police Identification and Records Officers,laggard,21.44,22.07,0.64,0.64,0.00,Protective Service Occupations
Police and Sheriff's Patrol Officers,laggard,26.44,26.44,0.00,0.00,0.00,Protective Service Occupations
"Political Science Teachers, Postsecondary",steady,34.49,79.99,45.50,39.43,6.07,Educational Instruction and Library Occupations
Political Scientists,steady,45.43,72.79,27.35,16.24,11.12,"Life, Physical, and Social Science Occupations"
Postal Service Clerks,laggard,28.64,28.78,0.14,0.14,0.00,Office and Administrative Support Occupations
Postal Service Mail Carriers,laggard,20.99,21.06,0.07,0.07,0.00,Office and Administrative Support Occupations
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",mixed,12.92,18.89,5.97,5.97,0.00,Office and Administrative Support Occupations
Postmasters and Mail Superintendents,laggard,12.59,17.28,4.69,4.14,0.55,Management Occupations
"Potters, Manufacturing",laggard,16.83,17.30,0.47,0.14,0.33,Production Occupations
"Pourers and Casters, Metal",laggard,17.06,17.06,0.00,0.00,0.00,Production Occupations
Power Distributors and Dispatchers,plateaued,17.55,36.17,18.62,16.75,1.88,Production Occupations
Power Plant Operators,laggard,11.94,15.78,3.84,3.84,0.00,Production Occupations
Precision Agriculture Technicians,plateaued,19.21,37.75,18.54,17.22,1.32,"Life, Physical, and Social Science Occupations"
Prepress Technicians and Workers,plateaued,23.41,36.67,13.26,11.94,1.32,Production Occupations
"Preschool Teachers, Except Special Education",steady,19.60,46.74,27.14,21.32,5.82,Educational Instruction and Library Occupations
"Pressers, Textile, Garment, and Related Materials",laggard,10.75,10.75,0.00,0.00,0.00,Production Occupations
Preventive Medicine Physicians,plateaued,8.25,19.43,11.18,10.83,0.35,Healthcare Practitioners and Technical Occupations
Print Binding and Finishing Workers,laggard,7.26,8.02,0.75,0.75,0.00,Production Occupations
Printing Press Operators,laggard,21.59,22.24,0.65,0.65,0.00,Production Occupations
Private Detectives and Investigators,plateaued,38.15,60.57,22.41,21.69,0.73,Protective Service Occupations
Probation Officers and Correctional Treatment Specialists,laggard,36.82,36.82,0.00,0.00,0.00,Community and Social Service Occupations
Procurement Clerks,steady,42.02,69.39,27.37,24.35,3.02,Office and Administrative Support Occupations
Producers and Directors,laggard,28.12,28.12,0.00,0.00,0.00,"Arts, Design, Entertainment, Sports, and Media Occupations"
"Production, Planning, and Expediting Clerks",plateaued,34.78,46.06,11.28,10.44,0.84,Office and Administrative Support Occupations
Project Management Specialists,laggard,24.05,24.05,0.00,0.00,0.00,Business and Financial Operations Occupations
Proofreaders and Copy Markers,early_mover,46.09,54.18,8.09,8.09,0.00,Office and Administrative Support Occupations
"Property, Real Estate, and Community Association Managers",steady,17.98,61.50,43.52,40.47,3.05,Management Occupations
Prosthodontists,plateaued,5.07,18.35,13.27,13.27,0.00,Healthcare Practitioners and Technical Occupations
Psychiatric Aides,mixed,15.86,22.92,7.06,7.06,0.00,Healthcare Support Occupations
Psychiatric Technicians,laggard,12.21,15.72,3.52,0.00,3.52,Healthcare Practitioners and Technical Occupations
Psychiatrists,plateaued,16.78,44.56,27.78,27.78,0.00,Healthcare Practitioners and Technical Occupations
"Psychology Teachers, Postsecondary",steady,31.63,75.88,44.25,34.83,9.42,Educational Instruction and Library Occupations
Public Relations Managers,laggard,26.43,26.43,0.00,0.00,0.00,Management Occupations
Public Relations Specialists,steady,40.13,83.21,43.08,38.34,4.74,"Arts, Design, Entertainment, Sports, and Media Occupations"
Public Safety Telecommunicators,laggard,34.51,34.51,0.00,0.00,0.00,Office and Administrative Support Occupations
"Pump Operators, Except Wellhead Pumpers",laggard,20.64,20.64,0.00,0.00,0.00,Transportation and Material Moving Occupations
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",steady,42.35,71.60,29.25,23.92,5.33,Business and Financial Operations Occupations
Purchasing Managers,plateaued,18.88,46.97,28.09,27.08,1.01,Management Occupations
Quality Control Analysts,mixed,18.88,25.72,6.83,4.67,2.17,"Life, Physical, and Social Science Occupations"
Quality Control Systems Managers,laggard,16.85,17.89,1.03,0.94,0.09,Management Occupations
Radiation Therapists,mixed,13.57,19.52,5.95,1.69,4.26,Healthcare Practitioners and Technical Occupations
Radio Frequency Identification Device Specialists,early_mover,41.85,50.09,8.24,6.73,1.51,Architecture and Engineering Occupations
"Radio, Cellular, and Tower Equipment Installers and Repairers",mixed,27.43,36.76,9.33,0.00,9.33,"Installation, Maintenance, and Repair Occupations"
Radiologic Technologists and Technicians,laggard,20.21,20.21,0.00,0.00,0.00,Healthcare Practitioners and Technical Occupations
Radiologists,plateaued,22.03,46.77,24.74,23.52,1.23,Healthcare Practitioners and Technical Occupations
Rail Car Repairers,laggard,7.40,7.40,0.00,0.00,0.00,"Installation, Maintenance, and Repair Occupations"
"Rail Yard Engineers, Dinkey Operators, and Hostlers",laggard,15.94,18.05,2.11,2.11,0.00,Transportation and Material Moving Occupations
Rail-Track Laying and Maintenance Equipment Operators,laggard,0.00,0.00,0.00,0.00,0.00,Construction and Extraction Occupations
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",laggard,5.52,5.52,0.00,0.00,0.00,Transportation and Material Moving Occupations
Railroad Conductors and Yardmasters,laggard,16.01,18.88,2.87,2.87,0.00,Transportation and Material Moving Occupations
Range Managers,laggard,13.80,13.80,0.00,0.00,0.00,"Life, Physical, and Social Science Occupations"
Real Estate Brokers,steady,18.64,90.16,71.52,50.98,20.54,Sales and Related Occupations
Real Estate Sales Agents,steady,33.61,78.11,44.51,34.64,9.87,Sales and Related Occupations
Receptionists and Information Clerks,plateaued,32.72,73.83,41.11,39.09,2.02,Office and Administrative Support Occupations
Recreation Workers,laggard,29.24,31.95,2.71,2.43,0.27,Personal Care and Service Occupations
"Recreation and Fitness Studies Teachers, Postsecondary",steady,32.73,69.59,36.86,26.96,9.91,Educational Instruction and Library Occupations
Recreational Therapists,steady,15.02,44.55,29.53,13.80,15.73,Healthcare Practitioners and Technical Occupations
Recreational Vehicle Service Technicians,laggard,27.11,29.04,1.94,0.00,1.94,"Installation, Maintenance, and Repair Occupations"
Recycling Coordinators,mixed,13.88,19.89,6.01,2.30,3.71,Transportation and Material Moving Occupations
Recycling and Reclamation Workers,laggard,0.00,0.00,0.00,0.00,0.00,Transportation and Material Moving Occupations
"Refractory Materials Repairers, Except Brickmasons",laggard,12.88,12.88,0.00,0.00,0.00,"Installation, Maintenance, and Repair Occupations"
Refuse and Recyclable Material Collectors,laggard,6.26,8.35,2.09,0.00,2.09,Transportation and Material Moving Occupations
Registered Nurses,plateaued,9.30,33.36,24.06,22.83,1.24,Healthcare Practitioners and Technical Occupations
Regulatory Affairs Managers,steady,29.06,46.00,16.94,12.63,4.31,Management Occupations
Regulatory Affairs Specialists,plateaued,28.82,40.69,11.86,10.47,1.40,Business and Financial Operations Occupations
Rehabilitation Counselors,late_mover,23.16,38.06,14.90,3.91,10.99,Community and Social Service Occupations
Reinforcing Iron and Rebar Workers,laggard,11.47,11.47,0.00,0.00,0.00,Construction and Extraction Occupations
Remote Sensing Scientists and Technologists,plateaued,14.75,39.16,24.41,24.41,0.00,"Life, Physical, and Social Science Occupations"
Remote Sensing Technicians,mixed,24.08,29.17,5.09,5.04,0.05,"Life, Physical, and Social Science Occupations"
Reservation and Transportation Ticket Agents and Travel Clerks,early_mover,42.51,50.48,7.97,5.59,2.38,Office and Administrative Support Occupations
Residential Advisors,steady,28.27,42.88,14.61,10.29,4.32,Personal Care and Service Occupations
Respiratory Therapists,laggard,13.55,15.65,2.10,2.10,0.00,Healthcare Practitioners and Technical Occupations
Retail Loss Prevention Specialists,steady,9.32,43.59,34.27,29.74,4.53,Protective Service Occupations
Retail Salespersons,steady,39.99,57.36,17.37,14.09,3.28,Sales and Related Occupations
Riggers,laggard,29.83,29.83,0.00,0.00,0.00,"Installation, Maintenance, and Repair Occupations"
Robotics Engineers,plateaued,38.76,57.70,18.95,18.14,0.80,Architecture and Engineering Occupations
Robotics Technicians,steady,27.68,40.31,12.64,8.24,4.40,Architecture and Engineering Occupations
"Rock Splitters, Quarry",laggard,6.41,6.41,0.00,0.00,0.00,Construction and Extraction Occupations
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",laggard,20.34,20.34,0.00,0.00,0.00,Production Occupations
"Roof Bolters, Mining",laggard,10.08,10.08,0.00,0.00,0.00,Construction and Extraction Occupations
Roofers,laggard,2.77,5.61,2.84,2.84,0.00,Construction and Extraction Occupations
"Rotary Drill Operators, Oil and Gas",laggard,9.33,9.33,0.00,0.00,0.00,Construction and Extraction Occupations
"Roustabouts, Oil and Gas",laggard,2.46,2.46,0.00,0.00,0.00,Construction and Extraction Occupations
Sailors and Marine Oilers,laggard,8.72,8.72,0.00,0.00,0.00,Transportation and Material Moving Occupations
Sales Engineers,plateaued,38.02,72.01,33.99,33.79,0.20,Sales and Related Occupations
Sales Managers,steady,26.17,53.40,27.23,15.52,11.71,Management Occupations
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",laggard,38.31,38.31,0.00,0.00,0.00,Sales and Related Occupations
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",steady,44.84,81.81,36.97,32.87,4.11,Sales and Related Occupations
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",plateaued,39.83,76.76,36.93,35.00,1.93,Sales and Related Occupations
"Sawing Machine Setters, Operators, and Tenders, Wood",laggard,25.45,27.59,2.14,0.00,2.14,Production Occupations
School Bus Monitors,laggard,36.95,36.95,0.00,0.00,0.00,Protective Service Occupations
School Psychologists,steady,21.51,34.71,13.19,7.58,5.61,"Life, Physical, and Social Science Occupations"
Search Marketing Strategists,steady,54.21,89.65,35.43,32.22,3.22,Business and Financial Operations Occupations
"Secondary School Teachers, Except Special and Career/Technical Education",steady,24.53,59.76,35.22,29.09,6.14,Educational Instruction and Library Occupations
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",plateaued,44.57,75.10,30.54,28.13,2.41,Office and Administrative Support Occupations
"Securities, Commodities, and Financial Services Sales Agents",laggard,29.00,29.00,0.00,0.00,0.00,Sales and Related Occupations
Security Guards,steady,26.75,54.66,27.91,16.76,11.15,Protective Service Occupations
