category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,dataset_confirmed,agg_level_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,dataset_ceiling,agg_level_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Designers,54.43,330772.36,18785626640.05,AEI Both + Micro 2026-02-12,broad,61.22,373637.22,20871342302.29,All 2026-02-18,broad,6.79,42864.87,2085715662.24
Lawyers and Judicial Law Clerks,51.55,320917.22,47754314638.08,AEI Both + Micro 2026-02-12,broad,57.87,363635.30,54125267443.19,All 2026-02-18,broad,6.33,42718.08,6370952805.11
Compliance Officers,37.00,158338.72,12416922349.35,AEI Both + Micro 2026-02-12,broad,48.26,200655.49,15735403860.97,All 2026-02-18,broad,11.25,42316.78,3318481511.62
Bartenders,28.74,214255.67,7183992687.94,AEI Both + Micro 2026-02-12,broad,34.33,255942.96,8581767358.08,All 2026-02-18,broad,5.59,41687.29,1397774670.14
Self-Enrichment Teachers,27.88,86003.10,3920881132.05,AEI Both + Micro 2026-02-12,broad,41.24,127225.00,5800187906.08,All 2026-02-18,broad,13.36,41221.91,1879306774.03
"Industrial Machinery Installation, Repair, and Maintenance Workers",19.02,146573.48,9320143003.66,AEI Both + Micro 2026-02-12,broad,24.28,187795.15,11930394577.41,All 2026-02-18,broad,5.26,41221.67,2610251573.74
"Court, Municipal, and License Clerks",40.28,68475.75,3266293406.08,AEI Both + Micro 2026-02-12,broad,64.37,109428.11,5219721049.52,All 2026-02-18,broad,24.09,40952.36,1953427643.44
Management Analysts,69.24,618935.48,62630080896.98,AEI Both + Micro 2026-02-12,broad,73.77,659462.28,66730988079.74,All 2026-02-18,broad,4.53,40526.80,4100907182.77
Insurance Sales Agents,64.14,301128.79,18179145066.63,AEI Both + Micro 2026-02-12,broad,72.66,341112.89,20592984919.14,All 2026-02-18,broad,8.52,39984.10,2413839852.51
Carpenters,10.71,74719.03,4431585538.72,AEI Both + Micro 2026-02-12,broad,16.40,114433.36,6787042855.46,All 2026-02-18,broad,5.69,39714.34,2355457316.74
Physicians,28.16,185568.13,45190102689.34,AEI Both + Micro 2026-02-12,broad,33.48,223783.80,54608029815.95,All 2026-02-18,broad,5.31,38215.66,9417927126.61
Computer Support Specialists,81.54,689166.83,43133233356.82,AEI Both + Micro 2026-02-12,broad,87.77,727067.01,45577952650.36,All 2026-02-18,broad,6.23,37900.17,2444719293.54
"Bailiffs, Correctional Officers, and Jailers",26.56,73245.66,4239279305.87,AEI Both + Micro 2026-02-12,broad,34.56,109332.88,6330524811.25,All 2026-02-18,broad,8.00,36087.23,2091245505.38
Special Education Teachers,34.17,181235.02,12117249183.70,AEI Both + Micro 2026-02-12,broad,41.07,217146.81,14472982313.45,All 2026-02-18,broad,6.90,35911.79,2355733129.75
Miscellaneous Protective Service Workers,37.71,136157.60,5615315429.03,AEI Both + Micro 2026-02-12,broad,45.18,171376.44,6991013197.64,All 2026-02-18,broad,7.47,35218.84,1375697768.61
Police Officers,30.50,270549.71,20644743950.73,AEI Both + Micro 2026-02-12,broad,35.12,305526.81,23314116936.79,All 2026-02-18,broad,4.62,34977.10,2669372986.05
