title_current,emp_nat,wage_nat,major,minor,broad,pct_first_all_ceiling,pct_last_all_ceiling,pct_delta_all_ceiling,workers_first_all_ceiling,workers_last_all_ceiling,workers_delta_all_ceiling,pct_first_human_conversation,pct_last_human_conversation,pct_delta_human_conversation,workers_first_human_conversation,workers_last_human_conversation,workers_delta_human_conversation,pct_first_agentic_confirmed,pct_last_agentic_confirmed,pct_delta_agentic_confirmed,workers_first_agentic_confirmed,workers_last_agentic_confirmed,workers_delta_agentic_confirmed,pct_first_all_confirmed,pct_last_all_confirmed,pct_delta_all_confirmed,workers_first_all_confirmed,workers_last_all_confirmed,workers_delta_all_confirmed,pct_first_agentic_ceiling,pct_last_agentic_ceiling,pct_delta_agentic_ceiling,workers_first_agentic_ceiling,workers_last_agentic_ceiling,workers_delta_agentic_ceiling
Aircraft Mechanics and Service Technicians,136390.00,78680.00,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Aircraft Mechanics and Service Technicians,14.03,18.25,4.22,19133.35,24884.75,5751.39,14.03,14.03,0.00,19133.35,19133.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.03,14.03,0.00,19133.35,19133.35,0.00,5.12,9.01,3.90,6982.12,12295.14,5313.02
Aircraft Service Attendants,27310.00,41540.00,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Service Attendants,14.25,16.60,2.35,3890.78,4532.27,641.49,14.25,14.25,0.00,3890.78,3890.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.25,14.25,0.00,3890.78,3890.78,0.00,2.35,2.35,0.00,641.49,641.49,0.00
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",32890.00,61680.00,Production Occupations,Assemblers and Fabricators,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",10.52,14.70,4.18,3460.39,4834.83,1374.44,10.52,11.28,0.76,3460.39,3710.20,249.81,5.54,5.54,0.00,1823.05,1823.05,0.00,10.52,13.39,2.87,3460.39,4404.73,944.34,0.88,7.47,6.59,287.82,2455.71,2167.88
Airfield Operations Specialists,16640.00,56750.00,Transportation and Material Moving Occupations,Air Transportation Workers,Air Traffic Controllers and Airfield Operations Specialists,27.12,42.91,15.80,4512.07,7140.69,2628.62,27.12,28.38,1.26,4512.07,4722.25,210.18,6.93,10.58,3.65,1152.73,1759.90,607.17,27.12,29.10,1.99,4512.07,4843.06,330.98,8.94,21.14,12.20,1488.23,3517.82,2029.58
"Airline Pilots, Copilots, and Flight Engineers",99300.00,226600.00,Transportation and Material Moving Occupations,Air Transportation Workers,Aircraft Pilots and Flight Engineers,14.43,33.76,19.33,14327.17,33519.88,19192.71,14.43,14.75,0.32,14327.17,14643.47,316.29,0.88,0.88,0.00,870.58,870.58,0.00,14.43,14.89,0.46,14327.17,14786.48,459.30,19.40,25.77,6.37,19265.51,25591.27,6325.76
Allergists and Immunologists,137310.00,249103.60,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Physicians,13.20,37.38,24.17,18127.83,51321.54,33193.71,13.20,22.01,8.81,18127.83,30226.62,12098.79,11.09,23.74,12.66,15222.16,32602.15,17379.99,13.20,30.31,17.10,18127.83,41614.10,23486.27,2.88,33.60,30.72,3953.37,46132.26,42178.89
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",12080.00,34330.00,Transportation and Material Moving Occupations,Motor Vehicle Operators,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.54,4.38,3.84,65.37,529.71,464.34,0.54,0.54,0.00,65.37,65.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.54,0.00,65.37,65.37,0.00,2.52,3.84,1.32,304.91,464.34,159.43
Amusement and Recreation Attendants,371590.00,30490.00,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,Miscellaneous Entertainment Attendants and Related Workers,37.48,57.33,19.86,139254.57,213046.83,73792.26,37.48,40.93,3.46,139254.57,152108.63,12854.06,7.49,7.49,0.00,27847.45,27847.45,0.00,37.48,40.93,3.46,139254.57,152108.63,12854.06,25.01,40.99,15.98,92944.81,152325.90,59381.09
Anesthesiologist Assistants,34693.00,133260.00,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Physician Assistants,10.13,21.01,10.88,3515.37,7289.09,3773.72,10.13,10.49,0.35,3515.37,3637.61,122.24,0.00,0.00,0.00,0.00,0.00,0.00,10.13,10.49,0.35,3515.37,3637.61,122.24,6.60,10.64,4.04,2290.50,3693.02,1402.52
Anesthesiologists,41890.00,257920.00,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Physicians,5.14,10.19,5.06,2151.79,4270.61,2118.82,5.14,5.60,0.46,2151.79,2346.54,194.75,0.39,0.39,0.00,164.84,164.84,0.00,5.14,5.78,0.64,2151.79,2420.85,269.06,1.97,5.53,3.55,826.95,2315.37,1488.42
Animal Breeders,1730.00,52000.00,"Farming, Fishing, and Forestry Occupations",Agricultural Workers,Animal Breeders,42.89,53.29,10.40,742.03,921.91,179.89,42.89,47.23,4.34,742.03,817.13,75.10,0.00,0.00,0.00,0.00,0.00,0.00,42.89,47.23,4.34,742.03,817.13,75.10,12.34,13.25,0.91,213.48,229.21,15.73
Animal Caretakers,277300.00,33470.00,Personal Care and Service Occupations,Animal Care and Service Workers,Animal Caretakers,39.56,50.19,10.63,109704.22,139184.18,29479.95,39.56,39.56,0.00,109704.22,109704.22,0.00,7.98,7.98,0.00,22124.58,22124.58,0.00,39.56,39.56,0.00,109704.22,109704.22,0.00,13.58,22.69,9.10,37670.08,62907.27,25237.19
Animal Control Workers,11790.00,45830.00,Protective Service Occupations,Other Protective Service Workers,Animal Control Workers,40.37,53.28,12.91,4759.51,6281.62,1522.11,40.37,47.12,6.75,4759.51,5555.77,796.26,14.77,15.54,0.77,1741.73,1832.08,90.35,40.37,47.12,6.75,4759.51,5555.77,796.26,10.70,26.19,15.49,1262.02,3087.97,1825.95
Animal Scientists,2470.00,79120.00,"Life, Physical, and Social Science Occupations",Life Scientists,Agricultural and Food Scientists,20.90,40.02,19.12,516.27,988.42,472.15,20.90,38.75,17.85,516.27,957.14,440.87,0.00,0.00,0.00,0.00,0.00,0.00,20.90,38.75,17.85,516.27,957.14,440.87,8.63,10.00,1.37,213.15,246.97,33.83
Animal Trainers,20110.00,38750.00,Personal Care and Service Occupations,Animal Care and Service Workers,Animal Trainers,5.59,16.60,11.01,1123.49,3338.48,2214.99,5.59,10.84,5.25,1123.49,2179.33,1055.84,3.09,3.09,0.00,622.37,622.37,0.00,5.59,14.76,9.17,1123.49,2967.66,1844.17,1.20,7.88,6.68,241.23,1584.56,1343.33
Anthropologists and Archeologists,8070.00,64910.00,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Miscellaneous Social Scientists and Related Workers,33.15,42.60,9.45,2675.46,3437.77,762.31,33.15,33.15,0.00,2675.46,2675.46,0.00,20.89,21.19,0.30,1685.73,1709.89,24.16,33.15,33.15,0.00,2675.46,2675.46,0.00,11.56,16.05,4.49,933.20,1295.57,362.37
"Anthropology and Archeology Teachers, Postsecondary",5260.00,95770.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Social Sciences Teachers, Postsecondary",32.93,77.58,44.66,1731.86,4080.88,2349.02,32.93,60.49,27.57,1731.86,3181.89,1450.03,38.57,56.89,18.32,2028.59,2992.27,963.68,32.93,70.86,37.93,1731.86,3727.12,1995.27,20.82,65.42,44.61,1094.97,3441.33,2346.36
Appraisers and Assessors of Real Estate,29535.00,65420.00,Business and Financial Operations Occupations,Financial Specialists,Property Appraisers and Assessors,26.63,41.83,15.20,7865.56,12355.40,4489.84,26.63,26.63,0.00,7865.56,7865.56,0.00,21.75,29.17,7.42,6424.75,8615.49,2190.74,26.63,26.63,0.00,7865.56,7865.56,0.00,24.62,29.84,5.22,7271.48,8814.49,1543.02
Appraisers of Personal and Business Property,29535.00,65420.00,Business and Financial Operations Occupations,Financial Specialists,Property Appraisers and Assessors,41.67,56.38,14.71,12307.67,16652.98,4345.31,41.67,41.67,0.00,12307.67,12307.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.67,41.67,0.00,12307.67,12307.67,0.00,25.90,33.56,7.66,7648.91,9911.71,2262.80
"Arbitrators, Mediators, and Conciliators",7860.00,67710.00,Legal Occupations,"Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers",18.40,44.24,25.85,1445.88,3477.55,2031.67,18.40,35.99,17.60,1445.88,2829.00,1383.12,16.31,20.51,4.20,1281.87,1612.03,330.16,18.40,42.77,24.38,1445.88,3361.94,1916.07,10.85,28.32,17.47,852.50,2225.96,1373.45
"Architects, Except Landscape and Naval",111140.00,96690.00,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Architects, Except Naval",29.93,71.71,41.78,33258.94,79693.34,46434.40,29.93,53.15,23.23,33258.94,59074.11,25815.17,29.45,53.07,23.63,32727.23,58986.35,26259.12,29.93,63.87,33.95,33258.94,70985.45,37726.51,35.38,66.57,31.20,39316.69,73991.38,34674.70
Architectural and Civil Drafters,109550.00,64280.00,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Drafters,45.47,62.79,17.32,49816.47,68787.55,18971.09,45.47,45.47,0.00,49816.47,49816.47,0.00,2.77,7.15,4.38,3033.10,7833.96,4800.86,45.47,45.47,0.00,49816.47,49816.47,0.00,50.08,56.34,6.26,54864.44,61717.47,6853.03
Architectural and Engineering Managers,172102.00,167740.00,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,17.32,67.44,50.11,29813.41,116057.53,86244.12,17.32,29.00,11.67,29813.41,49904.61,20091.21,38.81,38.81,0.00,66790.32,66790.32,0.00,17.32,57.38,40.06,29813.41,98754.37,68940.96,19.58,57.13,37.55,33692.12,98316.70,64624.58
