broad,broad_avg_pct,broad_rank,major,major_avg_pct,major_rank,rank_deviation,pct_deviation
"Court, Municipal, and License Clerks",40.28,169.00,Office and Administrative Support Occupations,52.87,4.00,-165.00,-12.59
Crane and Tower Operators,15.25,363.00,Transportation and Material Moving Occupations,16.67,20.00,-343.00,-1.42
Credit Analysts,54.05,92.00,Business and Financial Operations Occupations,51.70,5.00,-87.00,2.35
"Credit Authorizers, Checkers, and Clerks",35.11,210.00,Office and Administrative Support Occupations,52.87,4.00,-206.00,-17.76
Credit Counselors and Loan Officers,50.45,115.00,Business and Financial Operations Occupations,51.70,5.00,-110.00,-1.25
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",18.50,340.00,Production Occupations,18.95,18.00,-322.00,-0.45
Customer Service Representatives,84.08,5.00,Office and Administrative Support Occupations,52.87,4.00,-1.00,31.21
Cutting Workers,13.76,372.00,Production Occupations,18.95,18.00,-354.00,-5.19
Dancers and Choreographers,37.12,196.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-190.00,-10.85
Data Entry and Information Processing Workers,70.49,40.00,Office and Administrative Support Occupations,52.87,4.00,-36.00,17.62
Data Scientists,65.67,54.00,Computer and Mathematical Occupations,65.79,1.00,-53.00,-0.12
Database and Network Administrators and Architects,74.33,23.00,Computer and Mathematical Occupations,65.79,1.00,-22.00,8.54
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,11.99,386.00,Production Occupations,18.95,18.00,-368.00,-6.96
Dentists,24.26,293.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-278.00,-5.43
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",11.59,392.00,Construction and Extraction Occupations,14.38,22.00,-370.00,-2.79
Designers,51.77,111.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-105.00,3.81
Desktop Publishers,69.89,41.00,Office and Administrative Support Occupations,52.87,4.00,-37.00,17.02
Detectives and Criminal Investigators,43.14,152.00,Protective Service Occupations,31.96,14.00,-138.00,11.18
Diagnostic Related Technologists and Technicians,29.82,248.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-233.00,0.12
Dietitians and Nutritionists,52.54,104.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-89.00,22.84
Dining Room and Cafeteria Attendants and Bartender Helpers,13.34,377.00,Food Preparation and Serving Related Occupations,34.48,12.00,-365.00,-21.15
"Directors, Religious Activities and Education",60.18,70.00,Community and Social Service Occupations,45.97,7.00,-63.00,14.21
Dishwashers,5.27,427.00,Food Preparation and Serving Related Occupations,34.48,12.00,-415.00,-29.22
