title_current,min_tier,max_tier,tier_range,tier_all_ceiling,tier_human_conversation,tier_agentic_confirmed,tier_all_confirmed,tier_agentic_ceiling
Librarians and Media Collections Specialists,moderate,high,1,high,moderate,high,high,high
Licensed Practical and Licensed Vocational Nurses,moderate,high,1,high,moderate,moderate,moderate,moderate
Loan Officers,moderate,high,1,high,moderate,high,high,high
Loss Prevention Managers,low,moderate,1,moderate,low,moderate,low,moderate
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",low,moderate,1,moderate,moderate,low,moderate,low
Magnetic Resonance Imaging Technologists,low,moderate,1,moderate,moderate,moderate,low,moderate
"Mail Clerks and Mail Machine Operators, Except Postal Service",moderate,high,1,high,moderate,moderate,moderate,moderate
Manicurists and Pedicurists,low,moderate,1,low,low,low,moderate,low
Massage Therapists,low,moderate,1,low,moderate,moderate,moderate,moderate
"Meat, Poultry, and Fish Cutters and Trimmers",low,moderate,1,moderate,moderate,low,moderate,low
Mechanical Door Repairers,low,moderate,1,low,moderate,low,low,low
Mechanical Drafters,moderate,high,1,high,high,moderate,high,moderate
Mechanical Engineers,low,moderate,1,moderate,low,moderate,moderate,moderate
Media Technical Directors/Managers,low,moderate,1,moderate,low,moderate,low,moderate
Medical Assistants,moderate,high,1,high,moderate,high,high,high
Medical Dosimetrists,low,moderate,1,moderate,moderate,moderate,low,moderate
Medical Equipment Repairers,low,moderate,1,moderate,low,moderate,moderate,moderate
Medical Secretaries and Administrative Assistants,moderate,high,1,high,moderate,high,moderate,high
Medical and Clinical Laboratory Technicians,moderate,high,1,high,high,moderate,high,moderate
Medical and Clinical Laboratory Technologists,low,moderate,1,moderate,low,moderate,moderate,moderate
"Meeting, Convention, and Event Planners",moderate,high,1,high,moderate,moderate,moderate,moderate
Merchandise Displayers and Window Trimmers,moderate,high,1,high,high,moderate,high,moderate
"Meter Readers, Utilities",moderate,high,1,high,moderate,moderate,high,moderate
Midwives,low,moderate,1,low,moderate,moderate,moderate,moderate
"Mixing and Blending Machine Setters, Operators, and Tenders",low,moderate,1,low,moderate,moderate,moderate,moderate
Models,low,moderate,1,low,moderate,low,moderate,low
Motorboat Operators,low,moderate,1,low,moderate,low,moderate,low
Museum Technicians and Conservators,moderate,high,1,high,high,moderate,high,moderate
Music Directors and Composers,moderate,high,1,moderate,moderate,high,moderate,high
Nannies,moderate,high,1,high,high,moderate,high,moderate
Neurodiagnostic Technologists,low,moderate,1,low,moderate,moderate,moderate,moderate
Neurologists,low,moderate,1,low,moderate,moderate,moderate,low
"News Analysts, Reporters, and Journalists",moderate,high,1,high,moderate,high,high,high
Sound Engineering Technicians,moderate,high,1,high,moderate,high,moderate,high
Nuclear Monitoring Technicians,moderate,high,1,high,high,moderate,high,moderate
Nurse Practitioners,low,moderate,1,moderate,low,moderate,moderate,moderate
Occupational Health and Safety Specialists,low,moderate,1,moderate,low,moderate,low,moderate
Occupational Therapy Aides,moderate,high,1,high,moderate,moderate,moderate,moderate
Optometrists,low,moderate,1,low,low,moderate,low,moderate
Orthodontists,low,moderate,1,low,moderate,low,low,low
Orthoptists,low,moderate,1,low,low,moderate,moderate,moderate
Outdoor Power Equipment and Other Small Engine Mechanics,low,moderate,1,moderate,low,low,low,low
Parking Enforcement Workers,moderate,high,1,high,moderate,moderate,moderate,moderate
Passenger Attendants,moderate,high,1,high,moderate,moderate,moderate,moderate
"Patternmakers, Metal and Plastic",moderate,high,1,moderate,moderate,high,high,high
Penetration Testers,low,moderate,1,moderate,low,low,low,low
Personal Care Aides,moderate,high,1,high,high,moderate,high,moderate
Pest Control Workers,low,moderate,1,moderate,moderate,low,moderate,low
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",low,moderate,1,moderate,moderate,low,moderate,low
Photographic Process Workers and Processing Machine Operators,moderate,high,1,high,moderate,moderate,moderate,high
Photonics Technicians,moderate,high,1,moderate,high,moderate,moderate,moderate
Police Identification and Records Officers,moderate,high,1,high,moderate,moderate,moderate,moderate
Postal Service Clerks,moderate,high,1,high,moderate,high,moderate,high
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",moderate,high,1,high,moderate,high,moderate,high
Postmasters and Mail Superintendents,moderate,high,1,high,moderate,high,moderate,high
Power Distributors and Dispatchers,moderate,high,1,high,high,moderate,high,moderate
Prepress Technicians and Workers,moderate,high,1,high,high,moderate,high,high
"Preschool Teachers, Except Special Education",moderate,high,1,high,high,moderate,high,moderate
Probation Officers and Correctional Treatment Specialists,low,moderate,1,moderate,moderate,low,moderate,low
Project Management Specialists,low,moderate,1,moderate,low,low,low,low
"Property, Real Estate, and Community Association Managers",moderate,high,1,high,moderate,high,high,high
Prosthodontists,low,moderate,1,low,low,low,moderate,low
Public Relations Managers,low,moderate,1,moderate,low,low,low,low
Public Safety Telecommunicators,moderate,high,1,high,moderate,high,moderate,high
"Pump Operators, Except Wellhead Pumpers",moderate,high,1,high,moderate,moderate,moderate,moderate
Quality Control Analysts,moderate,high,1,moderate,moderate,high,moderate,high
Radiation Therapists,low,moderate,1,low,low,moderate,moderate,moderate
Radio Frequency Identification Device Specialists,moderate,high,1,moderate,moderate,moderate,high,moderate
"Radio, Cellular, and Tower Equipment Installers and Repairers",moderate,high,1,moderate,moderate,moderate,high,moderate
"Rail Yard Engineers, Dinkey Operators, and Hostlers",low,moderate,1,moderate,moderate,moderate,low,moderate
Recreation Workers,moderate,high,1,high,moderate,high,moderate,high
Recycling Coordinators,moderate,high,1,high,moderate,moderate,moderate,moderate
Registered Nurses,low,moderate,1,low,low,moderate,moderate,moderate
Rehabilitation Counselors,moderate,high,1,high,moderate,high,high,high
Reinforcing Iron and Rebar Workers,low,moderate,1,low,moderate,low,low,low
Remote Sensing Technicians,moderate,high,1,high,moderate,moderate,moderate,moderate
Retail Loss Prevention Specialists,moderate,high,1,high,moderate,high,high,high
"Roustabouts, Oil and Gas",low,moderate,1,moderate,moderate,moderate,low,moderate
Sailors and Marine Oilers,low,moderate,1,low,moderate,low,low,low
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,moderate,1,moderate,low,low,low,moderate
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",moderate,high,1,high,moderate,high,high,high
"Securities, Commodities, and Financial Services Sales Agents",moderate,high,1,high,moderate,moderate,moderate,high
Security Managers,low,moderate,1,moderate,low,moderate,moderate,moderate
Security and Fire Alarm Systems Installers,moderate,high,1,moderate,high,moderate,high,moderate
Segmental Pavers,low,moderate,1,moderate,moderate,low,moderate,low
Semiconductor Processing Technicians,low,moderate,1,low,low,moderate,low,moderate
Septic Tank Servicers and Sewer Pipe Cleaners,low,moderate,1,low,moderate,low,low,low
Set and Exhibit Designers,moderate,high,1,moderate,high,moderate,high,moderate
"Shipping, Receiving, and Inventory Clerks",moderate,high,1,high,moderate,high,moderate,high
Signal and Track Switch Repairers,low,moderate,1,low,low,moderate,low,moderate
Skincare Specialists,moderate,high,1,high,moderate,high,high,high
Slaughterers and Meat Packers,low,moderate,1,low,moderate,low,low,low
Social and Human Service Assistants,low,moderate,1,moderate,moderate,low,moderate,low
Software Developers,low,moderate,1,moderate,moderate,low,moderate,low
Soil and Plant Scientists,moderate,high,1,moderate,high,moderate,high,moderate
Solar Energy Installation Managers,low,moderate,1,low,moderate,moderate,moderate,moderate
Solar Energy Systems Engineers,low,moderate,1,low,low,moderate,low,moderate
Tour Guides and Escorts,moderate,high,1,high,high,moderate,high,moderate
Traffic Technicians,moderate,high,1,high,moderate,high,moderate,high
Transportation Engineers,low,moderate,1,moderate,moderate,low,moderate,low
Tree Trimmers and Pruners,low,moderate,1,low,moderate,low,low,low
Urban and Regional Planners,low,moderate,1,moderate,moderate,low,moderate,low
Urologists,low,moderate,1,moderate,low,moderate,moderate,moderate
Validation Engineers,low,moderate,1,low,moderate,low,low,low
Veterinarians,low,moderate,1,low,moderate,low,moderate,low
Waiters and Waitresses,moderate,high,1,high,high,moderate,high,moderate
Water Resource Specialists,low,moderate,1,low,moderate,low,moderate,low
Water/Wastewater Engineers,low,moderate,1,low,moderate,moderate,moderate,moderate
Web and Digital Interface Designers,low,moderate,1,moderate,low,low,low,low
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",moderate,high,1,high,moderate,high,moderate,high
Wellhead Pumpers,low,moderate,1,moderate,low,moderate,low,moderate
Writers and Authors,moderate,high,1,moderate,moderate,high,moderate,high
Zoologists and Wildlife Biologists,low,moderate,1,low,moderate,low,moderate,low
Accountants and Auditors,low,moderate,1,moderate,low,moderate,low,moderate
Actors,moderate,high,1,moderate,moderate,moderate,high,moderate
Acute Care Nurses,low,moderate,1,low,moderate,moderate,moderate,moderate
Adapted Physical Education Specialists,low,moderate,1,low,moderate,low,moderate,low
Adhesive Bonding Machine Operators and Tenders,low,moderate,1,moderate,low,moderate,low,moderate
"Administrative Law Judges, Adjudicators, and Hearing Officers",low,moderate,1,moderate,moderate,moderate,moderate,low
Administrative Services Managers,moderate,high,1,high,moderate,high,moderate,high
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",low,moderate,1,moderate,low,low,low,low
Aerospace Engineering and Operations Technologists and Technicians,low,moderate,1,low,moderate,moderate,moderate,moderate
Agricultural Engineers,low,moderate,1,low,moderate,low,moderate,low
Agricultural Technicians,low,moderate,1,low,moderate,low,moderate,low
Aircraft Cargo Handling Supervisors,low,moderate,1,low,low,moderate,low,moderate
Airfield Operations Specialists,low,moderate,1,moderate,low,moderate,moderate,moderate
"Airline Pilots, Copilots, and Flight Engineers",low,moderate,1,moderate,low,low,low,low
Allergists and Immunologists,moderate,high,1,moderate,moderate,high,moderate,high
Anesthesiologist Assistants,low,moderate,1,low,low,moderate,low,moderate
