title_current,employment,median_wage,major,job_zone,outlook,n_software,pct_tasks_affected,ska_gap,pct_delta,ska_delta,flag1_pct,flag2_ska,flag3_pct_trend,flag4_ska_trend,flag5_job_zone,flag6_outlook,flag7_n_software,risk_score,risk_tier
Chefs and Head Cooks,182320.00,60990.00,Food Preparation and Serving Related Occupations,3.00,3.00,25,48.66,-0.30,24.07,6.22,1,0,1,0,1,1,1,5,high
Shampooers,8890.00,31470.00,Personal Care and Service Occupations,2.00,2.00,5,32.54,3.71,31.81,7.08,0,1,1,1,1,1,0,5,high
Loan Officers,290530.00,74180.00,Business and Financial Operations Occupations,4.00,5.00,88,59.11,0.22,28.65,7.00,1,1,1,1,0,0,1,5,high
"Career/Technical Education Teachers, Middle School",14200.00,63620.00,Educational Instruction and Library Occupations,4.00,4.00,95,63.27,0.38,35.65,6.66,1,1,1,1,0,0,1,5,high
Special Effects Artists and Animators,21280.00,99800.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,129,58.54,0.83,16.67,6.82,1,1,0,1,0,1,1,5,high
Budget Analysts,47170.00,87930.00,Business and Financial Operations Occupations,4.00,4.00,61,63.33,0.14,22.02,6.92,1,1,1,1,0,0,1,5,high
"Mail Clerks and Mail Machine Operators, Except Postal Service",62730.00,38150.00,Office and Administrative Support Occupations,2.00,2.00,14,39.02,3.84,21.30,6.89,0,1,1,1,1,1,0,5,high
First-Line Supervisors of Security Workers,70310.00,58610.00,Protective Service Occupations,2.00,3.00,11,44.92,-1.43,23.37,6.61,1,0,1,1,1,1,0,5,high
"Geography Teachers, Postsecondary",3290.00,86730.00,Educational Instruction and Library Occupations,5.00,3.00,41,80.73,-1.37,46.40,7.40,1,0,1,1,0,1,1,5,high
"Geological Technicians, Except Hydrologic Technicians",7302.89,52009.56,"Life, Physical, and Social Science Occupations",4.00,3.00,36,31.74,1.79,16.76,6.58,0,1,1,1,0,1,1,5,high
"Law Teachers, Postsecondary",22800.00,126650.00,Educational Instruction and Library Occupations,5.00,3.00,32,81.71,-3.95,45.93,7.21,1,0,1,1,0,1,1,5,high
Librarians and Media Collections Specialists,131830.00,64320.00,Educational Instruction and Library Occupations,5.00,3.00,83,55.13,0.38,14.73,7.20,1,1,0,1,0,1,1,5,high
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",382577.50,35550.00,Educational Instruction and Library Occupations,3.00,2.00,30,43.17,1.80,10.53,6.92,0,1,0,1,1,1,1,5,high
"Library Assistants, Clerical",80070.00,36010.00,Office and Administrative Support Occupations,2.00,1.00,21,58.46,4.12,32.67,7.39,1,1,1,1,1,0,0,5,high
Gambling and Sports Book Writers and Runners,7600.00,30460.00,Personal Care and Service Occupations,2.00,2.00,7,50.78,2.69,9.59,6.68,1,1,0,1,1,1,0,5,high
Lodging Managers,41350.00,68130.00,Management Occupations,4.00,3.00,29,67.79,-1.39,34.29,6.92,1,0,1,1,0,1,1,5,high
Spa Managers,4869.00,61340.00,Management Occupations,3.00,4.00,36,81.10,-0.06,71.24,7.17,1,0,1,1,1,0,1,5,high
Geographers,1380.00,97200.00,"Life, Physical, and Social Science Occupations",4.00,2.00,45,71.84,-1.29,22.33,7.05,1,0,1,1,0,1,1,5,high
Survey Researchers,7720.00,63380.00,"Life, Physical, and Social Science Occupations",5.00,3.00,100,65.33,-1.20,43.94,6.93,1,0,1,1,0,1,1,5,high
