title_current,employment,median_wage,major,job_zone,outlook,n_software,pct_tasks_affected,ska_gap,pct_delta,ska_delta,flag1_pct,flag2_ska,flag3_pct_trend,flag4_ska_trend,flag5_job_zone,flag6_outlook,flag7_n_software,risk_score,risk_tier
"Communications Teachers, Postsecondary",29260.00,77800.00,Educational Instruction and Library Occupations,5.00,4.00,36,87.16,-1.08,61.13,7.23,1,0,1,1,0,0,1,4,moderate
Community Health Workers,60730.00,51030.00,Community and Social Service Occupations,4.00,3.00,14,48.37,-0.24,21.20,6.96,1,0,1,1,0,1,0,4,moderate
Compensation and Benefits Managers,20070.00,140360.00,Management Occupations,4.00,4.00,86,66.71,-0.28,45.08,6.94,1,0,1,1,0,0,1,4,moderate
Compliance Managers,116780.00,136550.00,Management Occupations,4.00,4.00,78,63.43,-1.49,36.23,6.82,1,0,1,1,0,0,1,4,moderate
Computer Hardware Engineers,75710.00,155020.00,Architecture and Engineering Occupations,4.00,4.00,117,61.46,-2.55,32.41,6.53,1,0,1,1,0,0,1,4,moderate
Computer Network Architects,96522.00,130390.00,Computer and Mathematical Occupations,4.00,5.00,283,79.00,-0.51,35.06,6.64,1,0,1,1,0,0,1,4,moderate
Regulatory Affairs Managers,194569.00,136550.00,Management Occupations,4.00,4.00,69,61.99,-0.33,32.93,7.08,1,0,1,1,0,0,1,4,moderate
Regulatory Affairs Specialists,101060.00,78420.00,Business and Financial Operations Occupations,4.00,4.00,34,58.47,-0.41,29.64,7.06,1,0,1,1,0,0,1,4,moderate
Fitness and Wellness Coordinators,5621.00,61340.00,Management Occupations,4.00,4.00,16,58.23,0.27,35.67,6.99,1,1,1,1,0,0,0,4,moderate
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",107697.71,52137.45,Personal Care and Service Occupations,2.00,2.00,10,44.86,,19.42,,1,0,1,0,1,1,0,4,moderate
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",29530.00,59330.00,"Farming, Fishing, and Forestry Occupations",3.00,3.00,24,21.46,1.07,13.59,6.12,0,1,0,0,1,1,1,4,moderate
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,123136.00,61900.00,Transportation and Material Moving Occupations,3.00,2.00,35,34.82,-0.35,13.76,6.65,0,0,0,1,1,1,1,4,moderate
Medical and Health Services Managers,565840.00,117960.00,Management Occupations,4.00,5.00,127,65.06,-2.09,31.72,6.86,1,0,1,1,0,0,1,4,moderate
"Chemistry Teachers, Postsecondary",20390.00,86220.00,Educational Instruction and Library Occupations,5.00,4.00,28,72.80,-2.55,44.46,6.65,1,0,1,1,0,0,1,4,moderate
Chief Executives,172469.00,206420.00,Management Occupations,5.00,5.00,49,61.10,-3.95,40.59,6.60,1,0,1,1,0,0,1,4,moderate
Sales Engineers,56690.00,121520.00,Sales and Related Occupations,4.00,4.00,97,78.04,-2.40,40.02,6.80,1,0,1,1,0,0,1,4,moderate
Sales Managers,603710.00,138060.00,Management Occupations,4.00,5.00,103,57.71,-0.93,31.54,7.25,1,0,1,1,0,0,1,4,moderate
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1266860.00,66780.00,Sales and Related Occupations,4.00,4.00,141,85.70,-0.16,40.87,7.06,1,0,1,1,0,0,1,4,moderate
Childcare Workers,354051.00,32050.00,Personal Care and Service Occupations,2.00,2.00,10,40.53,4.03,14.29,6.86,0,1,0,1,1,1,0,4,moderate
Clinical Nurse Specialists,784864.00,93600.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,24,49.90,-2.60,25.00,6.68,1,0,1,1,0,0,1,4,moderate
Mental Health Counselors,161811.67,60200.00,Community and Social Service Occupations,5.00,4.00,23,63.13,-4.17,34.34,6.98,1,0,1,1,0,0,1,4,moderate
Mental Health and Substance Abuse Social Workers,125910.00,60060.00,Community and Social Service Occupations,5.00,4.00,26,51.92,-2.07,29.88,6.90,1,0,1,1,0,0,1,4,moderate
Marriage and Family Therapists,65870.00,63780.00,Community and Social Service Occupations,5.00,4.00,32,64.88,-2.86,32.01,6.85,1,0,1,1,0,0,1,4,moderate
"Mathematical Science Teachers, Postsecondary",48820.00,79350.00,Educational Instruction and Library Occupations,5.00,4.00,27,79.60,-2.28,46.07,7.26,1,0,1,1,0,0,1,4,moderate
Mathematicians,2220.00,121680.00,Computer and Mathematical Occupations,5.00,5.00,93,76.41,-2.94,24.42,7.15,1,0,1,1,0,0,1,4,moderate
Mechanical Engineering Technologists and Technicians,14740.00,68730.00,Architecture and Engineering Occupations,3.00,3.00,46,44.55,-0.31,11.04,5.90,1,0,0,0,1,1,1,4,moderate
Medical Records Specialists,115042.12,58521.52,Healthcare Practitioners and Technical Occupations,3.00,4.00,111,66.64,,27.98,,1,0,1,0,1,0,1,4,moderate
"Medical Scientists, Except Epidemiologists",156300.00,100590.00,"Life, Physical, and Social Science Occupations",5.00,5.00,40,51.99,-3.24,16.97,6.65,1,0,1,1,0,0,1,4,moderate
"First-Line Supervisors of Mechanics, Installers, and Repairers",600680.00,78300.00,"Installation, Maintenance, and Repair Occupations",3.00,5.00,40,53.83,-0.29,30.59,6.09,1,0,1,0,1,0,1,4,moderate
Software Developers,725946.38,113631.06,Computer and Mathematical Occupations,4.00,5.00,429,64.68,-0.45,19.52,6.83,1,0,1,1,0,0,1,4,moderate
"Secondary School Teachers, Except Special and Career/Technical Education",1072540.00,64580.00,Educational Instruction and Library Occupations,4.00,5.00,24,64.94,-0.18,40.41,7.14,1,0,1,1,0,0,1,4,moderate
Security Managers,70545.00,104690.00,Management Occupations,4.00,5.00,33,56.74,-2.48,44.91,6.53,1,0,1,1,0,0,1,4,moderate
Self-Enrichment Teachers,308520.00,45590.00,Educational Instruction and Library Occupations,3.00,2.00,22,41.24,1.92,13.36,7.56,0,1,0,1,1,1,0,4,moderate
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",54200.00,49500.00,Production Occupations,2.00,2.00,9,37.74,0.50,17.12,5.08,0,1,1,0,1,1,0,4,moderate
"Career/Technical Education Teachers, Postsecondary",111150.00,61490.00,Educational Instruction and Library Occupations,3.00,4.00,27,42.84,0.39,10.45,6.74,0,1,0,1,1,0,1,4,moderate
"Career/Technical Education Teachers, Secondary School",104450.00,63910.00,Educational Instruction and Library Occupations,4.00,4.00,23,57.09,-0.67,29.77,6.60,1,0,1,1,0,0,1,4,moderate
First-Line Supervisors of Production and Operating Workers,685140.00,71190.00,Production Occupations,3.00,4.00,57,45.40,0.81,14.29,6.38,1,1,0,0,1,0,1,4,moderate
Logistics Analysts,77318.00,80880.00,Business and Financial Operations Occupations,4.00,5.00,53,80.47,0.14,64.81,6.72,1,0,1,1,0,0,1,4,moderate
Logistics Engineers,88870.00,80880.00,Business and Financial Operations Occupations,4.00,5.00,50,65.76,-1.84,46.25,6.62,1,0,1,1,0,0,1,4,moderate
Machinists,298790.00,56150.00,Production Occupations,3.00,3.00,35,36.25,1.03,9.64,5.08,0,1,0,0,1,1,1,4,moderate
Food Batchmakers,171660.00,40790.00,Production Occupations,2.00,2.00,3,33.14,1.56,23.13,5.74,0,1,1,0,1,1,0,4,moderate
"Foreign Language and Literature Teachers, Postsecondary",21170.00,77010.00,Educational Instruction and Library Occupations,5.00,4.00,29,81.98,-0.74,48.85,7.84,1,0,1,1,0,0,1,4,moderate
Forensic Science Technicians,19450.00,67440.00,"Life, Physical, and Social Science Occupations",3.00,2.00,33,58.06,-0.01,15.32,6.47,1,0,0,0,1,1,1,4,moderate
Forest and Conservation Technicians,31080.00,54310.00,"Life, Physical, and Social Science Occupations",3.00,2.00,42,26.68,1.73,9.84,6.29,0,1,0,0,1,1,1,4,moderate
"Forestry and Conservation Science Teachers, Postsecondary",1310.00,100830.00,Educational Instruction and Library Occupations,5.00,4.00,37,80.90,-1.60,48.89,7.21,1,0,1,1,0,0,1,4,moderate
"Makeup Artists, Theatrical and Performance",3320.00,50280.00,Personal Care and Service Occupations,3.00,2.00,21,17.67,1.12,3.75,6.57,0,1,0,1,1,1,0,4,moderate
Set and Exhibit Designers,10850.00,66280.00,"Arts, Design, Entertainment, Sports, and Media Occupations",5.00,2.00,31,47.14,-0.21,8.30,6.58,1,0,0,1,0,1,1,4,moderate
Sheet Metal Workers,117470.00,60850.00,Construction and Extraction Occupations,2.00,3.00,21,31.58,1.86,20.68,5.80,0,1,1,0,1,1,0,4,moderate
Business Continuity Planners,217277.00,81270.00,Business and Financial Operations Occupations,4.00,4.00,38,59.83,-1.30,24.44,6.85,1,0,1,1,0,0,1,4,moderate
Business Intelligence Analysts,122459.00,112590.00,Computer and Mathematical Occupations,4.00,5.00,202,95.60,-0.06,48.78,7.01,1,0,1,1,0,0,1,4,moderate
"Business Teachers, Postsecondary",81780.00,97270.00,Educational Instruction and Library Occupations,5.00,4.00,32,81.60,-1.79,39.84,7.01,1,0,1,1,0,0,1,4,moderate
Butchers and Meat Cutters,140040.00,38960.00,Production Occupations,2.00,2.00,6,44.81,1.79,4.22,5.79,1,1,0,0,1,1,0,4,moderate
"Buyers and Purchasing Agents, Farm Products",162300.00,75650.00,Business and Financial Operations Occupations,4.00,4.00,23,53.87,0.82,29.09,6.49,1,1,1,0,0,0,1,4,moderate
Management Analysts,893900.00,101190.00,Business and Financial Operations Occupations,4.00,4.00,216,73.77,-0.87,23.40,6.92,1,0,1,1,0,0,1,4,moderate
Market Research Analysts and Marketing Specialists,430570.00,76950.00,Business and Financial Operations Occupations,4.00,4.00,150,92.71,-0.89,52.87,6.99,1,0,1,1,0,0,1,4,moderate
Marketing Managers,384980.00,161030.00,Management Occupations,4.00,5.00,153,78.01,-0.73,51.26,6.98,1,0,1,1,0,0,1,4,moderate
Lighting Technicians,10130.00,60560.00,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,12,51.44,,17.53,,1,0,1,0,1,1,0,4,moderate
"Fraud Examiners, Investigators and Analysts",34204.00,80190.00,Business and Financial Operations Occupations,4.00,4.00,28,81.48,-0.90,47.91,6.77,1,0,1,1,0,0,1,4,moderate
Funeral Attendants,30560.00,34610.00,Personal Care and Service Occupations,2.00,2.00,5,40.19,2.81,6.12,7.15,0,1,0,1,1,1,0,4,moderate
Funeral Home Managers,13120.00,76830.00,Management Occupations,3.00,4.00,17,38.78,0.77,19.13,7.15,0,1,1,1,1,0,0,4,moderate
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",16160.00,47010.00,Production Occupations,2.00,1.00,4,47.31,0.63,27.59,4.90,1,1,1,0,1,0,0,4,moderate
Bioinformatics Technicians,4660.00,71490.00,Computer and Mathematical Occupations,4.00,5.00,50,89.38,-1.79,47.77,6.95,1,0,1,1,0,0,1,4,moderate
Supply Chain Managers,148351.00,102010.00,Management Occupations,4.00,5.00,59,62.92,-1.34,38.56,6.85,1,0,1,1,0,0,1,4,moderate
Software Quality Assurance Analysts and Testers,725946.38,113631.06,Computer and Mathematical Occupations,4.00,5.00,428,75.24,0.32,25.61,6.44,1,1,1,0,0,0,1,4,moderate
Soil and Plant Scientists,16600.00,71410.00,"Life, Physical, and Social Science Occupations",5.00,3.00,36,46.80,-1.39,14.09,6.71,1,0,0,1,0,1,1,4,moderate
"Special Education Teachers, Middle School",95330.00,64880.00,Educational Instruction and Library Occupations,4.00,4.00,24,50.61,-1.06,28.62,6.83,1,0,1,1,0,0,1,4,moderate
"Biological Science Teachers, Postsecondary",53250.00,83460.00,Educational Instruction and Library Occupations,5.00,4.00,39,81.60,-2.06,51.51,7.04,1,0,1,1,0,0,1,4,moderate
Biologists,12266.00,93330.00,"Life, Physical, and Social Science Occupations",5.00,4.00,57,59.22,-1.94,18.96,6.75,1,0,1,1,0,0,1,4,moderate
Biostatisticians,11132.00,103300.00,Computer and Mathematical Occupations,5.00,5.00,48,74.85,-2.54,34.05,6.85,1,0,1,1,0,0,1,4,moderate
Bridge and Lock Tenders,2720.00,58490.00,Transportation and Material Moving Occupations,2.00,2.00,9,22.87,1.86,22.87,5.53,0,1,1,0,1,1,0,4,moderate
Logisticians,69452.00,80880.00,Business and Financial Operations Occupations,4.00,5.00,29,65.04,-0.58,38.26,6.79,1,0,1,1,0,0,1,4,moderate
General and Operations Managers,3584420.00,102950.00,Management Occupations,4.00,5.00,146,52.31,-0.33,34.36,6.90,1,0,1,1,0,0,1,4,moderate
Geneticists,10170.00,93330.00,"Life, Physical, and Social Science Occupations",5.00,4.00,36,64.10,-2.83,34.89,6.95,1,0,1,1,0,0,1,4,moderate
Geodetic Surveyors,14417.00,72740.00,Architecture and Engineering Occupations,4.00,4.00,38,55.84,-0.84,39.99,6.74,1,0,1,1,0,0,1,4,moderate
"Geoscientists, Except Hydrologists and Geographers",22510.00,99240.00,"Life, Physical, and Social Science Occupations",5.00,4.00,142,59.55,-1.14,33.23,6.79,1,0,1,1,0,0,1,4,moderate
Lawyers,747750.00,151160.00,Legal Occupations,5.00,5.00,127,47.39,-3.27,19.94,6.83,1,0,1,1,0,0,1,4,moderate
Automotive and Watercraft Service Attendants,98270.00,34850.00,Transportation and Material Moving Occupations,2.00,2.00,11,25.26,0.76,18.77,5.54,0,1,1,0,1,1,0,4,moderate
"Teaching Assistants, Postsecondary",155010.00,44930.00,Educational Instruction and Library Occupations,5.00,2.00,22,52.52,0.72,9.51,7.31,1,1,0,1,0,1,0,4,moderate
Speech-Language Pathologists,178790.00,95410.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,27,46.68,-2.82,27.35,6.72,1,0,1,1,0,0,1,4,moderate
Statisticians,18668.00,103300.00,Computer and Mathematical Occupations,5.00,5.00,70,84.65,-3.47,39.19,7.06,1,0,1,1,0,0,1,4,moderate
Substance Abuse and Behavioral Disorder Counselors,161811.67,60200.00,Community and Social Service Occupations,5.00,4.00,31,44.51,-1.56,18.89,6.76,1,0,1,1,0,0,1,4,moderate
"Substitute Teachers, Short-Term",481300.00,38470.00,Educational Instruction and Library Occupations,4.00,2.00,14,52.79,2.68,14.68,7.30,1,1,0,1,0,1,0,4,moderate
Bakers,231890.00,36650.00,Production Occupations,2.00,2.00,23,31.70,2.32,11.86,5.85,0,1,0,0,1,1,1,4,moderate
Bartenders,745610.00,33530.00,Food Preparation and Serving Related Occupations,2.00,2.00,12,34.33,2.92,12.69,7.10,0,1,0,1,1,1,0,4,moderate
Bioinformatics Scientists,27099.00,93330.00,"Life, Physical, and Social Science Occupations",5.00,4.00,93,78.79,-2.71,38.17,6.94,1,0,1,1,0,0,1,4,moderate
Investment Fund Managers,513192.00,161700.00,Management Occupations,5.00,5.00,24,92.45,-1.11,71.12,6.86,1,0,1,1,0,0,1,4,moderate
Jewelers and Precious Stone and Metal Workers,17230.00,49140.00,Production Occupations,3.00,2.00,13,21.97,2.35,2.63,6.71,0,1,0,1,1,1,0,4,moderate
Judicial Law Clerks,13220.00,60400.00,Legal Occupations,5.00,0.00,35,70.16,-2.51,49.93,7.05,1,0,1,1,0,0,1,4,moderate
Health Information Technologists and Medical Registrars,115042.12,58521.52,Healthcare Practitioners and Technical Occupations,3.00,4.00,111,61.96,,23.84,,1,0,1,0,1,0,1,4,moderate
"Health Specialties Teachers, Postsecondary",229720.00,105620.00,Educational Instruction and Library Occupations,5.00,5.00,35,83.05,-1.32,57.10,6.83,1,0,1,1,0,0,1,4,moderate
Healthcare Social Workers,185940.00,68090.00,Community and Social Service Occupations,5.00,4.00,30,44.39,-2.43,23.52,7.18,1,0,1,1,0,0,1,4,moderate
Tool and Die Makers,55130.00,63180.00,Production Occupations,3.00,3.00,32,28.19,0.24,5.30,5.38,0,1,0,0,1,1,1,4,moderate
"Tank Car, Truck, and Ship Loaders",10920.00,58070.00,Transportation and Material Moving Occupations,2.00,2.00,7,33.08,1.30,18.54,5.36,0,1,1,0,1,1,0,4,moderate
Astronomers,1560.00,132170.00,"Life, Physical, and Social Science Occupations",5.00,4.00,38,72.67,-3.60,49.50,6.69,1,0,1,1,0,0,1,4,moderate
Athletes and Sports Competitors,14370.00,62360.00,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,3.00,12,46.65,1.31,9.61,6.33,1,1,0,0,1,1,0,4,moderate
Atmospheric and Space Scientists,8780.00,97450.00,"Life, Physical, and Social Science Occupations",4.00,0.00,63,68.49,-1.98,36.07,6.82,1,0,1,1,0,0,1,4,moderate
"History Teachers, Postsecondary",19860.00,81500.00,Educational Instruction and Library Occupations,5.00,4.00,23,86.42,-1.56,51.11,7.20,1,0,1,1,0,0,1,4,moderate
Intelligence Analysts,74090.00,93580.00,Protective Service Occupations,4.00,4.00,84,77.46,-0.79,36.07,6.54,1,0,1,1,0,0,1,4,moderate
Technical Writers,55530.00,91670.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,71,85.88,-0.37,40.26,6.92,1,0,1,1,0,0,1,4,moderate
"Architecture Teachers, Postsecondary",9120.00,101480.00,Educational Instruction and Library Occupations,5.00,4.00,38,84.28,-1.89,53.87,6.65,1,0,1,1,0,0,1,4,moderate
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11430.00,84290.00,Educational Instruction and Library Occupations,5.00,4.00,24,81.95,-0.43,48.66,7.54,1,0,1,1,0,0,1,4,moderate
Art Directors,50370.00,111040.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,52,62.92,-1.06,24.44,6.91,1,0,1,1,0,0,1,4,moderate
"Art, Drama, and Music Teachers, Postsecondary",97890.00,80190.00,Educational Instruction and Library Occupations,5.00,4.00,54,79.59,-1.32,48.71,7.29,1,0,1,1,0,0,1,4,moderate
Hearing Aid Specialists,10580.00,61560.00,Healthcare Practitioners and Technical Occupations,3.00,2.00,7,14.11,0.52,3.57,6.71,0,1,0,1,1,1,0,4,moderate
Gas Plant Operators,15910.00,83400.00,Production Occupations,2.00,3.00,12,32.89,0.53,22.27,5.56,0,1,1,0,1,1,0,4,moderate
Advanced Practice Psychiatric Nurses,1031526.00,93600.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,29,51.38,-2.50,36.70,6.70,1,0,1,1,0,0,1,4,moderate
"Agricultural Sciences Teachers, Postsecondary",8700.00,86350.00,Educational Instruction and Library Occupations,5.00,4.00,24,80.47,-1.49,47.45,6.94,1,0,1,1,0,0,1,4,moderate
Water and Wastewater Treatment Plant and System Operators,126750.00,58260.00,Production Occupations,2.00,3.00,18,16.84,0.86,16.84,5.75,0,1,1,0,1,1,0,4,moderate
Weatherization Installers and Technicians,16765.00,48120.00,Construction and Extraction Occupations,2.00,3.00,15,31.10,1.17,17.51,5.41,0,1,1,0,1,1,0,4,moderate
Wellhead Pumpers,17350.00,70010.00,Transportation and Material Moving Occupations,2.00,3.00,8,44.38,-0.35,30.36,4.76,1,0,1,0,1,1,0,4,moderate
Treasurers and Controllers,286560.00,161700.00,Management Occupations,4.00,5.00,51,64.19,-3.42,50.17,6.92,1,0,1,1,0,0,1,4,moderate
Writers and Authors,2783.00,72270.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,55,62.06,-0.98,12.79,7.19,1,0,0,1,0,1,1,4,moderate
"Umpires, Referees, and Other Sports Officials",15080.00,38820.00,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,1.00,11,30.69,3.01,17.39,7.04,0,1,1,1,1,0,0,4,moderate
Accountants and Auditors,1448290.00,81680.00,Business and Financial Operations Occupations,4.00,5.00,239,43.59,-0.37,15.51,6.83,1,0,0,1,0,0,1,3,moderate
Acupuncturists,8440.00,78140.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,13,24.63,0.54,17.30,6.96,0,1,1,1,0,0,0,3,moderate
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",12080.00,34330.00,Transportation and Material Moving Occupations,2.00,3.00,8,4.38,1.70,3.84,6.00,0,1,0,0,1,1,0,3,moderate
"Airline Pilots, Copilots, and Flight Engineers",99300.00,226600.00,Transportation and Material Moving Occupations,4.00,3.00,25,33.76,-2.92,19.33,5.65,0,0,1,0,0,1,1,3,moderate
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",32890.00,61680.00,Production Occupations,2.00,2.00,10,14.70,1.95,4.18,5.77,0,1,0,0,1,1,0,3,moderate
Transportation Engineers,118470.00,99590.00,Architecture and Engineering Occupations,4.00,5.00,32,61.06,-2.60,31.79,6.37,1,0,1,0,0,0,1,3,moderate
Tire Repairers and Changers,106620.00,37120.00,"Installation, Maintenance, and Repair Occupations",2.00,2.00,6,9.18,2.66,4.32,5.96,0,1,0,0,1,1,0,3,moderate
Art Therapists,9131.00,65010.00,Healthcare Practitioners and Technical Occupations,5.00,4.00,19,56.74,-2.36,35.72,7.07,1,0,1,1,0,0,0,3,moderate
"Insulation Workers, Floor, Ceiling, and Wall",38610.00,48680.00,Construction and Extraction Occupations,2.00,3.00,8,13.62,1.63,0.00,4.76,0,1,0,0,1,1,0,3,moderate
Instructional Coordinators,210850.00,74720.00,Educational Instruction and Library Occupations,5.00,4.00,88,53.52,-1.00,10.91,6.77,1,0,0,1,0,0,1,3,moderate
Information Security Analysts,179430.00,124910.00,Computer and Mathematical Occupations,4.00,5.00,247,85.91,-0.32,54.22,6.52,1,0,1,0,0,0,1,3,moderate
Industrial Production Managers,51505.00,121440.00,Management Occupations,4.00,5.00,59,45.17,-0.97,28.10,6.42,1,0,1,0,0,0,1,3,moderate
Industrial Engineers,87557.50,101140.00,Architecture and Engineering Occupations,4.00,5.00,104,59.59,-0.90,19.65,6.45,1,0,1,0,0,0,1,3,moderate
Hydrologists,5720.00,92060.00,"Life, Physical, and Social Science Occupations",5.00,3.00,156,41.48,-1.82,14.98,6.72,0,0,0,1,0,1,1,3,moderate
Hydrologic Technicians,7302.89,52009.56,"Life, Physical, and Social Science Occupations",3.00,3.00,21,43.88,,9.36,,1,0,0,0,1,1,0,3,moderate
Home Appliance Repairers,31940.00,49410.00,"Installation, Maintenance, and Repair Occupations",2.00,2.00,12,38.87,0.84,14.98,5.63,0,1,0,0,1,1,0,3,moderate
Hoist and Winch Operators,2480.00,52310.00,Transportation and Material Moving Occupations,2.00,2.00,2,28.06,0.13,19.29,4.58,0,0,1,0,1,1,0,3,moderate
Architectural and Engineering Managers,172102.00,167740.00,Management Occupations,5.00,5.00,131,67.44,-2.10,50.11,6.17,1,0,1,0,0,0,1,3,moderate
"Architects, Except Landscape and Naval",111140.00,96690.00,Architecture and Engineering Occupations,5.00,5.00,71,71.71,-2.07,41.78,6.40,1,0,1,0,0,0,1,3,moderate
"Arbitrators, Mediators, and Conciliators",7860.00,67710.00,Legal Occupations,5.00,4.00,14,44.24,-3.20,25.85,6.85,1,0,1,1,0,0,0,3,moderate
Appraisers of Personal and Business Property,29535.00,65420.00,Business and Financial Operations Occupations,4.00,4.00,20,56.38,1.41,14.71,6.97,1,1,0,1,0,0,0,3,moderate
Appraisers and Assessors of Real Estate,29535.00,65420.00,Business and Financial Operations Occupations,4.00,4.00,68,41.83,1.82,15.20,6.93,0,1,0,1,0,0,1,3,moderate
Anthropologists and Archeologists,8070.00,64910.00,"Life, Physical, and Social Science Occupations",5.00,3.00,59,42.60,-1.86,9.45,7.43,0,0,0,1,0,1,1,3,moderate
Animal Trainers,20110.00,38750.00,Personal Care and Service Occupations,2.00,1.00,17,16.60,2.46,11.01,6.65,0,1,0,1,1,0,0,3,moderate
Animal Scientists,2470.00,79120.00,"Life, Physical, and Social Science Occupations",5.00,4.00,28,40.02,-1.69,19.12,6.72,0,0,1,1,0,0,1,3,moderate
Telecommunications Line Installers and Repairers,98360.00,70500.00,"Installation, Maintenance, and Repair Occupations",2.00,3.00,15,39.65,0.81,4.37,5.57,0,1,0,0,1,1,0,3,moderate
Team Assemblers,728900.00,42210.00,Production Occupations,2.00,2.00,11,23.36,2.27,9.52,6.00,0,1,0,0,1,1,0,3,moderate
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2199900.00,35930.00,Building and Grounds Cleaning and Maintenance Occupations,3.00,2.00,7,16.79,3.66,5.45,5.60,0,1,0,0,1,1,0,3,moderate
Histology Technicians,57173.33,61890.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,12,4.99,2.61,0.00,6.77,0,1,0,1,1,0,0,3,moderate
Highway Maintenance Workers,151750.00,49070.00,Construction and Extraction Occupations,2.00,3.00,9,3.21,0.92,0.00,5.43,0,1,0,0,1,1,0,3,moderate
Helpers--Roofers,5170.00,40590.00,Construction and Extraction Occupations,2.00,2.00,12,2.34,1.47,0.00,5.40,0,1,0,0,1,1,0,3,moderate
Helpers--Production Workers,167490.00,38220.00,Production Occupations,2.00,1.00,12,32.12,1.06,26.73,3.86,0,1,1,0,1,0,0,3,moderate
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7220.00,38140.00,Construction and Extraction Occupations,1.00,2.00,11,9.56,3.14,1.96,5.41,0,1,0,0,1,1,0,3,moderate
"Helpers--Installation, Maintenance, and Repair Workers",97540.00,38860.00,"Installation, Maintenance, and Repair Occupations",2.00,2.00,15,18.07,0.26,3.94,4.85,0,1,0,0,1,1,0,3,moderate
Helpers--Electricians,64440.00,39890.00,Construction and Extraction Occupations,2.00,2.00,5,15.52,0.81,0.00,5.40,0,1,0,0,1,1,0,3,moderate
Helpers--Carpenters,24610.00,41600.00,Construction and Extraction Occupations,2.00,2.00,22,6.10,1.88,0.00,5.70,0,1,0,0,1,1,0,3,moderate
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",15660.00,46480.00,Construction and Extraction Occupations,2.00,2.00,21,15.36,0.36,2.84,4.45,0,1,0,0,1,1,0,3,moderate
Heavy and Tractor-Trailer Truck Drivers,2070480.00,57440.00,Transportation and Material Moving Occupations,2.00,3.00,20,29.40,0.16,13.21,5.30,0,1,0,0,1,1,0,3,moderate
"Insulation Workers, Mechanical",25640.00,57250.00,Construction and Extraction Occupations,2.00,2.00,5,29.44,0.74,2.40,5.62,0,1,0,0,1,1,0,3,moderate
Health Informatics Specialists,94384.00,103790.00,Computer and Mathematical Occupations,5.00,5.00,63,62.10,-0.79,9.25,6.74,1,0,0,1,0,0,1,3,moderate
Hazardous Materials Removal Workers,50570.00,48490.00,Construction and Extraction Occupations,3.00,3.00,15,17.84,0.64,15.35,5.60,0,1,0,0,1,1,0,3,moderate
Government Property Inspectors and Investigators,68789.00,78420.00,Business and Financial Operations Occupations,3.00,4.00,35,50.62,-0.98,12.35,6.13,1,0,0,0,1,0,1,3,moderate
Glaziers,57000.00,55440.00,Construction and Extraction Occupations,2.00,3.00,7,16.68,1.35,3.06,5.57,0,1,0,0,1,1,0,3,moderate
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",18970.00,48620.00,Production Occupations,2.00,2.00,5,30.36,0.98,1.73,5.38,0,1,0,0,1,1,0,3,moderate
Landscaping and Groundskeeping Workers,943430.00,38090.00,Building and Grounds Cleaning and Maintenance Occupations,1.00,2.00,6,16.08,0.99,10.25,4.51,0,1,0,0,1,1,0,3,moderate
"Laborers and Freight, Stock, and Material Movers, Hand",2982530.00,38940.00,Transportation and Material Moving Occupations,2.00,2.00,21,20.71,1.36,14.74,4.93,0,1,0,0,1,1,0,3,moderate
Avionics Technicians,20900.00,81390.00,"Installation, Maintenance, and Repair Occupations",3.00,3.00,23,39.85,-0.63,15.59,5.84,0,0,0,0,1,1,1,3,moderate
Automotive Service Technicians and Mechanics,688840.00,49670.00,"Installation, Maintenance, and Repair Occupations",3.00,3.00,35,29.48,-0.68,10.57,5.05,0,0,0,0,1,1,1,3,moderate
Automotive Glass Installers and Repairers,18940.00,47260.00,"Installation, Maintenance, and Repair Occupations",2.00,2.00,5,4.75,1.03,0.00,5.02,0,1,0,0,1,1,0,3,moderate
