title_current,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,adoption_gap,ska_overall_gap,emp_nat,median_wage,major,job_zone,risk_score,risk_tier,quadrant,opportunity_score
Tellers,45.63,154852.43,6091894738.84,71.25,241789.76,9512009108.47,25.62,1.82,339340.00,39340.00,Office and Administrative Support Occupations,2.00,8,high,Q1: Automation opportunity,3967247.12
Pharmacy Technicians,50.59,246823.21,10726936490.57,65.11,317683.48,13806523891.39,14.52,0.01,487920.00,43460.00,Healthcare Practitioners and Technical Occupations,3.00,8,high,Q1: Automation opportunity,3584595.70
Counter and Rental Clerks,70.76,282061.63,10870655298.76,83.28,331967.70,12794035331.20,12.52,1.99,398620.00,38540.00,Sales and Related Occupations,2.00,10,high,Q1: Automation opportunity,3531330.15
"Production, Planning, and Expediting Clerks",46.06,177340.70,10244972523.58,65.36,251620.73,14536129764.05,19.29,-0.56,385000.00,57770.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,3421525.35
Online Merchants,84.04,265915.56,21610957688.70,96.90,306617.16,24918776793.30,12.86,0.28,316417.00,81270.00,Business and Financial Operations Occupations,4.00,9,high,Q1: Automation opportunity,3420546.01
"Entertainment and Recreation Managers, Except Gambling",39.76,222948.84,20047680499.91,54.73,306876.04,27594459120.87,14.97,-0.38,560732.43,89920.54,Management Occupations,4.00,8,high,Q1: Automation opportunity,3336969.59
Medical Assistants,50.91,403979.36,17855887607.08,58.99,468068.56,20688630506.14,8.08,-0.75,793460.00,44200.00,Healthcare Support Occupations,3.00,11,high,Q1: Automation opportunity,3263014.67
"Middle School Teachers, Except Special and Career/Technical Education",63.59,394502.78,24841840132.56,71.70,444793.51,28008647018.62,8.11,-0.77,620370.00,62970.00,Educational Instruction and Library Occupations,4.00,9,high,Q1: Automation opportunity,3198064.13
Insurance Claims and Policy Processing Clerks,36.27,83089.99,4025709898.51,69.60,159441.79,7724954724.64,33.33,0.79,229070.00,48450.00,Office and Administrative Support Occupations,2.00,9,high,Q1: Automation opportunity,2769489.81
Insurance Sales Agents,64.14,301128.79,18179145066.63,72.66,341112.89,20592984919.14,8.52,0.18,469480.00,60370.00,Sales and Related Occupations,4.00,9,high,Q1: Automation opportunity,2564616.67
Amusement and Recreation Attendants,40.93,152108.63,4637792105.76,57.33,213046.83,6495797951.03,16.40,2.12,371590.00,30490.00,Personal Care and Service Occupations,1.00,8,high,Q1: Automation opportunity,2494476.90
First-Line Supervisors of Non-Retail Sales Workers,67.92,148761.22,12515281599.91,81.86,179273.31,15082263371.80,13.93,-0.71,219010.00,84130.00,Sales and Related Occupations,4.00,9,high,Q1: Automation opportunity,2072515.02
Parts Salespersons,45.85,121521.19,4549753329.33,62.45,165537.07,6197707999.30,16.61,-0.08,265060.00,37440.00,Sales and Related Occupations,2.00,10,high,Q1: Automation opportunity,2017981.77
Loan Officers,43.68,126889.10,9412633446.01,59.11,171722.71,12738390291.81,15.43,-0.94,290530.00,74180.00,Business and Financial Operations Occupations,4.00,9,high,Q1: Automation opportunity,1958109.61
"Hotel, Motel, and Resort Desk Clerks",55.30,144563.49,4954190710.38,67.80,177261.98,6074767972.51,12.51,1.02,261430.00,34270.00,Office and Administrative Support Occupations,2.00,10,high,Q1: Automation opportunity,1808135.17
Loan Interviewers and Clerks,59.14,102372.56,5011136920.53,76.27,132031.78,6462955746.31,17.13,-0.65,173100.00,48950.00,Office and Administrative Support Occupations,3.00,10,high,Q1: Automation opportunity,1754067.22
Web Administrators,69.77,132100.56,14394998482.33,82.27,155772.00,16974474820.99,12.50,-0.35,189336.00,108970.00,Computer and Mathematical Occupations,4.00,9,high,Q1: Automation opportunity,1651566.53
"Court, Municipal, and License Clerks",40.28,68475.75,3266293406.08,64.37,109428.11,5219721049.52,24.09,-0.43,170010.00,47700.00,Office and Administrative Support Occupations,2.00,8,high,Q1: Automation opportunity,1649458.14
Payroll and Timekeeping Clerks,54.70,85856.48,4747004893.70,73.89,115968.91,6411920880.23,19.19,-0.55,156950.00,55290.00,Office and Administrative Support Occupations,3.00,11,high,Q1: Automation opportunity,1647242.36
"Dispatchers, Except Police, Fire, and Ambulance",71.51,150878.33,7374932612.18,81.27,171484.59,8382166874.96,9.77,-0.73,211000.00,48880.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,1473478.14
Data Entry Keyers,65.89,89135.02,3552030497.20,79.58,107652.50,4289951947.03,13.69,-0.45,135280.00,39850.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,1220103.22
Animal Caretakers,39.56,109704.22,3671800334.56,50.19,139184.18,4658494398.16,10.63,2.13,277300.00,33470.00,Personal Care and Service Occupations,2.00,8,high,Q1: Automation opportunity,1166273.15
Reservation and Transportation Ticket Agents and Travel Clerks,50.48,64332.29,2667216715.31,68.47,87254.95,3617590037.22,17.99,-0.18,127440.00,41460.00,Office and Administrative Support Occupations,2.00,10,high,Q1: Automation opportunity,1157146.06
"Eligibility Interviewers, Government Programs",55.87,87306.18,4496268439.09,68.18,106540.00,5486809865.37,12.31,-0.84,156260.00,51500.00,Office and Administrative Support Occupations,3.00,10,high,Q1: Automation opportunity,1074639.00
