title_current,pct_first,pct_last,tier_first,tier_last,tier_changed,major_occ_category
Carpenters,10.71,10.71,low,low,False,Construction and Extraction Occupations
Carpet Installers,15.76,15.76,low,low,False,Construction and Extraction Occupations
Cartographers and Photogrammetrists,34.43,39.70,restructuring,restructuring,False,Architecture and Engineering Occupations
Cashiers,37.18,46.94,restructuring,moderate,True,Sales and Related Occupations
Cement Masons and Concrete Finishers,6.58,16.12,low,low,False,Construction and Extraction Occupations
Chefs and Head Cooks,24.58,44.75,restructuring,moderate,True,Food Preparation and Serving Related Occupations
Chemical Engineers,39.30,45.78,restructuring,moderate,True,Architecture and Engineering Occupations
Chemical Equipment Operators and Tenders,14.71,22.80,low,restructuring,True,Production Occupations
Chemical Plant and System Operators,7.17,17.22,low,low,False,Production Occupations
Chemical Technicians,26.80,52.62,restructuring,moderate,True,"Life, Physical, and Social Science Occupations"
"Chemistry Teachers, Postsecondary",28.34,65.95,restructuring,high,True,Educational Instruction and Library Occupations
Chemists,33.78,59.71,restructuring,moderate,True,"Life, Physical, and Social Science Occupations"
Chief Executives,20.51,50.67,restructuring,moderate,True,Management Occupations
Chief Sustainability Officers,14.93,32.17,low,restructuring,True,Management Occupations
"Child, Family, and School Social Workers",38.81,40.05,restructuring,moderate,True,Community and Social Service Occupations
Childcare Workers,26.24,38.68,restructuring,restructuring,False,Personal Care and Service Occupations
Chiropractors,14.75,36.39,low,restructuring,True,Healthcare Practitioners and Technical Occupations
Choreographers,37.41,52.52,restructuring,moderate,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Civil Engineering Technologists and Technicians,32.67,32.67,restructuring,restructuring,False,Architecture and Engineering Occupations
Civil Engineers,26.04,33.59,restructuring,restructuring,False,Architecture and Engineering Occupations
"Claims Adjusters, Examiners, and Investigators",33.75,33.75,restructuring,restructuring,False,Business and Financial Operations Occupations
Cleaners of Vehicles and Equipment,4.91,4.91,low,low,False,Transportation and Material Moving Occupations
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",8.71,11.82,low,low,False,Production Occupations
Clergy,42.32,72.16,moderate,high,True,Community and Social Service Occupations
Climate Change Policy Analysts,43.62,43.62,moderate,moderate,False,"Life, Physical, and Social Science Occupations"
Clinical Data Managers,31.95,58.62,restructuring,moderate,True,Computer and Mathematical Occupations
Clinical Neuropsychologists,18.17,18.17,low,low,False,"Life, Physical, and Social Science Occupations"
Clinical Nurse Specialists,24.89,47.25,restructuring,moderate,True,Healthcare Practitioners and Technical Occupations
Clinical Research Coordinators,27.39,46.49,restructuring,moderate,True,Management Occupations
Clinical and Counseling Psychologists,28.86,28.86,restructuring,restructuring,False,"Life, Physical, and Social Science Occupations"
Coaches and Scouts,24.05,55.07,restructuring,moderate,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",10.54,14.37,low,low,False,Production Occupations
"Coil Winders, Tapers, and Finishers",16.19,16.19,low,low,False,Production Occupations
"Coin, Vending, and Amusement Machine Servicers and Repairers",9.65,9.65,low,low,False,"Installation, Maintenance, and Repair Occupations"
Commercial Divers,21.27,23.55,restructuring,restructuring,False,"Installation, Maintenance, and Repair Occupations"
Commercial Pilots,23.39,26.52,restructuring,restructuring,False,Transportation and Material Moving Occupations
Commercial and Industrial Designers,39.24,58.71,restructuring,moderate,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
"Communications Teachers, Postsecondary",26.04,78.83,restructuring,high,True,Educational Instruction and Library Occupations
Community Health Workers,27.17,41.39,restructuring,moderate,True,Community and Social Service Occupations
Compensation and Benefits Managers,21.64,55.61,restructuring,moderate,True,Management Occupations
"Compensation, Benefits, and Job Analysis Specialists",15.63,33.65,low,restructuring,True,Business and Financial Operations Occupations
Compliance Managers,27.19,55.62,restructuring,moderate,True,Management Occupations
Compliance Officers,31.35,31.35,restructuring,restructuring,False,Business and Financial Operations Occupations
Computer Hardware Engineers,29.05,54.59,restructuring,moderate,True,Architecture and Engineering Occupations
Computer Network Architects,43.94,71.56,moderate,high,True,Computer and Mathematical Occupations
Computer Network Support Specialists,42.28,81.36,moderate,high,True,Computer and Mathematical Occupations
Computer Numerically Controlled Tool Operators,33.16,33.16,restructuring,restructuring,False,Production Occupations
Computer Numerically Controlled Tool Programmers,53.08,53.08,moderate,moderate,False,Production Occupations
Computer Programmers,47.94,78.84,moderate,high,True,Computer and Mathematical Occupations
"Computer Science Teachers, Postsecondary",31.80,79.16,restructuring,high,True,Educational Instruction and Library Occupations
Computer Systems Analysts,43.79,70.69,moderate,high,True,Computer and Mathematical Occupations
Computer Systems Engineers/Architects,39.28,61.79,restructuring,high,True,Computer and Mathematical Occupations
Computer User Support Specialists,44.63,81.76,moderate,high,True,Computer and Mathematical Occupations
Computer and Information Research Scientists,33.57,75.93,restructuring,high,True,Computer and Mathematical Occupations
Computer and Information Systems Managers,30.89,77.59,restructuring,high,True,Management Occupations
"Computer, Automated Teller, and Office Machine Repairers",33.13,48.83,restructuring,moderate,True,"Installation, Maintenance, and Repair Occupations"
Concierges,44.52,65.83,moderate,high,True,Personal Care and Service Occupations
