category,config_key,config_label,pct_tasks_affected,workers_affected,wages_affected
Security Management Specialists,agentic_confirmed,Agentic Confirmed,15.79,76272.33,6198652120.04
Computer Programmers,agentic_confirmed,Agentic Confirmed,65.53,72002.91,7104527270.78
Coaches and Scouts,agentic_confirmed,Agentic Confirmed,28.43,71354.69,3276607364.60
"Hairdressers, Hairstylists, and Cosmetologists",agentic_confirmed,Agentic Confirmed,24.00,70895.96,2499082571.68
"Education Administrators, Kindergarten through Secondary",agentic_confirmed,Agentic Confirmed,22.08,70570.96,7344319619.20
"Interviewers, Except Eligibility and Loan",agentic_confirmed,Agentic Confirmed,43.61,68595.17,3006526147.85
Financial Risk Specialists,agentic_confirmed,Agentic Confirmed,36.42,68580.53,7121475557.95
Business Continuity Planners,agentic_confirmed,Agentic Confirmed,31.46,68346.77,5554542154.72
Document Management Specialists,agentic_confirmed,Agentic Confirmed,54.20,67297.17,7333372671.41
Architectural and Engineering Managers,agentic_confirmed,Agentic Confirmed,38.81,66790.32,11203408086.56
Financial Quantitative Analysts,agentic_confirmed,Agentic Confirmed,71.15,66347.60,5320413649.04
Mental Health Counselors,agentic_confirmed,Agentic Confirmed,40.82,66044.00,3975848906.14
"Meeting, Convention, and Event Planners",agentic_confirmed,Agentic Confirmed,48.73,65628.25,3900943069.12
Financial and Investment Analysts,agentic_confirmed,Agentic Confirmed,34.81,65551.10,6806896700.53
"Inspectors, Testers, Sorters, Samplers, and Weighers",agentic_confirmed,Agentic Confirmed,10.96,64763.97,3073698016.58
Loan Interviewers and Clerks,agentic_confirmed,Agentic Confirmed,36.86,63801.36,3123076762.95
Critical Care Nurses,agentic_confirmed,Agentic Confirmed,9.54,63498.10,5943421838.62
Pharmacy Technicians,agentic_confirmed,Agentic Confirmed,13.00,63429.99,2756667364.26
Acute Care Nurses,agentic_confirmed,Agentic Confirmed,12.74,63092.78,5905484264.71
"Human Resources Assistants, Except Payroll and Timekeeping",agentic_confirmed,Agentic Confirmed,67.30,62305.49,3080383543.24
Chief Executives,agentic_confirmed,Agentic Confirmed,35.47,61177.13,12628183673.43
Legal Secretaries and Administrative Assistants,agentic_confirmed,Agentic Confirmed,38.91,60124.42,3255135845.36
"Wholesale and Retail Buyers, Except Farm Products",agentic_confirmed,Agentic Confirmed,36.56,59344.50,4489411423.67
Registered Nurses,agentic_confirmed,Agentic Confirmed,19.43,59185.50,5539762545.48
"Architects, Except Landscape and Naval",agentic_confirmed,Agentic Confirmed,53.07,58986.35,5703390298.59
Bartenders,agentic_confirmed,Agentic Confirmed,7.90,58879.44,1974227474.83
"Eligibility Interviewers, Government Programs",agentic_confirmed,Agentic Confirmed,36.81,57512.26,2961881336.19
"Packers and Packagers, Hand",agentic_confirmed,Agentic Confirmed,9.14,54970.65,1955855691.91
Regulatory Affairs Managers,agentic_confirmed,Agentic Confirmed,27.89,54263.91,7409736740.63
Tutors,agentic_confirmed,Agentic Confirmed,30.80,53798.60,2156785746.95
Childcare Workers,agentic_confirmed,Agentic Confirmed,15.05,53270.87,1707331467.31
"Preschool Teachers, Except Special Education",agentic_confirmed,Agentic Confirmed,11.83,52660.58,1954760759.34
Computer Network Architects,agentic_confirmed,Agentic Confirmed,53.89,52017.72,6782590114.62
Data Entry Keyers,agentic_confirmed,Agentic Confirmed,38.16,51621.09,2057100529.64
"Special Education Teachers, Secondary School",agentic_confirmed,Agentic Confirmed,31.03,50512.45,3515161300.71
Clinical Data Managers,agentic_confirmed,Agentic Confirmed,47.91,49862.97,5614071533.15
Physician Assistants,agentic_confirmed,Agentic Confirmed,40.25,48639.63,6481716583.64
"Art, Drama, and Music Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,49.45,48401.85,3881344269.57
First-Line Supervisors of Housekeeping and Janitorial Workers,agentic_confirmed,Agentic Confirmed,26.20,45759.87,2174509242.90
Telemarketers,agentic_confirmed,Agentic Confirmed,68.29,45363.88,1560971046.10
Operations Research Analysts,agentic_confirmed,Agentic Confirmed,41.86,45109.18,4118017168.46
Solar Energy Installation Managers,agentic_confirmed,Agentic Confirmed,13.82,44622.89,3511375338.69
"Business Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,53.79,43991.97,4279099089.79
Physical Therapists,agentic_confirmed,Agentic Confirmed,17.38,43219.42,4366026137.83
Advertising Sales Agents,agentic_confirmed,Agentic Confirmed,44.12,43000.44,2642806963.35
Order Clerks,agentic_confirmed,Agentic Confirmed,50.27,41932.01,1872683777.93
"Buyers and Purchasing Agents, Farm Products",agentic_confirmed,Agentic Confirmed,25.33,41107.45,3109778643.31
Automotive Service Technicians and Mechanics,agentic_confirmed,Agentic Confirmed,5.94,40929.46,2032966179.96
Geographic Information Systems Technologists and Technicians,agentic_confirmed,Agentic Confirmed,47.33,40819.83,4448137280.62
Health Informatics Specialists,agentic_confirmed,Agentic Confirmed,42.82,40415.14,4194687716.72
Human Resources Managers,agentic_confirmed,Agentic Confirmed,18.65,40192.98,5628222930.07
Substance Abuse and Behavioral Disorder Counselors,agentic_confirmed,Agentic Confirmed,24.68,39929.58,2403760422.91
Telecommunications Engineering Specialists,agentic_confirmed,Agentic Confirmed,49.42,39778.17,5186675272.51
Intelligence Analysts,agentic_confirmed,Agentic Confirmed,53.44,39597.30,3705515205.79
Logistics Analysts,agentic_confirmed,Agentic Confirmed,50.51,39055.57,3158814342.70
Mental Health and Substance Abuse Social Workers,agentic_confirmed,Agentic Confirmed,30.86,38853.43,2333536726.60
Construction Laborers,agentic_confirmed,Agentic Confirmed,3.60,38083.34,1779634551.86
"Education Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,63.85,37728.85,2719872800.19
"Career/Technical Education Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,33.75,37518.14,2306990239.11
Travel Agents,agentic_confirmed,Agentic Confirmed,62.84,37167.32,1800756678.38
Healthcare Social Workers,agentic_confirmed,Agentic Confirmed,19.88,36962.65,2516786873.00
Parts Salespersons,agentic_confirmed,Agentic Confirmed,13.80,36588.46,1369872022.16
Food Service Managers,agentic_confirmed,Agentic Confirmed,14.83,36231.17,2366257431.14
Social and Community Service Managers,agentic_confirmed,Agentic Confirmed,18.17,35514.24,2778633984.64
Technical Writers,agentic_confirmed,Agentic Confirmed,63.84,35450.36,3249734633.29
Editors,agentic_confirmed,Agentic Confirmed,36.77,35112.50,2642566922.55
Health Information Technologists and Medical Registrars,agentic_confirmed,Agentic Confirmed,30.02,34532.31,2020883092.04
