occ,date,config,pct_tasks_affected,group
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2025-03-06,all_ceiling,54.88,High-Profile / High-Employment
Lawyers,2025-03-06,all_ceiling,28.44,AI-Controversial / Interesting
"Physicians, All Other",2025-03-06,all_ceiling,,AI-Controversial / Interesting
Financial Analysts,2025-03-06,all_ceiling,,AI-Controversial / Interesting
Graphic Designers,2025-03-06,all_ceiling,70.16,AI-Controversial / Interesting
Technical Writers,2025-03-06,all_ceiling,55.16,AI-Controversial / Interesting
Web Developers,2025-03-06,all_ceiling,60.22,AI-Controversial / Interesting
Paralegals and Legal Assistants,2025-03-06,all_ceiling,27.18,AI-Controversial / Interesting
Data Scientists,2025-03-06,all_ceiling,46.04,AI-Controversial / Interesting
Human Resources Specialists,2025-03-06,all_ceiling,56.48,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2025-03-06,all_ceiling,66.93,AI-Controversial / Interesting
Editors,2025-03-06,all_ceiling,46.50,AI-Controversial / Interesting
Interpreters and Translators,2025-03-06,all_ceiling,68.33,AI-Controversial / Interesting
Computer Systems Analysts,2025-03-06,all_ceiling,52.10,Utah-Relevant
Medical and Health Services Managers,2025-03-06,all_ceiling,37.21,Utah-Relevant
Construction Laborers,2025-03-06,all_ceiling,3.87,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2025-03-06,all_ceiling,56.49,Utah-Relevant
Network and Computer Systems Administrators,2025-03-06,all_ceiling,46.83,Utah-Relevant
Registered Nurses,2025-04-24,all_ceiling,15.06,High-Profile / High-Employment
Software Developers,2025-04-24,all_ceiling,59.06,High-Profile / High-Employment
General and Operations Managers,2025-04-24,all_ceiling,42.76,High-Profile / High-Employment
Cashiers,2025-04-24,all_ceiling,53.14,High-Profile / High-Employment
Customer Service Representatives,2025-04-24,all_ceiling,59.22,High-Profile / High-Employment
Retail Salespersons,2025-04-24,all_ceiling,49.77,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2025-04-24,all_ceiling,22.12,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2025-04-24,all_ceiling,52.86,High-Profile / High-Employment
Waiters and Waitresses,2025-04-24,all_ceiling,41.85,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2025-04-24,all_ceiling,16.79,High-Profile / High-Employment
Accountants and Auditors,2025-04-24,all_ceiling,38.18,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2025-04-24,all_ceiling,74.03,High-Profile / High-Employment
Lawyers,2025-04-24,all_ceiling,33.01,AI-Controversial / Interesting
"Physicians, All Other",2025-04-24,all_ceiling,,AI-Controversial / Interesting
Financial Analysts,2025-04-24,all_ceiling,,AI-Controversial / Interesting
Graphic Designers,2025-04-24,all_ceiling,75.03,AI-Controversial / Interesting
Technical Writers,2025-04-24,all_ceiling,63.48,AI-Controversial / Interesting
