occ,date,config,pct_tasks_affected,group
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2025-07-23,all_ceiling,82.38,High-Profile / High-Employment
Lawyers,2025-07-23,all_ceiling,34.45,AI-Controversial / Interesting
"Physicians, All Other",2025-07-23,all_ceiling,,AI-Controversial / Interesting
Financial Analysts,2025-07-23,all_ceiling,,AI-Controversial / Interesting
Graphic Designers,2025-07-23,all_ceiling,77.86,AI-Controversial / Interesting
Technical Writers,2025-07-23,all_ceiling,63.63,AI-Controversial / Interesting
Web Developers,2025-07-23,all_ceiling,85.05,AI-Controversial / Interesting
Paralegals and Legal Assistants,2025-07-23,all_ceiling,52.34,AI-Controversial / Interesting
Data Scientists,2025-07-23,all_ceiling,76.82,AI-Controversial / Interesting
Human Resources Specialists,2025-07-23,all_ceiling,68.79,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2025-07-23,all_ceiling,77.69,AI-Controversial / Interesting
Editors,2025-07-23,all_ceiling,55.14,AI-Controversial / Interesting
Interpreters and Translators,2025-07-23,all_ceiling,71.85,AI-Controversial / Interesting
Computer Systems Analysts,2025-07-23,all_ceiling,70.17,Utah-Relevant
Medical and Health Services Managers,2025-07-23,all_ceiling,56.62,Utah-Relevant
Construction Laborers,2025-07-23,all_ceiling,4.51,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2025-07-23,all_ceiling,65.57,Utah-Relevant
Network and Computer Systems Administrators,2025-07-23,all_ceiling,78.97,Utah-Relevant
Registered Nurses,2025-08-11,all_ceiling,39.17,High-Profile / High-Employment
Software Developers,2025-08-11,all_ceiling,64.68,High-Profile / High-Employment
General and Operations Managers,2025-08-11,all_ceiling,50.78,High-Profile / High-Employment
Cashiers,2025-08-11,all_ceiling,67.08,High-Profile / High-Employment
Customer Service Representatives,2025-08-11,all_ceiling,85.35,High-Profile / High-Employment
Retail Salespersons,2025-08-11,all_ceiling,65.10,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2025-08-11,all_ceiling,29.40,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2025-08-11,all_ceiling,62.52,High-Profile / High-Employment
Waiters and Waitresses,2025-08-11,all_ceiling,43.34,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2025-08-11,all_ceiling,16.79,High-Profile / High-Employment
Accountants and Auditors,2025-08-11,all_ceiling,43.59,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2025-08-11,all_ceiling,88.56,High-Profile / High-Employment
Lawyers,2025-08-11,all_ceiling,41.34,AI-Controversial / Interesting
"Physicians, All Other",2025-08-11,all_ceiling,,AI-Controversial / Interesting
Financial Analysts,2025-08-11,all_ceiling,,AI-Controversial / Interesting
Graphic Designers,2025-08-11,all_ceiling,82.12,AI-Controversial / Interesting
Technical Writers,2025-08-11,all_ceiling,80.62,AI-Controversial / Interesting
Web Developers,2025-08-11,all_ceiling,88.30,AI-Controversial / Interesting
Paralegals and Legal Assistants,2025-08-11,all_ceiling,55.24,AI-Controversial / Interesting
Data Scientists,2025-08-11,all_ceiling,76.82,AI-Controversial / Interesting
Human Resources Specialists,2025-08-11,all_ceiling,76.76,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2025-08-11,all_ceiling,91.96,AI-Controversial / Interesting
Editors,2025-08-11,all_ceiling,60.54,AI-Controversial / Interesting
Interpreters and Translators,2025-08-11,all_ceiling,78.96,AI-Controversial / Interesting
Computer Systems Analysts,2025-08-11,all_ceiling,79.25,Utah-Relevant
Medical and Health Services Managers,2025-08-11,all_ceiling,64.35,Utah-Relevant
Construction Laborers,2025-08-11,all_ceiling,9.01,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2025-08-11,all_ceiling,80.63,Utah-Relevant
Network and Computer Systems Administrators,2025-08-11,all_ceiling,83.85,Utah-Relevant
Registered Nurses,2025-11-13,all_ceiling,39.83,High-Profile / High-Employment
Software Developers,2025-11-13,all_ceiling,64.68,High-Profile / High-Employment
General and Operations Managers,2025-11-13,all_ceiling,51.89,High-Profile / High-Employment
Cashiers,2025-11-13,all_ceiling,67.08,High-Profile / High-Employment
Customer Service Representatives,2025-11-13,all_ceiling,85.86,High-Profile / High-Employment
Retail Salespersons,2025-11-13,all_ceiling,68.10,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2025-11-13,all_ceiling,29.40,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2025-11-13,all_ceiling,66.96,High-Profile / High-Employment
Waiters and Waitresses,2025-11-13,all_ceiling,43.36,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2025-11-13,all_ceiling,16.79,High-Profile / High-Employment
Accountants and Auditors,2025-11-13,all_ceiling,43.59,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2025-11-13,all_ceiling,90.69,High-Profile / High-Employment
Lawyers,2025-11-13,all_ceiling,46.45,AI-Controversial / Interesting
"Physicians, All Other",2025-11-13,all_ceiling,,AI-Controversial / Interesting
Financial Analysts,2025-11-13,all_ceiling,,AI-Controversial / Interesting
Graphic Designers,2025-11-13,all_ceiling,85.68,AI-Controversial / Interesting
Technical Writers,2025-11-13,all_ceiling,80.95,AI-Controversial / Interesting
Web Developers,2025-11-13,all_ceiling,88.98,AI-Controversial / Interesting
Paralegals and Legal Assistants,2025-11-13,all_ceiling,55.24,AI-Controversial / Interesting
Data Scientists,2025-11-13,all_ceiling,76.82,AI-Controversial / Interesting
Human Resources Specialists,2025-11-13,all_ceiling,82.84,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2025-11-13,all_ceiling,92.71,AI-Controversial / Interesting
Editors,2025-11-13,all_ceiling,68.08,AI-Controversial / Interesting
Interpreters and Translators,2025-11-13,all_ceiling,86.87,AI-Controversial / Interesting
Computer Systems Analysts,2025-11-13,all_ceiling,80.71,Utah-Relevant
Medical and Health Services Managers,2025-11-13,all_ceiling,65.06,Utah-Relevant
Construction Laborers,2025-11-13,all_ceiling,12.60,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2025-11-13,all_ceiling,84.74,Utah-Relevant
Network and Computer Systems Administrators,2025-11-13,all_ceiling,85.06,Utah-Relevant
Registered Nurses,2026-02-12,all_ceiling,40.16,High-Profile / High-Employment
Software Developers,2026-02-12,all_ceiling,64.68,High-Profile / High-Employment
General and Operations Managers,2026-02-12,all_ceiling,51.89,High-Profile / High-Employment
Cashiers,2026-02-12,all_ceiling,67.21,High-Profile / High-Employment
Customer Service Representatives,2026-02-12,all_ceiling,85.86,High-Profile / High-Employment
Retail Salespersons,2026-02-12,all_ceiling,68.38,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2026-02-12,all_ceiling,29.40,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2026-02-12,all_ceiling,67.10,High-Profile / High-Employment
Waiters and Waitresses,2026-02-12,all_ceiling,44.63,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2026-02-12,all_ceiling,16.79,High-Profile / High-Employment
Accountants and Auditors,2026-02-12,all_ceiling,43.59,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2026-02-12,all_ceiling,90.71,High-Profile / High-Employment
Lawyers,2026-02-12,all_ceiling,47.39,AI-Controversial / Interesting
"Physicians, All Other",2026-02-12,all_ceiling,,AI-Controversial / Interesting
Financial Analysts,2026-02-12,all_ceiling,,AI-Controversial / Interesting
Graphic Designers,2026-02-12,all_ceiling,86.58,AI-Controversial / Interesting
Technical Writers,2026-02-12,all_ceiling,85.88,AI-Controversial / Interesting
Web Developers,2026-02-12,all_ceiling,90.66,AI-Controversial / Interesting
Paralegals and Legal Assistants,2026-02-12,all_ceiling,55.24,AI-Controversial / Interesting
Data Scientists,2026-02-12,all_ceiling,76.82,AI-Controversial / Interesting
Human Resources Specialists,2026-02-12,all_ceiling,85.90,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2026-02-12,all_ceiling,92.71,AI-Controversial / Interesting
Editors,2026-02-12,all_ceiling,69.05,AI-Controversial / Interesting
Interpreters and Translators,2026-02-12,all_ceiling,87.70,AI-Controversial / Interesting
Computer Systems Analysts,2026-02-12,all_ceiling,80.71,Utah-Relevant
Medical and Health Services Managers,2026-02-12,all_ceiling,65.06,Utah-Relevant
Construction Laborers,2026-02-12,all_ceiling,12.60,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2026-02-12,all_ceiling,84.74,Utah-Relevant
Network and Computer Systems Administrators,2026-02-12,all_ceiling,85.55,Utah-Relevant
Registered Nurses,2026-02-18,all_ceiling,40.16,High-Profile / High-Employment
Software Developers,2026-02-18,all_ceiling,64.68,High-Profile / High-Employment
General and Operations Managers,2026-02-18,all_ceiling,52.31,High-Profile / High-Employment
Cashiers,2026-02-18,all_ceiling,68.24,High-Profile / High-Employment
Customer Service Representatives,2026-02-18,all_ceiling,85.86,High-Profile / High-Employment
Retail Salespersons,2026-02-18,all_ceiling,69.00,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2026-02-18,all_ceiling,29.40,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2026-02-18,all_ceiling,67.10,High-Profile / High-Employment
Waiters and Waitresses,2026-02-18,all_ceiling,45.07,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2026-02-18,all_ceiling,16.79,High-Profile / High-Employment
Accountants and Auditors,2026-02-18,all_ceiling,43.59,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2026-02-18,all_ceiling,90.87,High-Profile / High-Employment
Lawyers,2026-02-18,all_ceiling,47.39,AI-Controversial / Interesting
"Physicians, All Other",2026-02-18,all_ceiling,,AI-Controversial / Interesting
Financial Analysts,2026-02-18,all_ceiling,,AI-Controversial / Interesting
Graphic Designers,2026-02-18,all_ceiling,87.30,AI-Controversial / Interesting
Technical Writers,2026-02-18,all_ceiling,85.88,AI-Controversial / Interesting
Web Developers,2026-02-18,all_ceiling,90.77,AI-Controversial / Interesting
Paralegals and Legal Assistants,2026-02-18,all_ceiling,55.24,AI-Controversial / Interesting
Data Scientists,2026-02-18,all_ceiling,76.82,AI-Controversial / Interesting
Human Resources Specialists,2026-02-18,all_ceiling,86.37,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2026-02-18,all_ceiling,92.71,AI-Controversial / Interesting
Editors,2026-02-18,all_ceiling,69.05,AI-Controversial / Interesting
Interpreters and Translators,2026-02-18,all_ceiling,87.70,AI-Controversial / Interesting
Computer Systems Analysts,2026-02-18,all_ceiling,80.71,Utah-Relevant
Medical and Health Services Managers,2026-02-18,all_ceiling,65.06,Utah-Relevant
Construction Laborers,2026-02-18,all_ceiling,12.60,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2026-02-18,all_ceiling,85.70,Utah-Relevant
Network and Computer Systems Administrators,2026-02-18,all_ceiling,85.55,Utah-Relevant
