category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,mean_pct,std_pct
"Securities, Commodities, and Financial Services Sales Agents",29.00,52.76,29.00,65.04,43.95,17.98
Medical Records Specialists,38.67,18.61,38.67,62.50,39.61,17.95
Social and Human Service Assistants,38.53,0.00,36.51,19.20,23.56,17.94
Probation Officers and Correctional Treatment Specialists,36.82,0.00,36.82,15.61,22.31,17.92
"Child, Family, and School Social Workers",39.38,1.31,38.81,24.99,26.12,17.83
Tutors,67.17,30.80,32.33,31.58,40.47,17.81
Transportation Engineers,53.74,10.23,29.27,30.31,30.89,17.81
Industrial Engineers,48.83,7.60,39.94,32.03,32.10,17.72
Transportation Security Screeners,42.00,6.21,39.67,15.80,25.92,17.68
Logisticians,58.40,17.63,26.78,28.99,32.95,17.67
Remote Sensing Scientists and Technologists,26.35,27.49,14.75,56.08,31.17,17.58
Information Security Analysts,55.47,69.90,31.68,67.59,56.16,17.50
Craft Artists,61.19,25.41,43.69,24.20,38.62,17.49
Video Game Designers,57.35,16.96,46.96,47.48,42.19,17.48
"Business Teachers, Postsecondary",71.74,53.79,41.75,30.99,49.57,17.47
Cashiers,42.33,18.39,37.18,60.59,39.62,17.36
"Kindergarten Teachers, Except Special Education",52.68,14.92,26.89,16.94,27.86,17.35
Music Directors and Composers,37.62,5.32,37.62,43.45,31.00,17.34
"Biological Science Teachers, Postsecondary",66.04,46.38,30.08,29.12,42.91,17.34
Cartographers and Photogrammetrists,39.70,6.69,34.43,45.91,31.68,17.31
Hydrologic Technicians,34.52,0.00,34.52,34.67,25.92,17.28
Fish and Game Wardens,37.81,0.00,17.84,3.07,14.68,17.27
Human Factors Engineers and Ergonomists,44.10,14.62,42.38,12.36,28.36,17.22
Parts Salespersons,45.85,13.80,34.53,53.34,36.88,17.22
Geographers,67.38,25.60,49.50,44.35,46.71,17.19
"Art, Drama, and Music Teachers, Postsecondary",60.40,49.45,30.88,22.88,40.90,17.11
Landscape Architects,44.00,5.97,34.57,17.76,25.58,16.99
Animal Control Workers,47.12,15.54,40.37,13.92,29.24,16.99
Payroll and Timekeeping Clerks,42.53,20.64,35.66,61.57,40.10,16.98
Remote Sensing Technicians,25.82,10.87,24.08,51.44,28.05,16.96
Food Preparation Workers,35.77,0.00,29.88,9.19,18.71,16.90
Plasterers and Stucco Masons,29.14,0.00,29.14,0.00,14.57,16.83
Reservation and Transportation Ticket Agents and Travel Clerks,48.11,18.79,42.51,58.43,41.96,16.80
Software Developers,45.16,19.58,45.16,59.94,42.46,16.77
Sociologists,59.14,53.48,32.33,24.19,42.28,16.69
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",42.04,11.51,32.41,7.10,23.27,16.69
"Criminal Justice and Law Enforcement Teachers, Postsecondary",60.89,56.15,33.36,27.00,44.35,16.68
"Directors, Religious Activities and Education",54.69,25.65,30.60,15.33,31.57,16.67
Actuaries,41.57,1.54,27.11,19.31,22.38,16.67
Cost Estimators,54.30,14.31,40.65,38.67,36.98,16.64
Speech-Language Pathologists,40.44,0.00,19.33,16.38,19.04,16.61
Animal Scientists,38.75,0.00,20.90,10.00,17.41,16.59
Public Relations Specialists,71.32,69.72,40.13,43.85,56.25,16.56
Agricultural Engineers,38.39,0.00,30.44,22.98,22.95,16.54
"Middle School Teachers, Except Special and Career/Technical Education",56.74,43.46,25.03,21.29,36.63,16.54
"Library Science Teachers, Postsecondary",68.87,52.35,34.62,34.30,47.54,16.54
Riggers,29.83,0.00,29.83,2.49,15.54,16.53
"Sociology Teachers, Postsecondary",61.82,52.87,29.97,29.08,43.43,16.48
"Forestry and Conservation Science Teachers, Postsecondary",63.40,51.86,32.02,28.75,44.01,16.48
Receptionists and Information Clerks,64.28,50.12,32.72,69.52,54.16,16.47
Pharmacy Technicians,46.95,13.00,38.22,48.54,36.68,16.42
Marketing Managers,59.80,62.85,26.75,47.08,49.12,16.40
Traffic Technicians,26.05,0.00,21.51,39.49,21.76,16.39
"Court, Municipal, and License Clerks",40.28,20.07,40.28,60.21,40.21,16.39
"Elementary School Teachers, Except Special Education",56.49,38.60,26.07,19.18,35.08,16.38
"Pediatricians, General",43.64,25.29,12.25,6.86,22.01,16.37
Waiters and Waitresses,39.41,4.02,37.94,27.89,27.31,16.35
"Anthropology and Archeology Teachers, Postsecondary",60.49,56.89,32.93,28.46,44.69,16.33
"Secondary School Teachers, Except Special and Career/Technical Education",52.56,48.06,24.53,20.23,36.34,16.32
"Bookkeeping, Accounting, and Auditing Clerks",59.22,33.02,40.95,68.48,50.42,16.29
Calibration Technologists and Technicians,33.22,0.00,33.22,13.39,19.96,16.26
Fire-Prevention and Protection Engineers,33.79,0.00,33.64,16.01,20.86,16.22
Water/Wastewater Engineers,40.72,3.31,33.14,28.70,26.47,16.21
Lighting Technicians,33.91,0.00,33.91,27.89,23.93,16.20
Broadcast Technicians,31.60,9.96,22.23,48.32,28.03,16.17
Robotics Technicians,40.31,4.02,27.68,35.84,26.96,16.17
Historians,63.59,41.33,48.25,24.62,44.45,16.16
Bioinformatics Technicians,77.29,63.66,41.61,74.28,64.21,16.16
"Property, Real Estate, and Community Association Managers",57.07,33.17,17.98,33.22,35.36,16.15
Floral Designers,33.92,0.00,33.91,18.42,21.57,16.13
Computer Network Support Specialists,55.75,62.03,42.28,80.99,60.26,16.09
Medical Dosimetrists,32.41,0.00,32.41,31.25,24.02,16.02
Obstetricians and Gynecologists,27.27,45.53,17.09,8.32,24.55,15.99
First-Line Supervisors of Construction Trades and Extraction Workers,31.61,48.68,16.55,14.05,27.72,15.98
Forest Fire Inspectors and Prevention Specialists,12.20,0.00,6.29,36.37,13.71,15.90
Biologists,42.12,9.17,40.25,20.68,28.06,15.89
Flight Attendants,36.73,4.64,33.30,11.59,21.57,15.85
"Teaching Assistants, Postsecondary",43.01,9.73,43.01,27.69,30.86,15.83
Fuel Cell Engineers,37.26,2.30,34.23,25.63,24.86,15.83
"Medical Scientists, Except Epidemiologists",39.83,4.31,35.02,23.10,25.56,15.82
Amusement and Recreation Attendants,40.93,7.49,37.48,38.31,31.05,15.78
Motion Picture Projectionists,9.83,0.00,5.02,35.46,12.58,15.77
Business Intelligence Analysts,64.12,85.24,46.81,68.08,66.06,15.77
Validation Engineers,35.48,2.64,31.64,34.87,26.16,15.77
Interior Designers,44.80,6.86,30.09,31.52,28.31,15.76
Gem and Diamond Workers,29.86,0.00,29.86,5.94,16.41,15.71
Information Technology Project Managers,46.10,48.35,21.80,58.82,43.77,15.66
Surveying and Mapping Technicians,29.73,2.41,29.73,38.31,25.04,15.62
Computer Numerically Controlled Tool Programmers,53.08,20.34,53.08,46.43,43.23,15.58
Electrical and Electronics Drafters,46.56,14.48,46.56,42.27,37.47,15.46
"Recreation and Fitness Studies Teachers, Postsecondary",56.68,57.53,32.73,28.35,43.82,15.44
Facilities Managers,7.55,1.86,7.55,36.06,13.25,15.44
Graphic Designers,74.28,45.84,44.15,68.45,58.18,15.43
Recreation Workers,31.95,0.00,29.24,31.07,23.06,15.42
"Geography Teachers, Postsecondary",63.75,54.17,34.33,32.13,46.10,15.39
Nuclear Monitoring Technicians,42.22,6.79,31.31,19.13,24.86,15.30
Film and Video Editors,54.78,55.41,22.74,43.46,44.10,15.26
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",67.23,49.12,44.57,77.01,59.48,15.24
Data Entry Keyers,52.01,38.16,38.17,70.30,49.66,15.23
"Preschool Teachers, Except Special Education",44.27,11.83,19.60,12.51,22.05,15.22
Animal Caretakers,39.56,7.98,39.56,22.69,27.45,15.22
"Geoscientists, Except Hydrologists and Geographers",30.46,7.10,26.31,43.93,26.95,15.22
Microbiologists,45.35,29.10,30.33,8.41,28.30,15.18
Precision Agriculture Technicians,36.35,16.30,19.21,48.59,30.11,15.17
Database Administrators,67.29,40.56,46.31,71.03,56.30,15.11
Automotive Engineers,46.10,11.56,40.34,32.03,32.51,15.11
First-Line Supervisors of Security Workers,21.55,0.00,21.55,36.73,19.96,15.11
Adapted Physical Education Specialists,33.35,2.74,26.97,6.31,17.34,15.09
"Foreign Language and Literature Teachers, Postsecondary",62.64,56.19,33.13,34.29,46.56,15.08
Coroners,32.08,0.00,26.43,9.10,16.90,14.92
Archivists,69.98,37.22,40.59,44.74,48.13,14.89
Photonics Technicians,33.69,0.00,28.92,20.97,20.89,14.89
Wind Energy Engineers,31.40,0.00,31.40,18.39,20.30,14.86
Economists,57.48,59.52,49.72,27.10,48.45,14.85
"Tax Examiners and Collectors, and Revenue Agents",30.03,5.40,25.15,40.74,25.33,14.80
Travel Agents,63.33,62.84,31.79,50.57,52.13,14.79
"Ushers, Lobby Attendants, and Ticket Takers",36.90,4.87,30.50,34.44,26.68,14.77
"Nursing Instructors and Teachers, Postsecondary",52.04,44.47,26.16,20.91,35.89,14.76
Nannies,37.78,3.74,26.14,14.01,20.42,14.76
Industrial Production Managers,19.54,0.00,17.07,35.95,18.14,14.71
Administrative Services Managers,21.21,1.85,21.00,37.83,20.47,14.71
Network and Computer Systems Administrators,56.11,53.76,42.87,77.95,57.67,14.70
Training and Development Specialists,51.39,26.37,41.60,18.81,34.54,14.70
First-Line Supervisors of Retail Sales Workers,56.92,48.44,23.00,37.26,41.41,14.68
Environmental Compliance Inspectors,32.75,2.62,32.31,30.64,24.58,14.67
"Meeting, Convention, and Event Planners",51.29,48.73,21.11,29.71,37.71,14.67
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",28.63,0.00,28.63,7.62,16.22,14.66
Environmental Restoration Planners,28.49,0.00,28.08,6.67,15.81,14.66
Statistical Assistants,73.56,64.47,40.51,68.54,61.77,14.65
Astronomers,50.07,16.52,23.17,33.51,30.82,14.62
"Education Administrators, Postsecondary",40.79,8.26,12.62,24.56,21.56,14.55
Tour Guides and Escorts,36.81,5.09,33.42,30.47,26.45,14.47
Genetic Counselors,42.05,13.27,39.92,19.44,28.67,14.47
Correspondence Clerks,49.42,20.69,33.63,51.45,38.80,14.47
Instructional Coordinators,47.73,61.87,42.62,26.87,44.77,14.45
Recreational Vehicle Service Technicians,29.04,0.00,27.11,7.55,15.92,14.39
Cytotechnologists,37.32,30.39,23.31,3.98,23.75,14.37
Forensic Science Technicians,44.69,14.61,42.74,26.02,32.02,14.31
Personal Care Aides,43.33,10.01,21.95,17.40,23.17,14.31
"Library Assistants, Clerical",39.06,9.84,25.78,40.52,28.80,14.27
Fundraising Managers,11.92,5.96,11.92,37.91,16.93,14.27
Zoologists and Wildlife Biologists,36.45,8.46,30.15,9.77,21.21,14.21
Insurance Claims and Policy Processing Clerks,36.27,47.89,36.27,66.20,46.66,14.13
Supply Chain Managers,36.61,6.79,24.36,36.68,26.11,14.12
Geothermal Technicians,33.35,0.00,24.12,17.20,18.67,14.09
First-Line Supervisors of Production and Operating Workers,32.25,2.09,31.11,25.05,22.62,14.05
"Switchboard Operators, Including Answering Service",55.34,39.30,40.49,68.98,51.03,14.02
Telecommunications Line Installers and Repairers,35.28,7.64,35.28,15.79,23.50,14.01
"Career/Technical Education Teachers, Middle School",52.33,33.83,27.62,19.55,33.33,13.95
Fabric and Apparel Patternmakers,23.62,0.00,23.62,32.55,19.94,13.95
Physician Assistants,33.77,40.25,11.55,15.38,25.24,13.94
Electrical and Electronic Engineering Technologists and Technicians,42.53,13.14,42.53,30.75,32.23,13.89
Wind Turbine Service Technicians,29.01,0.00,29.01,14.69,18.18,13.87
Environmental Engineers,37.18,4.30,24.74,16.47,20.67,13.84
Postal Service Mail Carriers,21.06,0.00,20.99,33.32,18.84,13.83
"Farmworkers, Farm, Ranch, and Aquacultural Animals",26.78,0.00,24.17,3.49,13.61,13.82
Medical and Clinical Laboratory Technicians,38.92,5.15,22.11,22.97,22.29,13.80
Manufactured Building and Mobile Home Installers,26.17,0.00,25.71,4.66,14.14,13.76
Real Estate Sales Agents,63.65,59.50,33.61,45.65,50.60,13.70
Credit Analysts,44.65,37.19,33.24,64.00,44.77,13.66
"Chemistry Teachers, Postsecondary",56.42,44.76,28.34,28.54,39.52,13.64
Bus and Truck Mechanics and Diesel Engine Specialists,28.48,1.95,27.65,7.78,16.46,13.61
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,51.00,24.89,22.02,30.70,13.60
Set and Exhibit Designers,44.13,14.82,38.84,23.17,30.24,13.60
Nuclear Power Reactor Operators,8.97,0.00,8.97,31.82,12.44,13.59
Occupational Health and Safety Specialists,29.17,0.42,24.88,27.64,20.53,13.52
Wellhead Pumpers,14.02,0.00,14.02,32.89,15.23,13.50
Survey Researchers,52.70,34.71,21.39,27.94,34.19,13.49
Musical Instrument Repairers and Tuners,25.23,4.22,25.23,0.00,13.67,13.46
"Disc Jockeys, Except Radio",25.07,0.00,25.07,29.52,19.91,13.44
Electrical Engineers,42.60,11.44,32.95,35.46,30.61,13.42
"First-Line Supervisors of Mechanics, Installers, and Repairers",47.44,22.17,23.24,18.13,27.75,13.31
"Office Clerks, General",65.33,51.24,40.39,69.41,56.59,13.31
Police Identification and Records Officers,22.07,0.00,21.44,31.27,18.70,13.25
Electricians,38.10,14.17,32.95,11.74,24.24,13.23
Climate Change Policy Analysts,43.62,16.19,43.62,29.47,33.22,13.17
Driver/Sales Workers,16.94,20.57,4.96,36.86,19.83,13.17
Chief Sustainability Officers,32.17,0.00,14.93,14.95,15.51,13.15
Water Resource Specialists,33.28,1.61,22.05,20.06,19.25,13.12
Prepress Technicians and Workers,35.42,12.70,23.41,42.39,28.48,13.12
Industrial Truck and Tractor Operators,5.43,0.00,5.43,29.31,10.04,13.10
Equal Opportunity Representatives and Officers,31.42,1.94,26.00,24.65,21.00,13.04
Home Health Aides,29.25,0.00,9.91,3.59,10.69,13.04
Industrial Engineering Technologists and Technicians,30.38,3.12,30.38,25.35,22.31,13.01
Air Traffic Controllers,30.21,1.83,25.44,26.85,21.08,12.99
Customs and Border Protection Officers,44.11,24.76,44.11,19.20,33.04,12.98
Exercise Trainers and Group Fitness Instructors,34.33,10.83,34.33,12.99,23.12,12.97
Orthodontists,31.79,8.62,22.50,3.37,16.57,12.97
Avionics Technicians,29.42,0.00,24.26,21.48,18.79,12.95
Billing and Posting Clerks,36.77,40.60,36.77,63.66,44.45,12.93
"Dispatchers, Except Police, Fire, and Ambulance",41.12,37.86,28.63,59.45,41.77,12.92
Curators,50.36,60.54,36.04,32.87,44.95,12.88
Fundraisers,39.65,14.57,14.44,32.85,25.38,12.86
"Coin, Vending, and Amusement Machine Servicers and Repairers",9.65,0.00,9.65,30.49,12.44,12.86
Brokerage Clerks,64.96,35.42,46.55,57.14,51.02,12.85
Costume Attendants,30.36,0.79,24.61,16.58,18.08,12.84
Psychiatrists,38.78,22.72,16.78,8.49,21.69,12.80
Gambling Cage Workers,31.39,10.25,31.39,40.31,28.34,12.77
Passenger Attendants,47.01,20.51,47.01,33.12,36.91,12.75
"Career/Technical Education Teachers, Secondary School",48.20,30.48,27.32,17.79,30.95,12.71
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",54.94,51.43,31.14,31.55,42.27,12.69
First-Line Supervisors of Office and Administrative Support Workers,54.62,38.90,23.83,36.39,38.43,12.64
Web Administrators,62.12,49.12,45.23,72.88,57.34,12.63
Bicycle Repairers,25.44,0.00,25.44,9.19,15.02,12.60
Social Science Research Assistants,38.64,33.99,22.43,52.88,36.98,12.60
Gambling Surveillance Officers and Gambling Investigators,37.15,15.41,37.15,44.56,33.57,12.60
Human Resources Managers,46.62,18.65,21.59,31.01,29.47,12.59
Executive Secretaries and Executive Administrative Assistants,58.29,42.41,40.85,66.64,52.05,12.52
"Mathematical Science Teachers, Postsecondary",58.46,53.52,33.52,35.81,45.33,12.51
Computer and Information Research Scientists,63.59,43.47,33.57,46.05,46.67,12.49
Regulatory Affairs Specialists,37.97,16.05,28.82,44.95,31.95,12.49
Bill and Account Collectors,52.28,54.00,26.84,42.83,43.99,12.44
Compensation and Benefits Managers,49.93,27.02,21.64,28.89,31.87,12.43
"Mining and Geological Engineers, Including Mining Safety Engineers",25.19,0.00,25.19,24.06,18.61,12.42
Commercial Divers,23.55,0.00,21.27,2.10,11.73,12.39
Emergency Management Directors,26.92,0.00,25.40,18.77,17.77,12.36
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",38.29,10.56,32.29,20.39,25.38,12.36
"Locker Room, Coatroom, and Dressing Room Attendants",31.45,5.30,29.11,14.69,20.14,12.36
Motorcycle Mechanics,22.62,0.00,22.25,2.18,11.76,12.36
Aircraft Cargo Handling Supervisors,20.85,0.00,20.85,28.74,17.61,12.32
Treasurers and Controllers,40.56,27.51,14.02,39.04,30.28,12.31
Aerospace Engineering and Operations Technologists and Technicians,36.82,10.75,36.82,27.79,28.05,12.29
Security and Fire Alarm Systems Installers,34.13,9.70,28.60,11.26,20.92,12.28
Search Marketing Strategists,79.95,72.72,54.21,57.46,66.09,12.27
"English Language and Literature Teachers, Postsecondary",61.41,52.83,34.57,39.74,47.14,12.23
"Insulation Workers, Mechanical",28.47,3.56,27.05,10.97,17.51,12.23
Home Appliance Repairers,27.39,0.00,23.90,17.77,17.26,12.18
"Pump Operators, Except Wellhead Pumpers",20.64,0.00,20.64,28.33,17.40,12.15
Crossing Guards and Flaggers,25.46,2.02,25.46,7.55,15.12,12.15
Energy Auditors,28.20,7.54,18.46,35.51,22.43,12.13
"Special Education Teachers, Secondary School",43.11,31.03,24.50,14.17,28.20,12.12
Natural Sciences Managers,36.93,16.14,14.84,35.92,25.96,12.10
Dancers,21.71,0.00,21.71,1.60,11.25,12.09
Podiatrists,23.08,0.00,23.08,4.92,12.77,12.07
Technical Writers,70.70,63.84,45.62,48.55,57.18,12.05
General and Operations Managers,25.56,8.65,17.96,37.07,22.31,12.03
Soil and Plant Scientists,38.51,13.70,32.72,16.92,25.46,12.03
Speech-Language Pathology Assistants,28.83,0.00,9.45,14.40,13.17,12.03
Data Warehousing Specialists,64.77,71.54,46.74,72.81,63.96,12.01
Power Distributors and Dispatchers,34.51,7.04,17.55,27.73,21.71,12.01
Materials Engineers,24.60,0.00,24.34,22.90,17.96,12.00
Funeral Attendants,38.87,15.40,34.07,16.61,26.24,11.99
Camera and Photographic Equipment Repairers,29.58,16.95,25.96,2.68,18.79,11.98
Intelligence Analysts,62.38,53.44,41.39,35.94,48.29,11.90
Tax Preparers,52.28,28.11,46.11,54.21,45.18,11.89
Chemists,52.71,30.88,33.78,25.35,35.68,11.88
Dermatologists,28.56,0.00,11.53,9.87,12.49,11.86
Cabinetmakers and Bench Carpenters,23.19,0.00,22.01,4.76,12.49,11.85
Desktop Publishers,63.36,46.72,43.24,66.96,55.07,11.83
Occupational Therapists,37.19,19.02,11.92,12.43,20.14,11.82
Telecommunications Engineering Specialists,47.87,49.42,30.06,58.22,46.39,11.81
Sheet Metal Workers,31.58,14.63,10.90,3.90,15.25,11.76
"Family and Consumer Sciences Teachers, Postsecondary",31.46,54.34,31.46,29.93,36.80,11.72
Art Directors,57.44,31.33,38.48,34.58,40.46,11.69
Stockers and Order Fillers,23.26,9.23,23.26,37.83,23.40,11.68
Public Relations Managers,26.43,10.67,26.43,39.17,25.68,11.67
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",22.66,0.00,19.66,2.32,11.16,11.65
"Electronics Engineers, Except Computer",50.77,22.35,35.57,34.99,35.92,11.63
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",23.36,0.00,23.36,8.22,13.74,11.61
Procurement Clerks,61.70,34.27,42.02,43.90,45.47,11.59
Biostatisticians,53.31,32.50,40.80,57.86,46.11,11.59
Marine Engineers and Naval Architects,29.69,5.12,29.69,22.52,21.75,11.59
"Bus Drivers, Transit and Intercity",22.47,0.00,22.47,24.26,17.30,11.56
Government Property Inspectors and Investigators,45.47,28.20,38.27,19.03,32.74,11.56
